Species,Lecticity
Agapostemon sericeus,Polylectic
Agapostemon virescens,Polylectic
Andrena angustior,Polylectic
Andrena barbilabris,Polylectic
Andrena bicolor,Polylectic
Andrena carantonica,Polylectic
Andrena carlini,Polylectic
Andrena chrysosceles,Polylectic
Andrena cineraria,Polylectic
Andrena dorsata,Polylectic
Andrena dunningi,Polylectic
Andrena flavipes,Polylectic
Andrena fucata,Polylectic
Andrena fulva,Polylectic
Andrena gravida,Polylectic
Andrena haemorrhoa,Polylectic
Andrena hirticincta,Oligolectic
Andrena labiata,Polylectic
Andrena milwaukeensis,Polylectic
Andrena miserabilis,Polylectic
Andrena nigriceps,Polylectic
Andrena nigroaenea,Polylectic
Andrena nitida,Polylectic
Andrena nubecula,Oligolectic
Andrena ovatula,Polylectic
Andrena pilipes,Polylectic
Andrena semilaevis,Polylectic
Andrena subopaca,Polylectic
Andrena tibialis,Polylectic
Andrena varians,Polylectic
Andrena vicina,Polylectic
Andrena wilkella,Oligolectic
Anthidium manicatum,Polylectic
Anthidium oblongatum,Polylectic
Anthophora plumipes,Polylectic
Anthophora quadrimaculata,Polylectic
Augochlora pura,Polylectic
Augochlorella aurata,Polylectic
Augochloropsis metallica,Polylectic
Bombus griseocollis,Polylectic
Bombus hortorum,Polylectic
Bombus hypnorum,Polylectic
Bombus impatiens,Polylectic
Bombus jonellus,Polylectic
Bombus muscorum,Polylectic
Bombus pascuorum,Polylectic
Bombus pratorum,Polylectic
Bombus terrestris,Polylectic
Calliopsis andreniformis,Polylectic
Ceratina calcarata,Polylectic
Ceratina strenua,Polylectic
Colletes thoracicus,Polylectic
Dasypoda hirtipes,Oligolectic
Halictus confusus,Polylectic
Halictus ligatus,Polylectic
Halictus rubicundus,Polylectic
Hylaeus mesillae,Polylectic
Hylaeus modestus,Polylectic
Lasioglossum calceatum,Polylectic
Lasioglossum coriaceum,Polylectic
Lasioglossum fulvicorne,Polylectic
Lasioglossum leucozonium,Polylectic
Lasioglossum malachurum,Polylectic
Lasioglossum punctatissimum,Polylectic
Lasioglossum sexnotatum,Polylectic
Lasioglossum sexstrigatum,Polylectic
Lasioglossum zonulum,Polylectic
Megachile centuncularis,Polylectic
Megachile ligniseca,Polylectic
Megachile pugnata,Oligolectic
Megachile rotundata,Polylectic
Megachile texana,Polylectic
Megachile willughbiella,Polylectic
Nomada cressonii,Polylectic
Nomada luteoloides,Polylectic
Nomada succincta,Polylectic
Osmia atriventris,Polylectic
Osmia bicornis,Polylectic
Osmia caerulescens,Polylectic
Osmia cornifrons,Polylectic
Osmia cornuta,Polylectic
Osmia leaiana,Oligolectic
Osmia lignaria,Polylectic
Osmia pumila,Polylectic
Panurgus banksianus,Oligolectic
Panurgus calcaratus,Oligolectic
Stelis breviuscula,Polylectic
Xylocopa violacea,Polylectic
Xylocopa virginica,Polylectic
