species,latinFamily,subfamily,tribe_genus,genes,sex,ID,body.mass.g,head.weight.g,IT.mm,brain.fresh.mg,brain.fix.mg,no.optic.lobes.weight.mg,country
Agapostemon_sericeus,Halictidae,Halictinae,Halictini,yes,M,id_100,0.021,NA,2.41,0.95,NA,NA,USA
Agapostemon_sericeus,Halictidae,Halictinae,Halictini,yes,F,US144,NA,NA,2.4765,NA,0.855,NA,US_MA
Amegilla_quadrifasciata,Apidae,Apinae,Anthophorini,yes,F,id_C10,0.1475,0.0177,3.764,NA,4.06,1.801,Spain
Amegilla_quadrifasciata,Apidae,Apinae,Anthophorini,yes,F,id_C13,0.1329,0.0169,3.97,NA,4.01,1.47,Spain
Amegilla_quadrifasciata,Apidae,Apinae,Anthophorini,yes,F,id_C14,0.1257,0.0171,4.095,NA,4.2,1.676,Spain
Amegilla_quadrifasciata,Apidae,Apinae,Anthophorini,yes,F,id_C12,0.148,0.0193,3.934,NA,4.55,1.47,Spain
Amegilla_quadrifasciata,Apidae,Apinae,Anthophorini,yes,F,id_C18,0.1011,0.0138,3.74,NA,3.48,1.202,Spain
Amegilla_quadrifasciata,Apidae,Apinae,Anthophorini,yes,F,id_C16,0.1012,0.0123,3.627,NA,3.31,1.354,Spain
Amegilla_quadrifasciata,Apidae,Apinae,Anthophorini,yes,F,id_C11,0.1251,0.0169,3.831,NA,3.94,1.301,Spain
Amegilla_quadrifasciata,Apidae,Apinae,Anthophorini,yes,F,id_C17,0.1174,0.0146,3.828,NA,3.86,1.145,Spain
Andrena_barbilabris,Andrenidae,Andreninae,Andrena,yes,F,id_H29,NA,NA,2.34,NA,0.296,0.436,Netherlands
Andrena_barbilabris,Andrenidae,Andreninae,Andrena,yes,F,id_H32,NA,NA,2.19,NA,0.84,0.459,Netherlands
Andrena_barbilabris,Andrenidae,Andreninae,Andrena,yes,F,id_H31,NA,NA,2.28,NA,0.924,0.546,Netherlands
Andrena_barbilabris,Andrenidae,Andreninae,Andrena,yes,F,id_H30,NA,NA,2.31,NA,1.038,0.482,Netherlands
Andrena_barbilabris,Andrenidae,Andreninae,Andrena,yes,F,id_H33,NA,NA,2.34,NA,1.13,0.548,Netherlands
Andrena_bicolor,Andrenidae,Andreninae,Andrena,yes,F,id_H9,NA,NA,1.83,NA,0.739,0.359,Netherlands
Andrena_bicolor,Andrenidae,Andreninae,Andrena,yes,F,id_H98,NA,NA,2.58,NA,0.666,0.361,Netherlands
Andrena_carantonica,Andrenidae,Andreninae,Andrena,yes,F,id_H25,NA,NA,2.79,NA,1.748,0.87,Netherlands
Andrena_carantonica,Andrenidae,Andreninae,Andrena,yes,F,id_H52,NA,NA,2.79,NA,1.728,1.005,Netherlands
Andrena_carantonica,Andrenidae,Andreninae,Andrena,yes,F,id_H28,NA,NA,2.7,NA,1.686,NA,Netherlands
Andrena_carantonica,Andrenidae,Andreninae,Andrena,yes,F,id_H50,NA,NA,2.82,NA,2.08,0.855,Netherlands
Andrena_carlini,Andrenidae,Andreninae,Andrena,yes,F,US073,NA,NA,2.4765,NA,1.26,NA,US_MA
Andrena_carlini,Andrenidae,Andreninae,Andrena,yes,F,US074,NA,NA,2.7305,NA,1.814,NA,US_MA
Andrena_carlini,Andrenidae,Andreninae,Andrena,yes,F,id_202,NA,NA,2.929,NA,1.6,NA,USA
Andrena_chrysosceles,Andrenidae,Andreninae,Andrena,yes,F,id_H54,NA,NA,1.8,NA,0.759,0.421,Netherlands
Andrena_chrysosceles,Andrenidae,Andreninae,Andrena,yes,F,id_H56,NA,NA,1.83,NA,0.864,0.556,Netherlands
Andrena_chrysosceles,Andrenidae,Andreninae,Andrena,yes,F,id_H57,NA,NA,1.92,NA,0.578,NA,Netherlands
Andrena_chrysosceles,Andrenidae,Andreninae,Andrena,yes,F,id_H55,NA,NA,1.86,NA,1.123,0.485,Netherlands
Andrena_cineraria,Andrenidae,Andreninae,Andrena,yes,F,id_H47,NA,NA,2.67,NA,1.745,0.875,Netherlands
Andrena_cineraria,Andrenidae,Andreninae,Andrena,yes,F,id_H46,NA,NA,2.34,NA,1.4,0.626,Netherlands
Andrena_cineraria,Andrenidae,Andreninae,Andrena,yes,F,id_H65,NA,NA,2.55,NA,1.803,0.87,Netherlands
Andrena_cineraria,Andrenidae,Andreninae,Andrena,yes,F,id_H64,NA,NA,2.64,NA,1.727,0.748,Netherlands
Andrena_cineraria,Andrenidae,Andreninae,Andrena,yes,F,id_H119,NA,NA,3.42,NA,1.492,0.74,Netherlands
Andrena_dorsata,Andrenidae,Andreninae,Andrena,yes,F,id_H99,NA,NA,2.3,NA,0.758,0.325,Netherlands
Andrena_dorsata,Andrenidae,Andreninae,Andrena,yes,F,id_H74,NA,NA,1.68,NA,0.619,NA,Netherlands
Andrena_dorsata,Andrenidae,Andreninae,Andrena,yes,F,id_H100,NA,NA,2.4,NA,0.588,0.315,Netherlands
Andrena_dorsata,Andrenidae,Andreninae,Andrena,yes,F,id_H84,NA,NA,2.44,NA,0.87,0.376,Netherlands
Andrena_dorsata,Andrenidae,Andreninae,Andrena,yes,F,id_H85,NA,NA,2.49,NA,0.753,NA,Netherlands
Andrena_dunningi,Andrenidae,Andreninae,Andrena,yes,F,US032,NA,NA,2.6035,NA,1.549,NA,US_MA
Andrena_dunningi,Andrenidae,Andreninae,Andrena,yes,F,US030,NA,NA,2.6035,NA,1.184,NA,US_MA
Andrena_dunningi,Andrenidae,Andreninae,Andrena,yes,F,id_201,NA,NA,3.696,NA,1.6,NA,USA
Andrena_dunningi,Andrenidae,Andreninae,Andrena,yes,F,US033,NA,NA,2.54,NA,1.304,NA,US_MA
Andrena_dunningi,Andrenidae,Andreninae,Andrena,yes,F,US031,NA,NA,2.4765,NA,1.101,NA,US_MA
Andrena_flavipes,Andrenidae,Andreninae,Andrena,yes,F,id_H96,NA,NA,2.91,NA,1.557,NA,Netherlands
Andrena_flavipes,Andrenidae,Andreninae,Andrena,yes,F,id_B9,NA,NA,2.946,NA,1.16,NA,Spain
Andrena_flavipes,Andrenidae,Andreninae,Andrena,yes,M,id_A17,0.0609,0.0096,2.689,NA,1.43,0.663,Spain
Andrena_fucata,Andrenidae,Andreninae,Andrena,yes,F,id_H153,NA,NA,2.75,NA,0.65,0.321,Netherlands
Andrena_fucata,Andrenidae,Andreninae,Andrena,yes,F,id_H155,NA,NA,2.57,NA,0.752,NA,Netherlands
Andrena_fulva,Andrenidae,Andreninae,Andrena,yes,F,id_H44,NA,NA,2.61,NA,1.655,0.824,Netherlands
Andrena_fulva,Andrenidae,Andreninae,Andrena,yes,F,id_H43,NA,NA,2.79,NA,1.484,0.732,Netherlands
Andrena_fulva,Andrenidae,Andreninae,Andrena,yes,F,id_H8,NA,NA,2.88,NA,1.635,0.845,Netherlands
Andrena_fulvida,Andrenidae,Andreninae,Andrena,yes,M,id_H156,NA,NA,2,NA,0.295,NA,Netherlands
Andrena_fulvida,Andrenidae,Andreninae,Andrena,yes,M,id_H157,NA,NA,2.08,NA,0.701,0.223,Netherlands
Andrena_gravida,Andrenidae,Andreninae,Andrena,yes,F,id_H67,NA,NA,2.46,NA,1.67,0.885,Netherlands
Andrena_gravida,Andrenidae,Andreninae,Andrena,yes,F,id_H68,NA,NA,2.37,NA,1.405,0.806,Netherlands
Andrena_gravida,Andrenidae,Andreninae,Andrena,yes,F,id_H97,NA,NA,3.34,NA,1.954,0.801,Netherlands
Andrena_gravida,Andrenidae,Andreninae,Andrena,yes,F,id_H66,NA,NA,2.37,NA,1.348,0.825,Netherlands
Andrena_haemorrhoa,Andrenidae,Andreninae,Andrena,yes,F,id_H36,NA,NA,2.46,NA,1.125,0.673,Netherlands
Andrena_haemorrhoa,Andrenidae,Andreninae,Andrena,yes,F,id_H41,NA,NA,2.43,NA,1.289,0.691,Netherlands
Andrena_haemorrhoa,Andrenidae,Andreninae,Andrena,yes,F,id_H35,NA,NA,2.49,NA,1.057,0.476,Netherlands
Andrena_haemorrhoa,Andrenidae,Andreninae,Andrena,yes,F,id_H40,NA,NA,2.43,NA,1.248,0.502,Netherlands
Andrena_haemorrhoa,Andrenidae,Andreninae,Andrena,yes,F,id_H38,NA,NA,2.37,NA,1.109,0.567,Netherlands
Andrena_hispania,Andrenidae,Andreninae,Andrena,yes,F,id_B17,NA,NA,3.016,NA,1.82,NA,Spain
Andrena_labiata,Andrenidae,Andreninae,Andrena,yes,F,id_H140,NA,NA,2.04,NA,0.34,0.135,Netherlands
Andrena_labiata,Andrenidae,Andreninae,Andrena,yes,F,id_H121,NA,NA,2.35,NA,0.629,0.331,Netherlands
Andrena_labiata,Andrenidae,Andreninae,Andrena,yes,F,id_H141,NA,NA,2.31,NA,0.771,0.207,Netherlands
Andrena_miserabilis,Andrenidae,Andreninae,Andrena,yes,M,US035,NA,NA,1.27,NA,0.309,NA,US_MA
Andrena_miserabilis,Andrenidae,Andreninae,Andrena,yes,F,id_203,NA,NA,1.957,NA,0.6,NA,USA
Andrena_morio,Andrenidae,Andreninae,Andrena,yes,F,id_F31,NA,NA,3.04,NA,1.55,NA,Spain
Andrena_nigriceps,Andrenidae,Andreninae,Andrena,no,F,id_H162,NA,NA,2.62,NA,0.814,0.539,Netherlands
Andrena_nigroaenea,Andrenidae,Andreninae,Andrena,yes,F,id_H117,NA,NA,3.68,NA,1.678,0.78,Netherlands
Andrena_nigroaenea,Andrenidae,Andreninae,Andrena,yes,F,id_H123,NA,NA,3.33,NA,1.46,0.885,Netherlands
Andrena_nigroaenea,Andrenidae,Andreninae,Andrena,yes,F,id_H90,NA,NA,3.71,NA,2,0.906,Netherlands
Andrena_nitida,Andrenidae,Andreninae,Andrena,yes,F,id_H69,NA,NA,2.67,NA,2.513,1.102,Netherlands
Andrena_nitida,Andrenidae,Andreninae,Andrena,yes,F,id_H118,NA,NA,3.42,NA,1.612,0.736,Netherlands
Andrena_nitida,Andrenidae,Andreninae,Andrena,yes,F,id_H71,NA,NA,2.46,NA,1.707,0.867,Netherlands
Andrena_nitida,Andrenidae,Andreninae,Andrena,yes,F,id_H70,NA,NA,2.73,NA,1.924,0.913,Netherlands
Andrena_nitida,Andrenidae,Andreninae,Andrena,yes,F,id_H45,NA,NA,2.76,NA,2.112,1.042,Netherlands
Andrena_nubecula,Andrenidae,Andreninae,Andrena,yes,F,id_24,0.02,NA,2.46,1.2,NA,NA,USA
Andrena_nubecula,Andrenidae,Andreninae,Andrena,yes,F,US151,NA,NA,1.27,NA,0.437,NA,US_MA
Andrena_nubecula,Andrenidae,Andreninae,Andrena,yes,F,US150,NA,NA,1.397,NA,0.394,NA,US_MA
Andrena_ovatula,Andrenidae,Andreninae,Andrena,no,F,id_H124,NA,NA,2.57,NA,0.734,0.353,Netherlands
Andrena_ovatula,Andrenidae,Andreninae,Andrena,no,F,id_H125,NA,NA,2.8,NA,0.734,0.353,Netherlands
Andrena_ovatula,Andrenidae,Andreninae,Andrena,no,F,id_H139,NA,NA,2.71,NA,0.771,0.602,Netherlands
Andrena_semilaevis,Andrenidae,Andreninae,Andrena,yes,F,id_H151,NA,NA,1.64,NA,0.254,0.413,Netherlands
Andrena_semilaevis,Andrenidae,Andreninae,Andrena,yes,M,id_H143,NA,NA,1.51,NA,0.3,0.121,Netherlands
Andrena_simplex,Andrenidae,Andreninae,Andrena,yes,F,id_206,NA,NA,2.435,NA,0.7,NA,USA
Andrena_simplex,Andrenidae,Andreninae,Andrena,yes,F,id_205,NA,NA,2.217,NA,0.6,NA,USA
Andrena_simplex,Andrenidae,Andreninae,Andrena,yes,M,US149,NA,NA,1.7145,NA,0.593,NA,US_MA
Andrena_simplex,Andrenidae,Andreninae,Andrena,yes,M,US148,NA,NA,1.651,NA,0.341,NA,US_MA
Andrena_simplex,Andrenidae,Andreninae,Andrena,yes,F,id_204,NA,NA,2.522,NA,0.9,NA,USA
Andrena_subopaca,Andrenidae,Andreninae,Andrena,yes,F,id_H136,NA,NA,1.77,NA,0.358,0.264,Netherlands
Andrena_subopaca,Andrenidae,Andreninae,Andrena,yes,F,id_H150,NA,NA,1.91,NA,0.405,0.222,Netherlands
Andrena_subopaca,Andrenidae,Andreninae,Andrena,yes,F,id_H122,NA,NA,1.86,NA,0.267,0.106,Netherlands
Andrena_tibialis,Andrenidae,Andreninae,Andrena,no,F,id_H112,NA,NA,3.57,NA,1.357,0.758,Netherlands
Andrena_tibialis,Andrenidae,Andreninae,Andrena,no,F,id_H42,NA,NA,2.97,NA,1.938,0.958,Netherlands
Andrena_varians,Andrenidae,Andreninae,Andrena,no,F,id_H27,NA,NA,2.52,NA,1.17,0.602,Netherlands
Anthidium_florentinum,Megachilidae,Megachilinae,Anthidiini,yes,F,id_F13,0.2281,0.0249,4.254,NA,4.46,1.298,Spain
Anthidium_florentinum,Megachilidae,Megachilinae,Anthidiini,yes,M,id_F26,0.2763,0.03,4.36,NA,4.91,NA,Spain
Anthidium_manicatum,Megachilidae,Megachilinae,Anthidiini,yes,M,id_29,0.105,NA,3.793,2.1,2.7,NA,USA
Anthidium_manicatum,Megachilidae,Megachilinae,Anthidiini,yes,F,id_F16,0.0716,0.123,2.903,NA,2.3,NA,Spain
Anthidium_manicatum,Megachilidae,Megachilinae,Anthidiini,yes,F,id_F21,0.0592,0.0096,3.066,NA,2.02,0.44,Spain
Anthidium_manicatum,Megachilidae,Megachilinae,Anthidiini,yes,F,US158,NA,NA,3.048,NA,2.559,NA,US_MA
Anthidium_manicatum,Megachilidae,Megachilinae,Anthidiini,yes,M,id_36,0.086,NA,3.407,2.1,NA,NA,USA
Anthidium_manicatum,Megachilidae,Megachilinae,Anthidiini,yes,F,id_F17,0.0303,NA,2.365,NA,1.67,NA,Spain
