ID,Genus,Species,Sex,Place,Date,IT,Weigth (g),Head weight (g),Plant,Brain Weight (mg),No optic lobes weight,Country,Notes
A1,Bombus,Bombus pratorum,Female,El valle. Sierra de Cazorla,17/6/15,"3,635","0,1186","0,01",Digitalis obscura,"2,06","1,057",Spain,
A10,Xylocopa,NA,Female,Empalme del parador. Sierra de Cazorla,17/6/15,NA,"0,5048",NA,NA,,,Spain,
A11,Bombus,Bombus pascuorum,Female,El valle. Sierra de Cazorla,16/6/15,"3,943","0,1704","0,0195",Digitalis obscura,"3,15",,Spain,
A12,Osmia,Osmia lateralis,Female,Puerto de las palomas. Sierra de Cazorla,17/6/15,"2,622","0,0374","0,0095",,"1,73","0,965",Spain,
A13,Bombus,Bombus pascuorum,Female,Roblehondo. Sierra de Cazorla,16/6/15,"3,834","0,1461","0,0199",Digitalis obscura,"2,89","1,899",Spain,
A14,Bombus,Bombus terrestris,Female,Cerrada del Utrero. Sierra de Cazorla,16/6/15,"4,68","0,193","0,0221",Thymus mastichina,"2,17","1,311",Spain,
A15,Bombus,Bombus pascuorum,Female,Puente de las herrerías. Sierra de Cazorla,16/6/15,"4,105","0,188","0,0213",Phlomis lychnitis,"3,11","1,237",Spain,
A16,Bombus,Bombus pascuorum,Female,Empalme del parador. Sierra de Cazorla,17/6/15,"3,748","0,145","0,0165",Digitalis obscura,"2,44","1,433",Spain,
A17,Andrena,Andrena flavipes,Male,Nava de San Pedro. Sierra de Cazorla,16/6/15,"2,689","0,0609","0,0096",Berberis,"1,43","0,663",Spain,
A18,Bombus,Bombus pratorum,Male,Roblehondo. Sierra de Cazorla,16/6/15,"3,604","0,1029","0,0115",NA,"2,5","1,171",Spain,
A19,Bombus,Bombus terrestris,Female,Empalme del parador. Sierra de Cazorla,17/6/15,"4,126","0,1664",NA,NA,"2,94","1,661",Spain,
A2,Bombus,Bombus pascuorum,Female,Roblehondo. Sierra de Cazorla,16/6/15,"3,393","0,1041","0,0104",Digitalis obscura,,,Spain,
A20,Bombus,Bombus pratorum,Female,Nava de San Pedro. Sierra de Cazorla,16/6/15,"3,576","0,1036","0,0107",Marribium supinum,"2,16","1,723",Spain,
A21,Bombus,Bombus pratorum,Male,El valle. Sierra de Cazorla,16/6/15,"3,646","0,0792","0,0062",Digitalis obscura,"1,79","0,974",Spain,
A22,Bombus,Bombus terrestris,Female,Camino del Parador. Sierra de Cazorla,16/6/15,"4,45","0,1725","0,0171",Digitalis obscura,"3,16",,Spain,
A23,Apis,Apis mellifera,Female,Puerto de las palomas. Sierra de Cazorla,17/6/15,"3,505","0,1027","0,0116",Thymus mastichina,,"0,924",Spain,
A24,Bombus,Bombus pascuorum,Female,Empalme del parador. Sierra de Cazorla,17/6/15,"3,698","0,1424","0,0167",Digitalis obscura,,,Spain,
A25,Bombus,Bombus terrestris,Female,Cerrada del Utrero. Sierra de Cazorla,16/6/15,"4,468","0,1981","0,0187",Thymus mastichina,"2,75","1,613",Spain,
A26,Bombus,Bombus pascuorum,Female,Puente de las herrerías. Sierra de Cazorla,16/6/15,"4,012","0,1463","0,0157",NA,"2,15","1,304",Spain,
A27,Panurgus,Panurgus calcaratus,Male,Nava de San Pedro. Sierra de Cazorla,16/6/15,"1,422","0,0127","0,0027",Compuesta amarilla I,,,Spain,
A28,Panurgus,Panurgus calcaratus,Male,Cazorla,16/6/15,"1,455","0,0114","0,0032",NA,,,Spain,
A29,Bombus,Bombus pratorum,Male,Cazorla,16/6/15,"3,853","0,1065","0,0129",NA,"2,36","0,961",Spain,
A3,Bombus,Bombus terrestris,Female,Roblehondo. Sierra de Cazorla,16/6/15,"4,289","0,1677","0,0136",Digitalis obscura,"2,72","1,621",Spain,
A30,Bombus,Bombus lucorum,Male,Cazorla,16/6/15,"4,861","0,1831",NA,NA,"2,4","1,159",Spain,
A31,Bombus,Bombus terrestris,Male,Puente de las herrerías. Sierra de Cazorla,16/6/15,"4,641","0,1566","0,0166",Thymus mastichina,"2,71","1,514",Spain,
A32,Xylocopa,Xylocopa cantabrita,Female,Puerto de las palomas. Sierra de Cazorla,16/6/15,"4,999","0,2286",NA,Anthirrium latifolium,"4,2","1,303",Spain,
A33,Xylocopa,Xylocopa valga,Female,Empalme del parador. Sierra de Cazorla,16/6/15,"6,455","0,4849","0,075",NA,"7,43","2,113",Spain,
A34,Eucera,NA,Female,Cerrada del Utrero. Sierra de Cazorla,16/6/15,NA,NA,NA,Cichorium intybus,,,Spain,
A35,Rhodanthidium,Rhodanthidium sticticum,Female,Puerto de las palomas. Sierra de Cazorla,16/6/15,"3,695","0,1189","0,0197",Flomis lignitis,,,Spain,
A36,Eucera,Eucera elongatula,Female,Puerto de las palomas. Sierra de Cazorla,17/6/15,"2,761","0,0399","0,006",Digitalis obscura,"1,23","0,6",Spain,
A37,Eucera,Eucera elongatula,Female,Puerto de las palomas. Sierra de Cazorla,17/6/15,"2,546","0,0433","0,004",Digitalis obscura,,,Spain,
A38,Rhodanthidium,Rhodanthidium sticticum,Male,Puerto de las palomas. Sierra de Cazorla,17/6/15,"3,823","0,1333","0,0164",Digitalis obscura,"3,42","0,95",Spain,
A39,Lithurgus,Lithurgus sp.,Female,Roblehondo. Sierra de Cazorla,,,,,,"1,758","0,905",Spain,
A4,Bombus,Bombus pratorum,Male,El valle. Sierra de Cazorla,17/6/15,"3,714","0,105","0,0119",Digitalis obscura,"1,89","0,984",Spain,
A5,Bombus,Bombus pascuorum,Female,Puente de las herrerías. Sierra de Cazorla,17/6/15,"4,329","0,178","0,0222",Phlomis lychnitis,"2,52","1,485",Spain,
A6,Bombus,Bombus pratorum,Male,El valle. Sierra de Cazorla,17/6/15,"3,714","0,0934","0,0112",Digitalis obscura,"1,68","0,721",Spain,
A7,Bombus,Bombus terrestris,Female,Roblehondo. Sierra de Cazorla,16/6/15,"4,032","0,1233","0,0149",Digitalis obscura,"2,6","1,43",Spain,
A8,Bombus,Bombus terrestris,Female,Empalme del parador. Sierra de Cazorla,17/6/15,"4,299","0,1665","0,0182",Digitalis obscura,"2,95","1,622",Spain,
A9,Bombus,Bombus pratorum,Male,Roblehondo. Sierra de Cazorla,16/6/15,"3,829","0,0966","0,0112",Digitalis obscura,"1,84","0,964",Spain,
B1,Apis,Apis mellifera,Female,Bonares,21/4/2016,"3,105",NA,NA,Cistus salvifolius,"1,77","1,076",Spain,
B10,Andrena,Andrena flavipes,Female,Huelva,21/4/2016,"3,042",NA,NA,NA,,,Spain,
B11,Panurgus,NA,Male,Huelva,21/4/2016,"1,879",NA,NA,NA,,,Spain,
B12,Panurgus,NA,Male,Huelva,21/4/2016,"1,722",NA,NA,NA,"0,44",,Spain,
B13,Nomada,Nomada succincta,Female,Huelva,21/4/2016,"2,057",NA,NA,NA,"1,34",,Spain,
B14,Dasypoda,Dasypoda cingulata,Male,Huelva,21/4/2016,"3,023",NA,NA,NA,"1,94","0,88",Spain,
B15,Eucera,NA,Male,Huelva,21/4/2016,"3,148",NA,NA,NA,"1,95","0,917",Spain,
B16,Eucera,NA,Male,Huelva,21/4/2016,"3,42",NA,NA,NA,"2,13","0,463",Spain,
B17,Andrena,Andrena hispania,Female,Huelva,21/4/2016,"3,016",NA,NA,NA,"1,82",,Spain,
B18,Dasypoda,Dasypoda cingulata,Male,Huelva,29/4/2016,"2,699","0,0372","0,0055",NA,"1,05","0,44",Spain,
B19,Panurgus,Panurgus calcaratus,Female,Huelva,29/4/2016,"1,404","0,01","0,0023",NA,"0,47","0,135",Spain,
B2,Andrena,NA,Male,Huelva,21/4/2016,"2,409",NA,NA,NA,"0,9","0,428",Spain,
B20,Panurgus,Panurgus calcaratus,Female,Huelva,29/4/2016,"1,337","0,0108","0,0018",NA,"0,43","0,137",Spain,
B21,Panurgus,Panurgus calcaratus,Male,Huelva,29/4/2016,"1,952","0,0123","0,0033",NA,,,Spain,
B22,Rhodanthidium,Rhodanthidium sticticum,Female,Huelva,29/4/2016,"3,272","0,0899","0,00117",NA,"2,55","0,94",Spain,
B23,Panurgus,Panurgus calcaratus,Male,Huelva,29/4/2016,"1,963","0,0155","0,0038",NA,"0,53","0,26",Spain,
