Species,IT,Brain.weight,Country,Max_val,Min_val
Augochlora pura,1.4605,0.496,US_MA,0.7849999999999999,0.329
Augochlora pura,1.651,0.71,US_MA,0.7849999999999999,0.329
Augochlora pura,1.8415,0.614,US_MA,0.7849999999999999,0.329
Augochlora pura,2.174,0.5,USA,0.7849999999999999,0.329
Augochlora pura,1.5875,0.61,US_MA,0.7849999999999999,0.329
Bombus hortorum,3.65,2.334,Netherlands,2.334,2.334
Bombus hypnorum,3.37,2.29,Netherlands,2.29,2.29
Bombus impatiens,4.69,3.2,USA,3.342375000000001,1.8293749999999993
Bombus impatiens,3.683,2.634,US_MA,3.342375000000001,1.8293749999999993
Bombus impatiens,4.62,2.7,USA,3.342375000000001,1.8293749999999993
Bombus impatiens,3.92,2.4,USA,3.342375000000001,1.8293749999999993
Bombus impatiens,3.1115,2.387,US_MA,3.342375000000001,1.8293749999999993
Bombus impatiens,4.85,3,USA,3.342375000000001,1.8293749999999993
Bombus impatiens,4,2.7,USA,3.342375000000001,1.8293749999999993
Bombus impatiens,2.794,2.322,US_MA,3.342375000000001,1.8293749999999993
Bombus jonellus,4.35,2.348,Netherlands,2.6004999999999994,2.036500000000001
Bombus jonellus,4.13,2.512,Netherlands,2.6004999999999994,2.036500000000001
Bombus jonellus,4.22,2.325,Netherlands,2.6004999999999994,2.036500000000001
Bombus muscorum,3.727,2.16,Spain,2.625,1.385
Bombus muscorum,3.465,1.77,Spain,2.625,1.385
Bombus muscorum,4.044,2.02,Spain,2.625,1.385
Bombus muscorum,3.606,1.85,Spain,2.625,1.385
Bombus muscorum,4.05,1.9,Spain,2.625,1.385
Bombus muscorum,3.659,1.87,Spain,2.625,1.385
Bombus muscorum,3.997,1.7,Spain,2.625,1.385
Bombus pascuorum,4.329,2.52,Spain,3.9475000000000007,1.5674999999999997
Bombus pascuorum,3.748,2.44,Spain,3.9475000000000007,1.5674999999999997
Bombus pascuorum,4.105,3.11,Spain,3.9475000000000007,1.5674999999999997
Bombus pascuorum,3.834,2.89,Spain,3.9475000000000007,1.5674999999999997
Bombus pascuorum,3.943,3.15,Spain,3.9475000000000007,1.5674999999999997
Bombus pascuorum,4.012,2.15,Spain,3.9475000000000007,1.5674999999999997
Bombus pratorum,3.28,2.348,Netherlands,2.4699999999999998,1.8940000000000008
Bombus pratorum,3.635,2.06,Spain,2.4699999999999998,1.8940000000000008
Bombus pratorum,3.576,2.16,Spain,2.4699999999999998,1.8940000000000008
Bombus terrestris,4.468,2.75,Spain,3.692499999999999,1.9925000000000013
Bombus terrestris,4.5,3.09,Spain,3.692499999999999,1.9925000000000013
Bombus terrestris,4.032,2.6,Spain,3.692499999999999,1.9925000000000013
Bombus terrestris,4.126,2.94,Spain,3.692499999999999,1.9925000000000013
Bombus terrestris,4.713,3.59,Spain,3.692499999999999,1.9925000000000013
Bombus terrestris,4.68,2.17,Spain,3.692499999999999,1.9925000000000013
Bombus terrestris,4.299,2.95,Spain,3.692499999999999,1.9925000000000013
Bombus terrestris,4.289,2.72,Spain,3.692499999999999,1.9925000000000013
Bombus terrestris,4.45,3.16,Spain,3.692499999999999,1.9925000000000013
Bombus terrestris,3.95,2.26,Spain,3.692499999999999,1.9925000000000013
Ceratina calcarata,2.08,0.46,USA,0.47500000000000003,0.415
Ceratina calcarata,1.83,0.43,USA,0.47500000000000003,0.415
Dasypoda hirtipes,2.957,1.47,Spain,1.47,1.47
Eucera elongatula,2.931,1.95,Spain,2.31,0.8699999999999998
Eucera elongatula,2.761,1.23,Spain,2.31,0.8699999999999998
Panurgus venustus,1.874,0.62,Spain,0.62,0.62
Halictus confusus,1.91,0.527,Netherlands,0.8150000000000001,0.046999999999999986
Halictus confusus,1.77,0.332,Netherlands,0.8150000000000001,0.046999999999999986
Halictus confusus,1.524,0.338,US_MA,0.8150000000000001,0.046999999999999986
Halictus confusus,1.3335,0.335,US_MA,0.8150000000000001,0.046999999999999986
Halictus confusus,1.867,0.56,USA,0.8150000000000001,0.046999999999999986
Halictus ligatus,2.65,0.7,USA,0.8797499999999996,0.4137500000000003
Halictus ligatus,2.032,0.653,US_MA,0.8797499999999996,0.4137500000000003
Halictus ligatus,2.55,0.72,USA,0.8797499999999996,0.4137500000000003
Halictus rubicundus,2.8,1.06,Netherlands,1.199875,0.5648750000000001
Halictus rubicundus,2.0955,0.929,US_MA,1.199875,0.5648750000000001
Halictus rubicundus,1.92,0.923,Netherlands,1.199875,0.5648750000000001
