Species,Habitats used,Pasture and Crops,Forests,Urban
Agapostemon virescens,01/12/47,0.66,0.1,0.89
Andrena carlini,01/11/38,0.43,0.78,0.01
Andrena cressonii,01/12/41,0.53,0.61,0.02
Andrena erigeniae,01/11/43,0.1,1,0.01
Andrena nasonii,01/12/32,0.09,0.99,0.03
Andrena perplexa,01/10/82,0.94,0.51,0.01
Andrena violae,01/11/85,0.39,0.92,0.01
Apis mellifera,01/12/46,0.5,0.61,0.69
Augochlora pura,01/11/34,0.29,0.96,0.21
Augochlorella aurata,12/03/19,0.05,0.75,0.5
Bombus bimaculatus,12/04/19,0.05,0.99,0.04
Bombus fervidus,01/12/93,0.87,0.03,0.73
Bombus griseocollis,01/12/28,0.19,0.43,0.82
Calliopsis andreniformis,01/12/68,0.76,0.14,1
Ceratina calcarata/dupla/mikmaqi*,01/12/53,0.53,0.24,0.27
Ceratina strenua,12/06/19,0.99,0.02,0.73
Halictus confusus,12/02/19,0.52,0.6,0.99
Halictus ligatus/poeyi,01/12/42,0.09,0.26,0.95
Halictus rubicundus,01/11/64,0.78,0.18,0.67
Hylaeus affinis/modestus,01/12/38,0.3,0.95,0.41
Lasioglossum bruneri,01/11/81,0.87,0,0.96
Lasioglossum callidum,01/12/35,0.99,0.01,0.11
Lasioglossum coriaceum,01/12/52,0,1,0.02
Lasioglossum cressonii,11/09/19,0.01,1,0.04
Lasioglossum hitchensi,01/12/13,0.88,0.17,0.55
Lasioglossum illinoense,01/11/59,0.79,0.77,0.89
Lasioglossum imitatum,01/12/18,0.11,0.99,0.9
Lasioglossum near_admirandum,01/11/29,0.85,0.44,0.83
Lasioglossum oblongum,01/12/33,0.34,0.01,0.15
Lasioglossum pectorale,01/11/59,0.58,0.11,0.15
Lasioglossum pilosum,01/12/59,0.79,0,0.99
Lasioglossum tegulare,01/12/51,0.76,0.01,0.25
Lasioglossum versatum,01/11/96,0.5,0.7,0.25
Megachile brevis,12,0.89,0.01,0.63
Megachile mendica,11/09/19,0.08,0.34,0.81
Melissodes bimaculata,01/11/94,1,0,0.84
Nomada bidentate_group,01/12/52,0.42,0.98,0.02
Nomada pygmaea,01/11/65,0.21,0.96,0
Osmia atriventris,01/10/27,0.18,0.98,0
Osmia bucephala,01/11/94,0.29,1,0.11
Osmia georgica,01/12/93,0.22,0.95,0.12
Osmia pumila,01/12/45,0.19,0.97,0.02
Osmia taurus,01/11/64,0.57,0.59,0.01
Ptilothrix bombiformis,01/11/53,0.78,0,0.99
Xylocopa virginica,01/11/65,0.28,0.6,0.79
