ID,Genus,Species,Sex,Place,Date,IT,Weigth..g.,Head.weight..g.,Plant,Brain.Weight..mg.,No.optic.lobes.weight,Country,Notes
114/5,Osmia,Osmia bicornis,Female,Sevilla,,3.002,NA,NA,,NA,NA,Spain,Born from coccon. not captured
107/1,Osmia,Osmia bicornis,Female,Sevilla,,2.812,NA,NA,,NA,NA,Spain,Born from coccon. not captured
N110,Osmia,Osmia bicornis,Female,Carambolo,,3.089,NA,NA,,NA,NA,Spain,Born from coccon. not captured
N26/3,Osmia,Osmia bicornis,Female,Carambolo,,3.067,NA,NA,,NA,NA,Spain,Born from coccon. not captured
N8/3,Osmia,Osmia bicornis,Female,Carambolo,,3.102,NA,NA,,NA,NA,Spain,Born from coccon. not captured
OB11,Osmia,Osmia bicornis,Female,Mauerbienen,,2.848,NA,NA,,1.78,0.912,Germany,Born from coccon. not captured
34/3,Osmia,Osmia bicornis,Female,Sevilla,,3.108,NA,NA,,1.307,0.738,Spain,Born from coccon. not captured
12/6,Osmia,Osmia bicornis,Female,Sevilla,,3.313,NA,NA,,NA,NA,Spain,Born from coccon. not captured
X1,Osmia,Osmia bicornis,Female,Sevilla,,3.29,NA,NA,,1.154,0.754,Spain,Born from coccon. not captured
34/2,Osmia,Osmia bicornis,Female,Sevilla,,3.287,NA,NA,,1.237,0.813,Spain,Born from coccon. not captured
X3,Osmia,Osmia bicornis,Female,Sevilla,,3.381,NA,NA,,1.172,0.803,Spain,Born from coccon. not captured
12/1,Osmia,Osmia bicornis,Female,Sevilla,,3.193,NA,NA,,1.316,0.684,Spain,Born from coccon. not captured
34/4,Osmia,Osmia bicornis,Female,Sevilla,,3.226,NA,NA,,1.618,0.894,Spain,Born from coccon. not captured
34/6,Osmia,Osmia bicornis,Female,Sevilla,,3.314,NA,NA,,1.013,0.685,Spain,Born from coccon. not captured
68/2,Osmia,Osmia bicornis,Female,Sevilla,,3.342,NA,NA,,1.553,0.819,Spain,Born from coccon. not captured
12/5,Osmia,Osmia bicornis,Female,Sevilla,,3.156,NA,NA,,1.009,0.505,Spain,Born from coccon. not captured
11/1,Osmia,Osmia bicornis,Female,Sevilla,,3.362,NA,NA,,NA,NA,Spain,Born from coccon. not captured
115/1,Osmia,Osmia bicornis,Female,Sevilla,,2.452,NA,NA,,1.121,0.582,Spain,Born from coccon. not captured
33/51,Osmia,Osmia bicornis,Female,Sevilla,,3.267,NA,NA,,1.061,NA,Spain,Born from coccon. not captured
