ID,Genus,Species,Sex,Place,Date,IT,Weigth..g.,Head.weight..g.,Plant,Brain.Weight..mg.,No.optic.lobes.weight,Country,Notes
OC92,Osmia,Osmia cornuta,Female,Mauerbienen,,3.558,NA,NA,,NA,NA,Germany,
OC93,Osmia,Osmia cornuta,Female,Mauerbienen,,NA,NA,NA,,2.304,0.822,Germany,
OC94,Osmia,Osmia cornuta,Female,Mauerbienen,,3.73,NA,NA,,2.388,0.802,Germany,
OC95,Osmia,Osmia cornuta,Female,Mauerbienen,,3.806,NA,NA,,1.707,0.945,Germany,
OC96,Osmia,Osmia cornuta,Female,Mauerbienen,,NA,NA,NA,,NA,NA,Germany,
OC97,Osmia,Osmia cornuta,Female,Mauerbienen,,3.668,NA,NA,,1.73,0.849,Germany,
OC98,Osmia,Osmia cornuta,Male,Mauerbienen,,3.082,NA,NA,,1.449,0.705,Germany,
OC99,Osmia,Osmia cornuta,Male,Mauerbienen,,2.911,NA,NA,,1.221,0.615,Germany,
OC100,Osmia,Osmia cornuta,Male,Mauerbienen,,3.101,NA,NA,,1.506,0.589,Germany,
OC101,Osmia,Osmia cornuta,Female,Mauerbienen,,3.413,NA,NA,,NA,NA,Germany,
OC102,Osmia,Osmia cornuta,Female,Mauerbienen,,3.115,NA,NA,,1.322,0.572,Germany,
OC103,Osmia,Osmia cornuta,Male,Mauerbienen,,3.036,NA,NA,,1.675,0.877,Germany,
OC104,Osmia,Osmia cornuta,Female,Mauerbienen,,3.198,NA,NA,,1.332,0.161,Germany,
