"","Species","IT","Brain.weight","Country","Max_val","Min_val"
"1","Agapostemon sericeus",2.4765,0.855,"US_MA",0.8605,0.8385
"2","Amegilla quadrifasciata",3.764,4.06,"Spain",4.59,3.27
"3","Amegilla quadrifasciata",3.97,4.01,"Spain",4.59,3.27
"4","Amegilla quadrifasciata",4.095,4.2,"Spain",4.59,3.27
"5","Amegilla quadrifasciata",3.934,4.55,"Spain",4.59,3.27
"6","Amegilla quadrifasciata",3.74,3.48,"Spain",4.59,3.27
"7","Amegilla quadrifasciata",3.627,3.31,"Spain",4.59,3.27
"8","Amegilla quadrifasciata",3.831,3.94,"Spain",4.59,3.27
"9","Amegilla quadrifasciata",3.828,3.86,"Spain",4.59,3.27
"10","Andrena barbilabris",2.19,0.84,"Netherlands",1.335,0.543
"11","Andrena barbilabris",2.28,0.924,"Netherlands",1.335,0.543
"12","Andrena barbilabris",2.31,1.038,"Netherlands",1.335,0.543
"13","Andrena barbilabris",2.34,1.13,"Netherlands",1.335,0.543
"14","Andrena bicolor",1.83,0.739,"Netherlands",0.7755,0.6295
"15","Andrena bicolor",2.58,0.666,"Netherlands",0.7755,0.6295
"16","Andrena carantonica",2.79,1.748,"Netherlands",2.00125,1.54725
"17","Andrena carantonica",2.79,1.728,"Netherlands",2.00125,1.54725
"18","Andrena carantonica",2.7,1.686,"Netherlands",2.00125,1.54725
"19","Andrena carlini",2.4765,1.26,"US_MA",2.1225,1.0145
"20","Andrena carlini",2.7305,1.814,"US_MA",2.1225,1.0145
"21","Andrena carlini",2.929,1.6,"USA",2.1225,1.0145
"22","Andrena chrysosceles",1.8,0.759,"Netherlands",1.25125,0.39125
"23","Andrena chrysosceles",1.83,0.864,"Netherlands",1.25125,0.39125
"24","Andrena chrysosceles",1.92,0.578,"Netherlands",1.25125,0.39125
"25","Andrena chrysosceles",1.86,1.123,"Netherlands",1.25125,0.39125
"26","Andrena cineraria",2.67,1.745,"Netherlands",2.1245,1.1125
"27","Andrena cineraria",2.34,1.4,"Netherlands",2.1245,1.1125
"28","Andrena cineraria",2.55,1.803,"Netherlands",2.1245,1.1125
"29","Andrena cineraria",2.64,1.727,"Netherlands",2.1245,1.1125
"30","Andrena cineraria",3.42,1.492,"Netherlands",2.1245,1.1125
"31","Andrena dorsata",2.3,0.758,"Netherlands",0.9665,0.4105
"32","Andrena dorsata",1.68,0.619,"Netherlands",0.9665,0.4105
"33","Andrena dorsata",2.4,0.588,"Netherlands",0.9665,0.4105
"34","Andrena dorsata",2.44,0.87,"Netherlands",0.9665,0.4105
"35","Andrena dorsata",2.49,0.753,"Netherlands",0.9665,0.4105
"36","Andrena dunningi",2.6035,1.549,"US_MA",2.0965,0.6365
"37","Andrena dunningi",2.6035,1.184,"US_MA",2.0965,0.6365
"38","Andrena dunningi",3.696,1.6,"USA",2.0965,0.6365
"39","Andrena dunningi",2.54,1.304,"US_MA",2.0965,0.6365
"40","Andrena dunningi",2.4765,1.101,"US_MA",2.0965,0.6365
"41","Andrena flavipes",2.91,1.557,"Netherlands",1.7555,0.9615
"42","Andrena flavipes",2.946,1.16,"Spain",1.7555,0.9615
"43","Andrena fucata",2.75,0.65,"Netherlands",0.803,0.599
"44","Andrena fucata",2.57,0.752,"Netherlands",0.803,0.599
"45","Andrena fulva",2.61,1.655,"Netherlands",1.77325,1.43125
"46","Andrena fulva",2.79,1.484,"Netherlands",1.77325,1.43125
"47","Andrena fulva",2.88,1.635,"Netherlands",1.77325,1.43125
"48","Andrena gravida",2.46,1.67,"Netherlands",2.266375,0.865375
"49","Andrena gravida",2.37,1.405,"Netherlands",2.266375,0.865375
"50","Andrena gravida",3.34,1.954,"Netherlands",2.266375,0.865375
"51","Andrena gravida",2.37,1.348,"Netherlands",2.266375,0.865375
"52","Andrena haemorrhoa",2.46,1.125,"Netherlands",1.4565,0.9005
"53","Andrena haemorrhoa",2.43,1.289,"Netherlands",1.4565,0.9005
"54","Andrena haemorrhoa",2.49,1.057,"Netherlands",1.4565,0.9005
"55","Andrena haemorrhoa",2.43,1.248,"Netherlands",1.4565,0.9005
"56","Andrena haemorrhoa",2.37,1.109,"Netherlands",1.4565,0.9005
"57","Andrena hispania",3.016,1.82,"Spain",1.82,1.82
"58","Andrena labiata",2.04,0.34,"Netherlands",1.02325,0.16125
"59","Andrena labiata",2.35,0.629,"Netherlands",1.02325,0.16125
"60","Andrena labiata",2.31,0.771,"Netherlands",1.02325,0.16125
"61","Andrena miserabilis",1.957,0.6,"USA",0.6,0.6
"62","Andrena morio",3.04,1.55,"Spain",1.55,1.55
"63","Andrena nigriceps",2.62,0.814,"Netherlands",0.814,0.814
"64","Andrena nigroaenea",3.68,1.678,"Netherlands",2.244,1.164
"65","Andrena nigroaenea",3.33,1.46,"Netherlands",2.244,1.164
"66","Andrena nigroaenea",3.71,2,"Netherlands",2.244,1.164
"67","Andrena nitida",2.67,2.513,"Netherlands",2.7195,1.0995
"68","Andrena nitida",3.42,1.612,"Netherlands",2.7195,1.0995
"69","Andrena nitida",2.46,1.707,"Netherlands",2.7195,1.0995
"70","Andrena nitida",2.73,1.924,"Netherlands",2.7195,1.0995
"71","Andrena nitida",2.76,2.112,"Netherlands",2.7195,1.0995
"72","Andrena nubecula",1.27,0.437,"US_MA",0.4585,0.3725
"73","Andrena nubecula",1.397,0.394,"US_MA",0.4585,0.3725
"74","Andrena ovatula",2.57,0.734,"Netherlands",0.78025,0.70625
"75","Andrena ovatula",2.8,0.734,"Netherlands",0.78025,0.70625
"76","Andrena ovatula",2.71,0.771,"Netherlands",0.78025,0.70625
"77","Andrena semilaevis",1.64,0.254,"Netherlands",0.254,0.254
"78","Andrena simplex",2.435,0.7,"USA",1.025,0.425
"79","Andrena simplex",2.217,0.6,"USA",1.025,0.425
"80","Andrena simplex",2.522,0.9,"USA",1.025,0.425
"81","Andrena subopaca",1.77,0.358,"Netherlands",0.485,0.209
"82","Andrena subopaca",1.91,0.405,"Netherlands",0.485,0.209
"83","Andrena subopaca",1.86,0.267,"Netherlands",0.485,0.209
"84","Andrena tibialis",3.57,1.357,"Netherlands",2.2285,1.0665
