Species,Brain.weight,IT
Agapostemon sericeus,0.8494999999999999,2.25425
Agapostemon virescens,1.2810000000000001,1.7145
Amegilla quadrifasciata,3.92625,3.848625
Andrena angustior,0.4063333333333333,1.7973333333333332
Andrena barbilabris,0.983,2.28
Andrena bicolor,0.7025,2.205
Andrena carantonica,1.7206666666666666,2.7600000000000002
Andrena carlini,1.558,2.712
Andrena chrysosceles,0.831,1.8525
Andrena cineraria,1.6334,2.7239999999999998
Andrena cinerea,0.456,1.909
Andrena dorsata,0.7176,2.262
Andrena dunningi,1.3476,2.7839
Andrena flavipes,1.3584999999999998,2.928
Andrena fucata,0.7010000000000001,2.66
Andrena fulva,1.5913333333333333,2.76
Andrena gravida,1.59425,2.635
Andrena haemorrhoa,1.1656,2.436
Andrena hirticincta,1.168,2.667
Andrena hispania,1.82,3.016
Andrena labiata,0.5800000000000001,2.2333333333333334
Andrena milwaukeensis,1.0025,2.286
Andrena miserabilis,0.6,1.957
Andrena morio,1.55,3.04
Andrena nigriceps,0.814,2.62
Andrena nigroaenea,1.7126666666666666,3.5733333333333333
Andrena nitida,1.9736,2.808
Andrena nubecula,0.4155,1.3335
Andrena ovatula,0.7463333333333333,2.6933333333333334
Andrena pilipes,1.5656666666666668,2.9226666666666667
Andrena rhyssonota,0.43779999999999997,1.911
Andrena semilaevis,0.254,1.64
Andrena simplex,0.7333333333333333,2.3913333333333333
Andrena subopaca,0.3433333333333333,1.8466666666666667
Andrena tibialis,1.6475,3.27
Andrena varians,1.17,2.52
Andrena vicina,1.5150000000000001,2.7432
Andrena wilkella,1.1126666666666667,2.4341666666666666
Anthidium florentinum,4.46,4.254
Anthidium manicatum,2.053166666666667,2.873666666666667
Anthidium oblongatum,1.8,2.679
Anthophora dispar,4.532,3.842
Anthophora plumipes,3.676,4.08
Anthophora quadrimaculata,2.2225,3.8600000000000003
Augochlora pura,0.586,1.7429
Augochlorella aurata,0.35225,1.444625
Augochloropsis metallica,0.7010000000000001,1.9685
Bombus griseocollis,3.053,4.296833333333334
Bombus hortorum,2.334,3.65
Bombus hypnorum,2.29,3.37
Bombus impatiens,2.667875,3.9585625
Bombus jonellus,2.395,4.233333333333333
Bombus muscorum,1.8957142857142857,3.7925714285714283
Bombus pascuorum,2.71,3.9951666666666665
Bombus pratorum,2.1893333333333334,3.497
Bombus terrestris,2.823,4.3507
Calliopsis andreniformis,0.365,1.524
Ceratina calcarata,0.445,1.955
Ceratina strenua,0.153,0.889
Chelostoma philadephi,0.253,1.2065
Colletes thoracicus,1.5213333333333332,3.2808333333333333
Dasypoda hirtipes,1.47,2.957
Eucera elongatula,1.5899999999999999,2.846
Eucera rufa,2.139,3.816
Halictus confusus,0.41840000000000005,1.6809
Halictus ligatus,0.691,2.4106666666666667
Halictus rubicundus,0.9706666666666667,2.2718333333333334
Heriades rubicola,0.42,1.642
Hoplitis papaveris,1.1,2.213
Hylaeus mesillae,0.26,1.4
Hylaeus modestus,0.31,1.65
Lasioglossum calceatum,0.6647500000000001,1.885
Lasioglossum coriaceum,0.742,1.905
Lasioglossum fulvicorne,0.3,1.26
Lasioglossum immunitum,0.68,1.854
Lasioglossum leucozonium,0.48000000000000004,2.216666666666667
Lasioglossum malachurum,0.42514285714285716,1.4381428571428572
Lasioglossum punctatissimum,0.29775,1.5625
Lasioglossum sexnotatum,0.8176666666666667,2.56
Lasioglossum sexstrigatum,0.231,1.26
Lasioglossum zonulum,0.6316666666666667,2.3066666666666666
Megachile apicalis,0.97,2.4765
Megachile centuncularis,1.3815,3.329875
Megachile ligniseca,2.963,3.9
Megachile pugnata,3,4.08
Megachile rotundata,1.6,2.8594999999999997
Megachile texana,2.351,3.1115
Megachile willughbiella,1.966,3.694
Melissodes bimaculata,2.022,2.8575
Nomada agrestis,2.141,2.705
Nomada cressonii,1.76,2.304
Nomada luteoloides,1.7,2.435
Nomada merceti,0.6966666666666667,1.433
Nomada succincta,1.34,2.057
Osmia atriventris,0.447,2.032
Osmia bicornis,1.2409642857142857,3.171607142857143
Osmia caerulescens,0.855,2.8
Osmia cornifrons,0.676,2.794
Osmia cornuta,1.94,3.6310701754385963
Osmia lateralis,1.73,2.622
Osmia latreillei,1.0785,2.8114999999999997
Osmia leaiana,1.1025,2.7655
Osmia lignaria,1.1735,3.46075
Osmia pumila,0.6040000000000001,1.80975
Osmia submicans,0.5840000000000001,2.079
Panurgus banksianus,1.63,2.379
Panurgus calcaratus,0.4866666666666667,1.4163333333333332
Panurgus venustus,0.62,1.874
Rhodanthidium sticticum,2.55,3.272
Sphecodes ranunculi,0.364,1.651
Stelis breviuscula,0.382,2.02
Systropha planidens,0.92,2.405
Xylocopa cantabrita,4.403333333333333,5.191333333333334
Xylocopa valga,7.43,7.024
Xylocopa violacea,5.876,6.095000000000001
Xylocopa virginica,5.297833333333333,5.394
