ID,family,genus,species,sex,body.mass.g,head.weight.g,IT.mm,brain.fresh.mg,brain.fix.mg,no.optic.lobes.weight.mg,country
id_11,Apidae,Bombus,Bombus_impatiens,F,0.083,NA,4,1.8,2.7,NA,USA
id_114,Megachilidae,Megachile,Megachile_mendica,F,0.0755,NA,4.01,2,NA,NA,USA
id_23,Megachilidae,Anthidium,Anthidium_oblongatum,M,0.068,NA,4.15,1.7,NA,NA,USA
id_120,Apidae,Bombus,Bombus_fervidus,F,0.076,NA,4.2,2.5,NA,NA,USA
id_16,Apidae,Bombus,Bombus_impatiens,F,0.093,NA,4.23,2.2,NA,NA,USA
id_41,Megachilidae,Anthidium,Anthidium_oblongatum,F,0.069,NA,4.23,1.5,NA,NA,USA
id_46,Apidae,Bombus,Bombus_impatiens,F,0.185,NA,4.257,2.9,NA,NA,USA
id_34,Apidae,Bombus,Bombus_impatiens,F,0.22,NA,4.286,2.8,NA,NA,USA
id_68,Apidae,Bombus,Bombus_impatiens,F,0.125,NA,4.31,2.3,NA,NA,USA
id_224,Megachilidae,Megachile,Megachile_pugnata,F,NA,NA,4.08,NA,3,NA,USA
id_155,Apidae,Bombus,Bombus_impatiens,F,0.0974,NA,4.44,2.2,NA,NA,USA
id_10,Apidae,Bombus,Bombus_impatiens,F,0.092,NA,4.46,2,NA,NA,USA
id_38,Megachilidae,Anthidium,Anthidium_oblongatum,M,0.074,NA,4.46,2.1,NA,NA,USA
id_86,Apidae,Bombus,Bombus_impatiens,F,0.132,NA,4.49,2.3,NA,NA,USA
id_126,Apidae,Bombus,Bombus_impatiens,F,0.0901,NA,4.51,2.2,NA,NA,USA
id_147,Apidae,Bombus,Bombus_impatiens,F,0.1223,NA,4.55,2.1,NA,NA,USA
id_80,Apidae,Bombus,Bombus_impatiens,F,0.138,NA,4.55,2.5,NA,NA,USA
id_13,Apidae,Bombus,Bombus_impatiens,F,0.111,NA,4.62,2.4,2.7,NA,USA
id_151,Apidae,Bombus,Bombus_vagans,F,0.2823,NA,4.657,2.6,NA,NA,USA
id_148,Apidae,Bombus,Bombus_vagans,F,0.1062,NA,4.68,2.5,NA,NA,USA
id_21,Apidae,Bombus,Bombus_impatiens,F,0.109,NA,4.69,2.5,3.2,NA,USA
id_165,Apidae,Bombus,Bombus_vagans,F,0.1123,NA,4.75,2.6,NA,NA,USA
id_12,Apidae,Bombus,Bombus_impatiens,F,0.132,NA,4.85,2.7,3,NA,USA
id_128,Apidae,Bombus,Bombus_impatiens,F,0.1816,NA,4.86,2.5,NA,NA,USA
id_61,Apidae,Xylocopa,Xylocopa_virginica,F,0.391,NA,5.114,4.3,4.8,NA,USA
id_40,Apidae,Bombus,Bombus_impatiens,F,0.172,NA,5.22,3,NA,NA,USA
id_122,Apidae,Xylocopa,Xylocopa_virginica,F,0.3924,NA,5.293,4.4,NA,NA,USA
id_67,Apidae,Xylocopa,Xylocopa_virginica,F,0.395,NA,5.379,4.5,5.2,NA,USA
id_135,Apidae,Xylocopa,Xylocopa_virginica,F,0.3851,NA,5.464,4.2,NA,NA,USA
id_27,Apidae,Xylocopa,Xylocopa_virginica,F,0.601,NA,5.464,4.8,5.1,NA,USA
id_74,Apidae,Xylocopa,Xylocopa_virginica,F,0.47,NA,5.557,5,5.6,NA,USA
id_82,Apidae,Xylocopa,Xylocopa_virginica,F,0.443,NA,5.643,4.8,5.3,NA,USA
id_117,Apidae,Xylocopa,Xylocopa_virginica,M,0.3502,NA,5.821,3.9,NA,NA,USA
id_83,Apidae,Xylocopa,Xylocopa_virginica,M,0.51,NA,6,5,5.5,NA,USA
id_87,Apidae,Xylocopa,Xylocopa_virginica,M,0.436,NA,6.086,4.2,5.6,NA,USA
