Species,Brain.weight,IT,log_brain_weight,log_it,residuals
Osmia bicornis,1.2398,3.19952,0.21495007628568197,1.1630007985545558,-0.15439663654639416
Osmia caerulescens,1.034,2.705,0.03343477608623742,0.9951019122984449,-0.04335622096403288
Osmia cornifrons,0.676,2.794,-0.3915622029391729,1.02747426083477,-0.47807269976344413
Osmia cornuta,1.980173076923077,3.6741346153846153,0.6831842534735989,1.3013176261284052,0.037614850722118925
Osmia lateralis,1.73,2.622,0.5481214085096876,0.9639373853415081,0.4707691990504231
Osmia latreillei,1.4202,3.014,0.35079770676585614,1.1032681002043037,0.06404336518817297
Osmia leaiana,1.1025,2.7655,0.09758032833886404,1.0172214504525956,-0.020975031761453954
Osmia lignaria,1.1735,3.46075,0.15999073630894114,1.2414853285857073,-0.33274167996838017
Osmia pumila,0.6040000000000001,1.80975,-0.504181081047322,0.5931887141911137,0.1322939522483237
Osmia submicans,0.5840000000000001,2.079,-0.5378542961539099,0.731887008875876,-0.12523324416191842
Panurgus banksianus,1.63,2.379,0.4885800148186709,0.8666802313208206,0.30249744738284545
Panurgus calcaratus,0.4866666666666667,1.4163333333333332,-0.7201758529478646,0.34807137246456477,0.12398234195696661
Panurgus venustus,0.4776666666666667,1.8063333333333333,-0.7388421398220748,0.5912990079158674,-0.19404340904376097
Rhodanthidium sticticum,2.3057,3.4836,0.8353843179804304,1.2480662418364474,0.09872414556974594
Sphecodes ranunculi,0.364,1.651,-1.0106014113453965,0.501381164937991,-0.14582698811079917
Stelis breviuscula,0.382,2.02,-0.9623346703755619,0.7030975114131134,-0.5495056681374481
Systropha planidens,0.92,2.405,-0.08338160893905101,0.8775499035577244,0.014080991596556281
Xylocopa cantabrita,4.403333333333333,5.191333333333334,1.4823618298661243,1.6469905684866848,-0.003209836086456163
Xylocopa valga,7.43,7.024,2.005525858729668,1.9493328563328156,-0.021613924665672492
Xylocopa violacea,6.2362,6.0886000000000005,1.8303710225221632,1.8064181702367144,0.03742995661462839
Xylocopa virginica,5.2,5.4314,1.6486586255873816,1.6921969276018651,0.05628423951476983
