Species,Brain.weight,IT,log_brain_weight,log_it
Agapostemon_sericeus,0.844,2.032,-0.16960278438617998,0.7090205297162355
Agapostemon_virescens,1.2810000000000001,1.7145,0.2476410229145973,0.5391214929208379
Amegilla_quadrifasciata,3.92625,3.848625,1.3676847718707192,1.3477159416518512
Andrena_angustior,0.4063333333333333,1.7973333333333332,-0.9005814381689753,0.5863040849418961
Andrena_barbilabris,0.983,2.28,-0.017146158834970514,0.8241754429663494
Andrena_bicolor,0.7025,2.205,-0.3531098777742362,0.7907275088988094
Andrena_carantonica,1.7206666666666666,2.7600000000000002,0.5427118126283124,1.0152306797290587
Andrena_carlini,1.6,2.929,0.47000362924573563,1.0746610678455963
Andrena_chrysosceles,0.831,1.8525,-0.18512548412668892,0.616536078188105
Andrena_cineraria,1.7583333333333333,2.62,0.5643663906940205,0.9631743177730056
Andrena_cinerea,0.456,1.909,-0.7852624694677509,0.6465795447436106
Andrena_dorsata,0.74225,2.4074999999999998,-0.29806916533826794,0.8785888646901434
Andrena_dunningi,1.6,3.696,0.47000362924573563,1.3072511537794378
Andrena_flavipes,1.148375,2.5575,0.1383478996094934,0.9390302188436446
Andrena_fucata,0.7010000000000001,2.66,-0.35524739194754684,0.9783261227936078
Andrena_fulva,1.5913333333333333,2.76,0.46457223924852864,1.0152306797290584
Andrena_gravida,1.4743333333333333,2.4,0.38820591021808,0.8754687373538999
Andrena_haemorrhoa,1.1797499999999999,2.4525,0.16530255162435972,0.8971079124573812
Andrena_hirticincta,1.168,2.667,0.15529288440603525,0.9809542451998772
Andrena_hispania,2.361,2.9625,0.859085258103376,1.0860335064612496
Andrena_labiata,0.5800000000000001,2.2333333333333334,-0.5447271754416719,0.8034952377288107
Andrena_milwaukeensis,1.0025,2.286,0.002496880198587146,0.8268035653726189
Andrena_miserabilis,0.6,1.957,-0.5108256237659907,0.6714126884139392
Andrena_morio,0.55,3.04,-0.5978370007556204,1.1118575154181303
Andrena_nigriceps,0.814,2.62,-0.20579491297959682,0.9631743177730056
Andrena_nigroaenea,1.7126666666666666,3.5733333333333333,0.5380516100195821,1.2734988669745462
Andrena_nitida,2.183,2.7199999999999998,0.7807000775678068,1.000631880307906
Andrena_ovatula,0.7463333333333333,2.6933333333333334,-0.29258295105149196,0.9907795838648943
Andrena_pilipes,1.5656666666666668,2.9226666666666667,0.44831171837674844,1.07249644153755
Andrena_rhyssonota,0.43779999999999997,1.911,-0.8259930938933746,0.647626665258136
Andrena_semilaevis,0.254,1.64,-1.3704210119636004,0.494696241836107
Andrena_simplex,0.7333333333333333,2.3913333333333333,-0.3101549283038396,0.8718510904419812
Andrena_subopaca,0.3433333333333333,1.8466666666666667,-1.0690534864265653,0.6133822120910828
Andrena_tibialis,1.6475,3.27,0.49925898739452523,1.184789984909162
Andrena_varians,1.17,2.52,0.1570037488096647,0.9242589015233319
Andrena_vicina,1.5150000000000001,2.7432,0.41541543896133254,1.0091251221665736
Andrena_wilkella,1.1126666666666667,2.4341666666666666,0.10675953657153367,0.8896044666116493
Anthidium_florentinum,4.46,4.254,1.4951487660319727,1.4478597167780454
Anthidium_manicatum,1.952,2.8388,0.6688544879909007,1.0433814276686908
Anthidium_oblongatum,1.8,2.679,0.5877866649021191,0.9854435905624717
