Species,Brain.weight,IT,log_brain_weight,log_it
Anthophora_dispar,4.532,3.842,1.5111633431657598,1.345993064346365
Anthophora_plumipes,3.676,4.08,1.3018252044934406,1.4060969884160703
Anthophora_quadrimaculata,2.2225,3.8600000000000003,0.7986326884059226,1.3506671834767396
Anthophora_retusa,2.096,3.923,0.7400307664587957,1.3668566672274156
Augochlora_pura,0.5,2.174,-0.6931471805599453,0.7765687886990177
Augochlorella_aurata,0.35225,1.444625,-1.0434141282033473,0.3678497723134684
Augochloropsis_metallica,0.7010000000000001,1.9685,-0.35524739194754684,0.6772718314016551
Bombus_griseocollis,3.053,4.296833333333334,1.1161247137527408,1.4578783172901866
Bombus_hypnorum,2.29,3.37,0.8285518175661483,1.2149127443642704
Bombus_impatiens,2.8000000000000003,4.416,1.0296194171811583,1.4852343089747944
Bombus_jonellus,2.395,4.233333333333333,0.8733832308628786,1.442989704796436
Bombus_muscorum,1.8957142857142857,3.7925714285714283,0.6395956992888028,1.3330442662283652
Bombus_pascuorum,2.4040909090909093,3.697909090909091,0.8771718317195728,1.3077675493499112
Bombus_pratorum,2.019,3.562,0.7026023393307005,1.27032218486747
Bombus_terrestris,2.8842,4.1262,1.0592475651458328,1.4173568865717083
Calliopsis_andreniformis,0.365,1.524,-1.0078579253996456,0.42133845726445457
Ceratina_calcarata,0.445,1.955,-0.8096809968158968,0.6703901934373291
Ceratina_strenua,0.153,0.889,-1.8773173575897015,-0.11765804346823246
Chelostoma_philadephi,0.253,1.2065,-1.374365790254617,0.1877236060829493
Colletes_thoracicus,1.5213333333333332,3.2808333333333333,0.4195871433317194,1.1880974551676458
Dasypoda_hirtipes,0.47,2.957,-0.7550225842780328,1.08417524087034
Eucera_elongatula,1.5899999999999999,2.846,0.46373401623214006,1.0459144996676606
Eucera_rufa,2.139,3.816,0.7603384301002685,1.33920275358604
Halictus_confusus,0.47300000000000003,1.849,-0.748659890490204,0.6146449524049877
Halictus_ligatus,0.71,2.5999999999999996,-0.342490308946776,0.9555114450274362
Halictus_rubicundus,0.9706666666666667,2.2718333333333334,-0.029772158333670144,0.820587141360651
Heriades_rubicola,0.42,1.229,-0.8675005677047231,0.20620083058389785
Hoplitis_papaveris,1.1,2.213,0.09531017980432493,0.7943490610689127
Hylaeus_mesillae,0.26,1.4,-1.3470736479666092,0.3364722366212129
Hylaeus_modestus,0.31,1.65,-1.171182981502945,0.5007752879124892
Lasioglossum_calceatum,0.6653333333333333,1.7466666666666666,-0.40746711077883746,0.557709209664841
Lasioglossum_dialictus,0.31,1.304,-1.171182981502945,0.26543646350446126
Lasioglossum_fulvicorne,0.3,1.26,-1.2039728043259361,0.23111172096338664
Lasioglossum_immunitum,0.4997857142857143,1.8327142857142857,-0.693575843851499,0.6057980842118899
Lasioglossum_leucozonium,0.48000000000000004,2.216666666666667,-0.7339691750802003,0.7960045659996531
Lasioglossum_malachurum,0.42514285714285716,1.4381428571428572,-0.8553300320844679,0.36335259869197295
Lasioglossum_punctatissimum,0.29775,1.5625,-1.2115010707467275,0.44628710262841953
Lasioglossum_sexnotatum,0.8176666666666667,2.56,-0.20130052339175747,0.9400072584914712
Lasioglossum_sexstrigatum,0.231,1.26,-1.4653375684603434,0.23111172096338664
Lasioglossum_zonulum,0.6316666666666667,2.3066666666666666,-0.45939345013371996,0.8358034809614685
Megachile_apicalis,0.97,2.4765,-0.030459207484708574,0.9068462730461554
Megachile_centuncularis,1.4769999999999999,3.614333333333333,0.3900130035492427,1.2849074218219352
Megachile_pugnata,3,4.08,1.0986122886681098,1.4060969884160703
Megachile_rotundata,1.6,2.8594999999999997,0.47000362924573563,1.0506467843732337
Megachile_texana,2.351,3.1115,0.8548407695579324,1.1351049250271354
Megachile_willughbiella,1.966,3.694,0.6760010217249748,1.3067098817770482
Nomada_agrestis,2.141,2.705,0.7612730096075457,0.9951019122984449
Nomada_cressonii,1.76,2.304,0.5653138090500605,0.8346467428336447
Nomada_luteoloides,1.7,2.435,0.5306282510621704,0.8899467565345531
Nomada_merceti,0.6966666666666667,1.433,-0.3614482226913901,0.3597701488460348
Nomada_succincta,1.34,2.057,0.29266961396282004,0.7212486106708201
Osmia_atriventris,0.447,2.032,-0.8051966843685682,0.7090205297162355
Osmia_bicornis,1.2398,3.19952,0.21495007628568197,1.1630007985545558
Osmia_caerulescens,1.034,2.705,0.03343477608623742,0.9951019122984449
Osmia_cornifrons,0.676,2.794,-0.3915622029391729,1.02747426083477
Osmia_cornuta,1.980173076923077,3.6741346153846153,0.6831842534735989,1.3013176261284052
Osmia_lateralis,1.73,2.622,0.5481214085096876,0.9639373853415081
Osmia_latreillei,1.4202,3.014,0.35079770676585614,1.1032681002043037
Osmia_leaiana,1.1025,2.7655,0.09758032833886404,1.0172214504525956
Osmia_lignaria,1.1735,3.46075,0.15999073630894114,1.2414853285857073
Osmia_pumila,0.6040000000000001,1.80975,-0.504181081047322,0.5931887141911137
Osmia_submicans,0.5840000000000001,2.079,-0.5378542961539099,0.731887008875876
Panurgus_banksianus,1.63,2.379,0.4885800148186709,0.8666802313208206
Panurgus_calcaratus,0.4866666666666667,1.4163333333333332,-0.7201758529478646,0.34807137246456477
Panurgus_venustus,0.4776666666666667,1.8063333333333333,-0.7388421398220748,0.5912990079158674
Rhodanthidium_sticticum,2.3057,3.4836,0.8353843179804304,1.2480662418364474
Sphecodes_ranunculi,0.364,1.651,-1.0106014113453965,0.501381164937991
Stelis_breviuscula,0.382,2.02,-0.9623346703755619,0.7030975114131134
Systropha_planidens,0.92,2.405,-0.08338160893905101,0.8775499035577244
Xylocopa_cantabrita,4.403333333333333,5.191333333333334,1.4823618298661243,1.6469905684866848
Xylocopa_valga,7.43,7.024,2.005525858729668,1.9493328563328156
Xylocopa_violacea,6.2362,6.0886000000000005,1.8303710225221632,1.8064181702367144
Xylocopa_virginica,5.2,5.4314,1.6486586255873816,1.6921969276018651
