Species,ID,IT_Sayol,BrainWeight_Sayol,IT_Collado,BrainWeight_Collado
Agapostemon sericeus,100,2.41,0.95,2.41,NA
Andrena carlini,202,2.929,NA,4.1,1.6
Andrena dunningi,201,3.696,NA,2.36,0.6
Andrena miserabilis,203,1.957,NA,2.84,0.6
Andrena nubecula,24,2.46,1.2,2.46,NA
Andrena simplex,204,2.522,NA,3.65,0.9
Andrena simplex,205,2.217,NA,3.21,0.4
Andrena simplex,206,2.435,NA,3.53,0.7
Anthidium manicatum,22,3.843,2.5,5.38,2.8
Anthidium manicatum,29,3.793,2.1,5.31,2.7
Anthidium manicatum,35,3.736,2.5,5.23,3.3
Anthidium manicatum,36,3.407,2.1,4.77,NA
Anthidium oblongatum,23,4.15,1.7,4.15,NA
Anthidium oblongatum,26,2.75,2,3.85,2.3
Anthidium oblongatum,37,2.75,1.5,3.85,NA
Anthidium oblongatum,38,4.46,2.1,4.46,NA
Anthidium oblongatum,39,2.75,1.6,3.85,NA
Anthidium oblongatum,41,4.23,1.5,4.23,NA
Anthidium oblongatum,42,2.8,1.5,3.92,NA
Anthidium oblongatum,47,2.8,1.5,3.92,NA
Anthidium oblongatum,48,2.8,1.5,3.92,NA
Anthidium oblongatum,53,2.679,1.5,3.75,1.8
Anthidium oblongatum,65,3.94,1.3,3.94,NA
Apis mellifera,25,3.079,1.8,4.31,1.9
Apis mellifera,63,3.25,1.8,4.55,NA
Apis mellifera,64,3.036,1.7,4.25,NA
Apis mellifera,71,2.986,2,4.18,NA
Apis mellifera,75,2.986,1.9,4.18,NA
Apis mellifera,81,3.036,1.9,4.25,NA
Augochlora pura,102,2.47,0.91,2.47,NA
Augochlora pura,138,1.98,0.52,1.98,NA
Augochlora pura,207,2.174,NA,3.15,0.5
Augochlora pura,50,2.63,0.55,2.63,NA
Augochlora pura,95,2.47,0.97,2.47,NA
Bombus fervidus,120,4.2,2.5,4.2,NA
Bombus impatiens,10,4.46,2,4.46,NA
Bombus impatiens,11,4,1.8,4,2.7
Bombus impatiens,12,4.85,2.7,4.85,3
Bombus impatiens,126,4.51,2.2,4.51,NA
Bombus impatiens,127,3.171,1.9,4.44,NA
Bombus impatiens,128,4.86,2.5,5.31,NA
Bombus impatiens,13,4.62,2.4,4.62,2.7
Bombus impatiens,14,3.92,2.1,3.92,2.4
Bombus impatiens,147,4.55,2.1,4.55,NA
Bombus impatiens,155,4.44,2.2,4.44,NA
Bombus impatiens,16,4.23,2.2,4.23,NA
Bombus impatiens,21,4.69,2.5,4.69,3.2
Bombus impatiens,34,4.286,2.8,6,NA
Bombus impatiens,40,5.22,3,5.46,NA
Bombus impatiens,45,3.407,2.4,4.77,NA
Bombus impatiens,46,4.257,2.9,5.46,NA
Bombus impatiens,68,4.31,2.3,4.31,NA
Bombus impatiens,80,4.55,2.5,4.55,NA
Bombus impatiens,84,3.82,2.2,3.82,NA
Bombus impatiens,86,4.49,2.3,4.49,NA
Bombus vagans,148,4.68,2.5,4.68,NA
Bombus vagans,151,4.657,2.6,6.52,NA
Bombus vagans,165,4.75,2.6,4.75,NA
Ceratina calcarata,116,1.91,0.29,1.91,NA
Ceratina calcarata,134,1.83,0.28,1.83,0.43
Ceratina calcarata,136,1.98,0.5,1.98,NA
Ceratina calcarata,158,1.88,0.34,1.88,NA
Ceratina calcarata,208,0.95,NA,2.39,0.4
Ceratina calcarata,33,2.08,0.39,2.08,0.46
Ceratina calcarata,49,1.993,0.48,2.79,NA
Ceratina calcarata,51,2.064,0.38,2.89,NA
Colletes compactus,159,2.814,1.6,3.94,NA
Colletes simulans,106,2.557,1.6,3.58,NA
Colletes simulans,109,2.779,1.5,3.89,NA
Colletes simulans,113,2.643,1.4,3.7,NA
Colletes simulans,145,2.371,1,3.32,NA
Epeolus scutellaris,73,2.58,1.65,2.58,NA
Epeolus scutellaris,79,2.83,1.3,2.83,NA
Halictus confusus,210,1.867,NA,2.39,0.56
Halictus confusus,60,1.957,0.45,2.74,NA
Halictus ligatus,118,2.59,0.55,2.59,NA
Halictus ligatus,124,2.16,0.71,2.16,NA
Halictus ligatus,125,2.1,0.64,2.1,NA
Halictus ligatus,139,2.28,0.46,2.28,0.67
Halictus ligatus,140,2.52,0.6,2.52,0.73
Halictus ligatus,141,1.88,0.42,1.88,0.63
Halictus ligatus,142,2.23,0.56,2.23,0.72
Halictus ligatus,216,2.55,NA,3.21,0.72
Halictus ligatus,217,2.65,NA,3.34,0.7
Halictus ligatus,97,2.59,0.74,2.59,NA
Hylaeus mesillae,219,1.4,NA,1.76,0.34
Hylaeus modestus,101,1.48,0.23,1.48,NA
Hylaeus modestus,220,1.65,NA,2.08,0.31
Hylaeus modestus,99,1.46,0.22,0.99,NA
Lasioglossum coriaceum,144,2.52,0.85,2.52,NA
Lasioglossum cressonii,32,2,0.38,2,NA
Lasioglossum imitatum,137,1.09,0.15,1.09,NA
Lasioglossum imitatum,157,1.34,0.2,1.34,NA
Lasioglossum imitatum,161,1.19,0.22,1.19,NA
Lasioglossum imitatum,163,1.29,0.21,1.29,NA
Lasioglossum imitatum,43,1.74,0.3,1.74,NA
Lasioglossum imitatum,55,1.79,0.31,1.79,NA
Lasioglossum sp,123,1.79,0.34,1.79,NA
Lasioglossum sp,160,1.29,0.2,1.29,NA
Lasioglossum sp,162,1.49,0.32,1.49,NA
Lasioglossum sp,44,1.74,0.28,1.74,NA
Lasioglossum sp,58,1.729,0.42,2.42,NA
Lasioglossum sp,62,1.879,0.43,2.63,NA
Lasioglossum sp,66,1.579,0.4,2.21,NA
Lasioglossum sp,93,1.79,0.4,1.79,NA
Megachile centuncularis,89,3.69,1.4,3.69,NA
Megachile latimanus,115,3.571,2.1,5,NA
Megachile mendica,114,4.01,2,4.01,NA
Megachile mucida,69,3.164,1.5,4.43,NA
Megachile pugnata,224,4.08,NA,6.43,3
Megachile relativa,104,2.6,1.2,3.64,NA
Megachile relativa,107,3.69,1.5,3.69,NA
Megachile relativa,98,2.6,1.3,3.64,NA
Megachile rotundata,225,2.826,NA,4.1,2
Megachile rotundata,52,2.893,1,4.05,1.2
Megachile rotundata,72,2.71,0.93,2.71,NA
Megachile rotundata,77,3.79,0.88,3.79,NA
Melissodes agilis,59,3.121,1.1,4.37,NA
Melissodes bimaculata,132,2.643,1.3,3.7,NA
Melissodes bimaculata,133,2.514,1,3.52,NA
Nomada cressonii,226,2.304,NA,3.34,1.76
Nomada luteoloides,227,2.435,NA,3.53,1.7
Xylocopa virginica,117,5.821,3.9,8.15,NA
Xylocopa virginica,122,5.293,4.4,7.41,NA
Xylocopa virginica,135,5.464,4.2,7.65,NA
Xylocopa virginica,27,5.464,4.8,7.65,5.1
Xylocopa virginica,61,5.114,4.3,7.16,4.8
Xylocopa virginica,67,5.379,4.5,7.53,5.2
Xylocopa virginica,74,5.557,5,7.78,5.6
Xylocopa virginica,82,5.643,4.8,7.9,5.3
Xylocopa virginica,83,6,5,8.4,5.5
Xylocopa virginica,87,6.086,4.2,8.52,5.6
