"","x"
"1","Agapostemon sericeus"
"2","Agapostemon virescens"
"3","Amegilla quadrifasciata"
"4","Andena vicina"
"5","Andrena angustior"
"6","Andrena barbilabris"
"7","Andrena bicolor"
"8","Andrena carantonica"
"9","Andrena carlini"
"10","Andrena chrysosceles"
"11","Andrena cineraria"
"12","Andrena cinerea"
"13","Andrena crataegi"
"14","Andrena dorsata"
"15","Andrena dunningi"
"16","Andrena flavipes"
"17","Andrena fragilis"
"18","Andrena frigida"
"19","Andrena fucata"
"20","Andrena fulva"
"21","Andrena fulvida"
"22","Andrena gravida"
"23","Andrena haemorrhoa"
"24","Andrena hippotes"
"25","Andrena hirticincta"
"26","Andrena hispania"
"27","Andrena labiata"
"28","Andrena milwaukeensis"
"29","Andrena miserabilis"
"30","Andrena morio"
"31","Andrena nasonii"
"32","Andrena nigriceps"
"33","Andrena nigroaenea"
"34","Andrena nitida"
"35","Andrena nubecula"
"36","Andrena ovatula"
"37","Andrena pilipes"
"38","Andrena pruni"
"39","Andrena rhyssonota"
"40","Andrena rugosa"
"41","Andrena semilaevis"
"42","Andrena simplex"
"43","Andrena subopaca"
"44","Andrena tibialis"
"45","Andrena varians"
"46","Andrena vicina"
"47","Andrena wilkella"
"48","Anthidium florentinum"
"49","Anthidium manicatum"
"50","Anthidium oblongatum"
"51","Anthophora bimaculata"
"52","Anthophora plumipes"
"53","Anthophora quadrimaculata"
"54","Anthophora retusa"
"55","Anthopora dispar"
"56","Augochlora pura"
"57","Augochlorella aurata"
"58","Augochloropsis metallica"
"59","Bombus griseocollis"
"60","Bombus hypnorum"
"61","Bombus impatiens"
"62","Bombus jonellus"
"63","Bombus lucorum"
"64","Bombus muscorum"
"65","Bombus pascuorum"
"66","Bombus pratorum"
"67","Bombus ternarius"
"68","Bombus terrestris"
"69","Bombus vagans"
"70","Calliopsis andreniformis"
"71","Ceratina calcarata"
"72","Ceratina strenua"
"73","Chelostoma philadephi"
"74","Colletes hylaeiformis"
"75","Colletes thoracicus"
"76","Dasypoda cingulata"
"77","Dasypoda crassicornis"
"78","Dasypoda hirtipes"
"79","Dasypoda iberica"
"80","Dufourea novaeangliae"
"81","Eucera elongatula"
"82","Eucera notata"
"83","Eucera rufa"
"84","Flavipanurgus venustus"
"85","Halictus confusus"
"86","Halictus ligatus"
"87","Halictus quadricinctus"
"88","Halictus rubicundus"
"89","Heriades carinatus"
"90","Heriades rubicola"
"91","Hoplitis papaveris"
"92","Hoplitis pilosiformis"
"93","Hylaeus leptocephalus"
"94","Hylaeus mesillae"
"95","Hylaeus modestus"
"96","Lasioglossum calceatum"
"97","Lasioglossum coriaceum"
"98","Lasioglossum dialictus"
"99","Lasioglossum fulvicorne"
"100","Lasioglossum immunitum"
"101","Lasioglossum leucozonium"
"102","Lasioglossum malachurum"
"103","Lasioglossum punctatissimum"
"104","Lasioglossum quebecensis"
"105","Lasioglossum sexnotatum"
"106","Lasioglossum sexstrigatum"
"107","Lasioglossum zonulum"
"108","Megachile apicalis"
"109","Megachile campanulae"
"110","Megachile centuncularis"
"111","Megachile gemula"
"112","Megachile inimica"
"113","Megachile mendica"
"114","Megachile pugnata"
"115","Megachile rotundata"
"116","Megachile sculpturalis"
"117","Megachile texana"
"118","Megachile willughbiella"
"119","Melissodes bimaculata"
"120","Nomada agrestis"
"121","Nomada cressonii"
"122","Nomada discrepans"
"123","Nomada luteoloides"
"124","Nomada merceti"
"125","Nomada succincta"
"126","Osmia atriventris"
"127","Osmia bicornis"
"128","Osmia bucephala"
"129","Osmia caerulescens"
"130","Osmia cornifrons"
"131","Osmia cornuta"
"132","Osmia lateralis"
"133","Osmia latreillei"
"134","Osmia leaiana"
"135","Osmia lignaria"
"136","Osmia pumila"
"137","Osmia submicans"
"138","Panurgus banksianus"
"139","Panurgus calcaratus"
"140","Panurgus dargius"
"141","Psithyrus vestalis"
"142","Ptilothrix bombiformis"
"143","Rhodanthidium sticticum"
"144","Sphecodes ranunculi"
"145","Stelis breviuscula"
"146","Systropha planidens"
"147","Xylocopa cantabrita"
"148","Xylocopa valga"
"149","Xylocopa violacea"
"150","Xylocopa virginica"
