"","id","cover","percent","cover2"
"1","Sam Droege","90",1,"90"
"2","bren101112","43",1,"43"
"3","Kyle Testerman","43",1,"43"
"4","John Ascher","41",1,"41"
"5","Tom Wood | Jason Gibbs","21",1,"21"
"6","Nathaniel Sharp","24",1,"24"
"7","Sam Droege","22",1,"22"
"8","Tom Wood | Jason Gibbs","81",1,"81"
"9","Sam Droege","82",1,"82"
"10","Sam Droege","41",1,"41"
"11","Nathaniel Sharp","41",1,"41"
"12","Tom Wood | Jason Gibbs","81",1,"81"
"13","Tom Wood | Jason Gibbs","21",1,"21"
"14","Sam Droege","71",1,"71"
"15","Heather Harmon","82",1,"82"
"16","Sam Droege","21",1,"21"
"17","John Ascher","24",1,"24"
"18","yyih","23",1,"23"
"19","Sam Droege","82",1,"82"
"20","Tom Wood | Jason Gibbs","43",1,"43"
"21","Tom Wood | Jason Gibbs","71",1,"71"
"22","John Ascher","41",1,"41"
"23","Sam Droege","90",1,"90"
"24","Sam Droege","41",1,"41"
"25","Tom Wood | Jason Gibbs","21",1,"21"
"26","Heather Harmon","82",1,"82"
"27","Tom Wood | Jason Gibbs","81",1,"81"
"28","Sam Droege","11",1,"11"
"29","Sam Droege","22",1,"22"
"30","Steve King","23",1,"23"
"31","Tom Wood | Jason Gibbs","21",1,"21"
"32","John Ascher","23",1,"23"
"33","Tom Wood | Jason Gibbs","81",1,"81"
"34","Sam Droege","41",1,"41"
"35","John Ascher","41",1,"41"
"36","Sam Droege","82",1,"82"
"37","Sam Droege","81",1,"81"
"38","Sam Droege","82",1,"82"
"39","Tom Wood | Jason Gibbs","24",1,"24"
"40","Sam Droege","41",1,"41"
"41","klittle2","23",1,"23"
"42","John Ascher","41",1,"41"
"43","Sam Droege","82",1,"82"
"44","Tom Wood | Jason Gibbs","21",1,"21"
"45","Sam Droege","21",1,"21"
"46","Sam Droege","82",1,"82"
"47","Tom Wood | Jason Gibbs","81",1,"81"
"48","klittle2","43",1,"43"
"49","John Ascher","41",1,"41"
"50","Heather Harmon","42",1,"42"
"51","Sam Droege","41",1,"41"
"52","Heather Harmon","42",1,"42"
"53","Sam Droege","82",1,"82"
"54","Tom Wood | Jason Gibbs","21",1,"21"
"55","Sam Droege","21",1,"21"
"56","Tom Wood | Jason Gibbs","81",1,"81"
"57","Tom Wood | Jason Gibbs","24",1,"24"
"58","Sam Droege","21",1,"21"
"59","Sam Droege","52",1,"52"
"60","Sam Droege","43",1,"43"
"61","Tom Wood | Jason Gibbs","21",1,"21"
"62","Sam Droege","90",1,"90"
"63","Joshua Lincoln","11",1,"11"
"64","Sam Droege","90",1,"90"
"65","John Ascher","22",1,"22"
"66","stormwatcher21","23",1,"23"
"67","Sam Droege","90",1,"90"
"68","Tom Wood | Jason Gibbs","71",1,"71"
"69","Tom Wood | Jason Gibbs","81",1,"81"
"70","Sam Droege","82",1,"82"
"71","Sam Droege","95",1,"95"
"72","Sam Droege","82",1,"82"
"73","Sam Droege","52",1,"52"
"74","Sam Droege","82",1,"82"
"75","Tom Wood | Jason Gibbs","81",1,"81"
"76","Sam Droege","52",1,"52"
"77","Sam Droege","52",1,"52"
"78","Joe MacIndewar","23",1,"23"
"79","Sam Droege","90",1,"90"
"80","Sam Droege","90",1,"90"
"81","Tom Wood | Jason Gibbs","24",1,"24"
"82","Tom Wood | Jason Gibbs","81",1,"81"
"83","Sam Droege","21",1,"21"
"84","snakebird15","21",1,"21"
"85","Tom Wood | Jason Gibbs","81",1,"81"
"86","Sam Droege","52",1,"52"
"87","Sam Droege","82",1,"82"
"88","Sam Droege","82",1,"82"
"89","Sam Droege","21",1,"21"
"90","Sam Droege","21",1,"21"
"91","Tom Wood | Jason Gibbs","22",1,"22"
"92","John Ascher","23",1,"23"
"93","Jessica Utrup","22",1,"22"
"94","Mike Mulqueen","24",1,"24"
"95","Tom Wood | Jason Gibbs","22",1,"22"
"96","John Ascher","81",1,"81"
"97","Nick Dorian","22",1,"22"
"98","Kyle Testerman","42",1,"42"
"99","Sam Droege","82",1,"82"
"100","Tom Wood | Jason Gibbs","21",1,"21"
