Species,Brain.weight,IT,residuals
Agapostemon sericeus,0.8494999999999999,2.25425,0.017469030564313426
Agapostemon virescens,1.2810000000000001,1.7145,0.9429041275784527
Amegilla quadrifasciata,3.92625,3.848625,0.5423809134749137
Andena vicina,1.334,2.413,0.3407833488791346
Andrena angustior,0.4063333333333333,1.7973333333333332,-0.2940454955222933
Andrena barbilabris,0.983,2.28,0.14207119408139418
Andrena bicolor,0.7025,2.205,-0.13099347378781145
Andrena carantonica,1.8105,2.775,0.3833473537748119
Andrena carlini,1.558,3.102333333333333,0.023463709174049417
Andrena chrysosceles,0.831,1.8525,0.364559004456993
Andrena cineraria,1.6334,2.7239999999999998,0.3152902219719008
Andrena cinerea,0.456,1.909,-0.2920749093156003
Andrena crataegi,0.7983333333333333,1.9685,0.2102414636185167
Andrena dorsata,0.7176,2.262,-0.1577205995630248
Andrena dunningi,1.2845,2.555875,0.19479698707689747
Andrena flavipes,1.1796666666666666,2.572111111111111,0.0977512911768199
Andrena fragilis,0.378,1.27,0.28675060106044004
Andrena frigida,0.56,2.143125,-0.3041782468685128
Andrena fucata,0.7010000000000001,2.66,-0.48591136513522837
Andrena fulva,1.5913333333333333,2.76,0.26450901387643333
Andrena fulvida,0.498,2.04,-0.32877734038395806
Andrena gravida,1.59425,2.635,0.35349694278533295
Andrena haemorrhoa,1.1656,2.436,0.18799783531792033
Andrena hippotes,0.57,1.9685,-0.1266483967297935
Andrena hirticincta,1.168,2.667,0.01968671044994412
Andrena hispania,2.361,2.9625,0.5258768702964325
Andrena labiata,0.5800000000000001,2.2333333333333334,-0.34662056608427605
Andrena milwaukeensis,1.0025,2.286,0.15677203234654208
Andrena miserabilis,0.4545,2.0549999999999997,-0.4339561684114427
Andrena morio,0.55,3.04,-0.9796076003551557
Andrena nasonii,0.3305,1.27,0.1524630647325932
Andrena nigriceps,0.814,2.62,-0.30796582121833327
Andrena nigroaenea,1.7126666666666666,3.5733333333333333,-0.14768657113672629
Andrena nitida,1.9736,2.808,0.4473727350652401
Andrena nubecula,0.4155,1.3335,0.2895888081504049
Andrena ovatula,0.7463333333333333,2.6933333333333334,-0.4466657363649135
Andrena pilipes,1.4571428571428573,2.9064285714285716,0.07920278947750543
Andrena pruni,0.6605,1.762125,0.22898100579615976
Andrena rhyssonota,0.4663333333333333,1.9115,-0.27212810674754
Andrena rugosa,0.5153333333333333,1.5451666666666666,0.22787507861675585
Andrena semilaevis,0.277,1.575,-0.4288832047065232
Andrena simplex,0.5868,2.7511,-0.7270607084860968
Andrena subopaca,0.3433333333333333,1.8466666666666667,-0.513438132746577
Andrena tibialis,1.6475,3.27,-0.019661581285877614
Andrena varians,1.17,2.52,0.1280135263842357
Andrena vicina,1.56025,2.82575,0.20050982297870773
Andrena wilkella,1.0102499999999999,2.286,0.16447297712440082
Anthidium florentinum,4.6850000000000005,4.307,0.5074568353169864
Anthidium manicatum,2.3458,3.6718,0.1157702512841453
Anthidium oblongatum,1.7525714285714287,3.071857142857143,0.1597096032964796
Anthophora bimaculata,1.48,2.82,0.15153630778201646
Anthophora plumipes,3.752,3.9930000000000003,0.4277319804408007
Anthophora quadrimaculata,2.2225,3.8600000000000003,-0.03222099886388519
Anthophora retusa,2.096,3.923,-0.12126734715960083
Anthopora dispar,4.532,3.842,0.6890993664142556
Augochlora pura,0.586,1.9381,-0.06969729492172949
Augochlorella aurata,0.35225,1.444625,-0.02607347221489104
Augochloropsis metallica,0.7010000000000001,1.9685,0.08022312947620099
Bombus griseocollis,3.053,4.296833333333334,0.08365981284581486
Bombus hypnorum,2.29,3.37,0.2529852096561737
Bombus impatiens,2.5936666666666666,4.142055555555555,-0.010403804040688736
Bombus jonellus,2.3005,4.0175,-0.07293359941427927
Bombus lucorum,2.4,4.861,-0.3889864431739591
Bombus muscorum,2.1822222222222223,3.8116666666666665,-0.026814369867662963
Bombus pascuorum,2.4040909090909093,3.697909090909091,0.12699117712142755
Bombus pratorum,2.0264166666666665,3.5877499999999998,0.01295919625865095
Bombus ternarius,1.987,3.1115,0.2611384635095426
Bombus terrestris,3.052811320754717,4.228792452830189,0.11361434512054332
Bombus vagans,1.179,2.794,-0.05842073534299761
Calliopsis andreniformis,0.365,1.524,-0.09110307897446049
Ceratina calcarata,0.332,1.7061666666666668,-0.39819471256302574
Ceratina strenua,0.153,0.889,0.053023809524567596
Chelostoma philadephi,0.253,1.2065,-0.018296742075783846
Colletes hylaeiformis,1.35,2.311,0.4339259176541801
Colletes thoracicus,1.5213333333333332,3.2808333333333333,-0.10555314403985841
Dasypoda cingulata,1.44,2.820333333333333,0.12391506466036674
Dasypoda crassicornis,1.07,2.588,-0.011402828418706903
Dasypoda hirtipes,0.47,2.957,-1.084736491915638
Dasypoda iberica,1.115,2.4909999999999997,0.1016304135126522
Dufourea novaeangliae,0.332,1.4181666666666666,-0.050518843443588514
Eucera elongatula,1.5899999999999999,2.846,0.20596967385097834
Eucera notata,1.69925,3.3365,-0.026592637345455566
Eucera rufa,2.139,3.816,-0.04895632441966755
Flavipanurgus venustus,0.5534,1.7896,0.02297038724907236
Halictus confusus,0.41840000000000005,1.7855,-0.2523595569527458
Halictus ligatus,0.689,2.4988571428571427,-0.38566018050853035
Halictus quadricinctus,1.55,2.895,0.14838919617724772
Halictus rubicundus,0.83875,2.313875,-0.04435925574624953
Heriades carinatus,0.269,1.2065,0.04302514879853509
Heriades rubicola,0.42,1.229,0.45382194320901764
Hoplitis papaveris,0.9533333333333334,2.376333333333333,0.033605244190088375
Hoplitis pilosiformis,0.48,1.5875,0.10601965306336351
Hylaeus leptocephalus,0.183,0.9525,0.10233051079817344
Hylaeus mesillae,0.34,1.76,-0.4328013724622693
Hylaeus modestus,0.31,2.08,-0.8393209529115807
Lasioglossum calceatum,0.6563333333333333,1.8916666666666666,0.08925367701435019
Lasioglossum coriaceum,0.742,1.905,0.1987259543310027
Lasioglossum dialictus,0.31,1.89,-0.6591852514124742
Lasioglossum fulvicorne,0.3,1.26,0.07050462004176511
Lasioglossum immunitum,0.494125,1.7731875,-0.07299638301606123
Lasioglossum leucozonium,0.48000000000000004,2.216666666666667,-0.5217763102700773
