"","Species","IT","Brain.weight","residuals","Brain.IT","original.trends","source","f.trend","Bartomeus.Estimate","Bartomeus.SE"
"1","Agapostemon sericeus",2.4765,0.855,-0.172039468063431,0.345245305875227,"increasing","Bartomeus","increasing",0.0054,0.0024
"2","Agapostemon virescens",2.0955,1.312,0.564603130496871,0.626103555237414,"increasing","Bartomeus","increasing",0.0052,0.0026
"3","Agapostemon virescens",1.3335,1.25,1.35070533053178,0.937382827146607,"increasing","Bartomeus","increasing",0.0052,0.0026
"4","Andrena barbilabris",2.34,1.13,0.211509993284588,0.482905982905983,"1.59","Scheper","increasing",-0.0095,0.0024
"5","Andrena barbilabris",2.28,0.924,0.0582083377309799,0.405263157894737,"1.59","Scheper","increasing",-0.0095,0.0024
"6","Andrena barbilabris",2.34,0.296,-1.12810346409774,0.126495726495726,"1.59","Scheper","increasing",-0.0095,0.0024
"7","Andrena barbilabris",2.31,1.038,0.150412021544096,0.449350649350649,"1.59","Scheper","increasing",-0.0095,0.0024
"8","Andrena barbilabris",2.19,0.84,0.0372568563452988,0.383561643835616,"1.59","Scheper","increasing",-0.0095,0.0024
"9","Andrena bicolor",1.83,0.739,0.240726188376002,0.403825136612022,"1.26","Scheper","increasing",NA,NA
"10","Andrena bicolor",2.58,0.666,-0.497445574816887,0.258139534883721,"1.26","Scheper","increasing",NA,NA
"11","Andrena carantonica",2.79,1.748,0.323013339752495,0.626523297491039,"1.92","Scheper","increasing",NA,NA
"12","Andrena carantonica",2.82,2.08,0.47716197878655,0.73758865248227,"1.92","Scheper","increasing",NA,NA
"13","Andrena carantonica",2.79,1.728,0.311505732901015,0.619354838709677,"1.92","Scheper","increasing",NA,NA
"14","Andrena carantonica",2.7,1.686,0.347440584877568,0.624444444444444,"1.92","Scheper","increasing",NA,NA
"15","Andrena carlini",2.4765,1.26,0.215726062945333,0.50878255602665,"declining","Bartomeus","declining",-0.0047,0.0016
"16","Andrena carlini",4.1,1.6,-0.476189502686144,0.390243902439024,"declining","Bartomeus","declining",-0.0047,0.0016
"17","Andrena carlini",2.7305,1.814,0.399876366739413,0.664347189159495,"declining","Bartomeus","declining",-0.0047,0.0016
"18","Andrena chrysosceles",1.83,0.864,0.397001036231856,0.472131147540984,"1.7","Scheper","increasing",NA,NA
"19","Andrena chrysosceles",1.92,0.578,-0.0936384754921107,0.301041666666667,"1.7","Scheper","increasing",NA,NA
"20","Andrena chrysosceles",1.86,1.123,0.629165019362052,0.603763440860215,"1.7","Scheper","increasing",NA,NA
"21","Andrena chrysosceles",1.8,0.759,0.297948504797993,0.421666666666667,"1.7","Scheper","increasing",NA,NA
"22","Andrena cineraria",2.34,1.4,0.425764597181552,0.598290598290598,"0.94","Scheper","declining",NA,NA
"23","Andrena cineraria",2.55,1.803,0.520066666020257,0.707058823529412,"0.94","Scheper","declining",NA,NA
"24","Andrena cineraria",3.42,1.492,-0.211251234233594,0.43625730994152,"0.94","Scheper","declining",NA,NA
"25","Andrena cineraria",2.64,1.727,0.412959715352269,0.654166666666667,"0.94","Scheper","declining",NA,NA
"26","Andrena cineraria",2.67,1.745,0.402465822846692,0.653558052434457,"0.94","Scheper","declining",NA,NA
"27","Andrena crataegi",2.0955,0.98,0.272847732657455,0.467668814125507,"declining","Bartomeus","declining",-0.007,0.0018
"28","Andrena crataegi",1.7145,0.632,0.20468783504866,0.36862058909303,"declining","Bartomeus","declining",-0.007,0.0018
"29","Andrena crataegi",2.0955,0.783,0.0484278569836402,0.373657838224767,"declining","Bartomeus","declining",-0.007,0.0018
"30","Andrena dorsata",2.4,0.588,-0.48848086706465,0.245,"1.2","Scheper","increasing",NA,NA
"31","Andrena dorsata",2.49,0.753,-0.309113138404232,0.302409638554217,"1.2","Scheper","increasing",NA,NA
"32","Andrena dorsata",1.68,0.619,0.22143524913278,0.368452380952381,"1.2","Scheper","increasing",NA,NA
"33","Andrena dorsata",2.44,0.87,-0.127233063289209,0.35655737704918,"1.2","Scheper","increasing",NA,NA
"34","Andrena dorsata",2.3,0.758,-0.15594555811348,0.329565217391304,"1.2","Scheper","increasing",NA,NA
"35","Andrena dunningi",2.6035,1.549,0.329888424088887,0.594968311887843,"stable","Bartomeus","stable",-0.0045,0.0029
"36","Andrena dunningi",2.54,1.304,0.203305908944929,0.513385826771654,"stable","Bartomeus","stable",-0.0045,0.0029
"37","Andrena dunningi",2.6035,1.184,0.0611773991159694,0.454772421739965,"stable","Bartomeus","stable",-0.0045,0.0029
"38","Andrena dunningi",2.36,0.6,-0.437246760530139,0.254237288135593,"stable","Bartomeus","stable",-0.0045,0.0029
"39","Andrena dunningi",2.4765,1.101,0.080833199722489,0.44457904300424,"stable","Bartomeus","stable",-0.0045,0.0029
"40","Andrena flavipes",2.406,0.73,-0.27677333263227,0.303408146300914,"2.12","Scheper","increasing",NA,NA
"41","Andrena flavipes",2.689,1.43,0.190293598001811,0.531796206768315,"2.12","Scheper","increasing",NA,NA
"42","Andrena flavipes",2.91,1.557,0.12955047597275,0.535051546391753,"2.12","Scheper","increasing",NA,NA
"43","Andrena flavipes",2.946,1.16,-0.187491412384265,0.393754243041412,"2.12","Scheper","increasing",NA,NA
"44","Andrena flavipes",2.392,0.736,-0.257813000052348,0.307692307692308,"2.12","Scheper","increasing",NA,NA
"45","Andrena flavipes",2.381,1.59,0.52095638328859,0.667786644267115,"2.12","Scheper","increasing",NA,NA
"46","Andrena flavipes",2.382,1.303,0.321116387089404,0.547019311502939,"2.12","Scheper","increasing",NA,NA
"47","Andrena flavipes",2.421,0.588,-0.504565938978051,0.242874845105328,"2.12","Scheper","increasing",NA,NA
"48","Andrena flavipes",2.622,1.523,0.299887679904076,0.580854309687262,"2.12","Scheper","increasing",NA,NA
"49","Andrena fragilis",1.27,0.24,-0.209472086747444,0.188976377952756,"stable","Bartomeus","stable",-0.0023,0.0029
"50","Andrena fragilis",1.27,0.515,0.554055890574301,0.405511811023622,"stable","Bartomeus","stable",-0.0023,0.0029
"51","Andrena fragilis",1.27,0.337,0.129971920262927,0.265354330708661,"stable","Bartomeus","stable",-0.0023,0.0029
"52","Andrena fragilis",1.27,0.398,0.296340995195003,0.313385826771654,"stable","Bartomeus","stable",-0.0023,0.0029
"53","Andrena fragilis",1.27,0.4,0.301353537018547,0.31496062992126,"stable","Bartomeus","stable",-0.0023,0.0029
"54","Andrena frigida",2.032,0.606,-0.151010376673567,0.298228346456693,"stable","Bartomeus","stable",-3e-04,0.0031
"55","Andrena frigida",2.032,0.483,-0.377873709090308,0.237696850393701,"stable","Bartomeus","stable",-3e-04,0.0031
"56","Andrena frigida",2.2225,0.494,-0.520807995741075,0.222272215973003,"stable","Bartomeus","stable",-3e-04,0.0031
"57","Andrena frigida",2.286,0.657,-0.287672082979226,0.28740157480315,"stable","Bartomeus","stable",-3e-04,0.0031
"58","Andrena fucata",2.57,0.752,-0.368828719031881,0.292607003891051,"1.64","Scheper","increasing",NA,NA
"59","Andrena fucata",2.75,0.65,-0.639579660415708,0.236363636363636,"1.64","Scheper","increasing",NA,NA
"60","Andrena fulva",2.79,1.484,0.15928220726434,0.531899641577061,"1.79","Scheper","increasing",NA,NA
"61","Andrena fulva",2.88,1.635,0.19756545808027,0.567708333333333,"1.79","Scheper","increasing",NA,NA
"62","Andrena fulva",2.61,1.655,0.391476009447553,0.634099616858238,"1.79","Scheper","increasing",NA,NA
"63","Andrena fulvida",2.08,0.701,-0.0484892926662521,0.337019230769231,"0.43","Scheper","declining",NA,NA
"64","Andrena fulvida",2,0.295,-0.84160764833565,0.1475,"0.43","Scheper","declining",NA,NA
"65","Andrena gravida",3.34,1.954,0.102211852913756,0.585029940119761,"0.62","Scheper","declining",NA,NA
"66","Andrena gravida",2.37,1.348,0.364393993941225,0.568776371308017,"0.62","Scheper","declining",NA,NA
"67","Andrena gravida",2.46,1.67,0.509780507661212,0.678861788617886,"0.62","Scheper","declining",NA,NA
"68","Andrena gravida",2.37,1.405,0.405809284236818,0.592827004219409,"0.62","Scheper","declining",NA,NA
"69","Andrena hippotes",2.032,0.636,-0.102691799402759,0.312992125984252,"stable","Bartomeus","stable",0.0024,0.0028
"70","Andrena hippotes",1.905,0.483,-0.258714637523457,0.253543307086614,"stable","Bartomeus","stable",0.0024,0.0028
"71","Andrena hippotes",1.9685,0.591,-0.117455936548685,0.300228600457201,"stable","Bartomeus","stable",0.0024,0.0028
"72","Andrena hirticincta",2.4765,0.906,-0.114101630957212,0.365838885523925,"stable","Bartomeus","stable",-0.0048,0.0028
"73","Andrena hirticincta",2.8575,1.43,0.0780781509913277,0.500437445319335,"stable","Bartomeus","stable",-0.0048,0.0028
"74","Andrena labiata",2.31,0.771,-0.146950668618409,0.333766233766234,"1.03","Scheper","increasing",NA,NA
"75","Andrena labiata",2.35,0.629,-0.382205126920567,0.267659574468085,"1.03","Scheper","increasing",NA,NA
"76","Andrena labiata",2.04,0.34,-0.736199468774065,0.166666666666667,"1.03","Scheper","increasing",NA,NA
"77","Andrena milwaukeensis",2.4765,1,-0.0153856580180538,0.403795679386231,"stable","Bartomeus","stable",-9e-04,0.0036
"78","Andrena milwaukeensis",2.0955,1.005,0.298037981486013,0.479599141016464,"stable","Bartomeus","stable",-9e-04,0.0036
"79","Andrena miserabilis",1.27,0.309,0.0432302668083106,0.243307086614173,"stable","Bartomeus","stable",-0.0032,0.0018
"80","Andrena miserabilis",2.84,0.6,-0.779079824740566,0.211267605633803,"stable","Bartomeus","stable",-0.0032,0.0018
"81","Andrena nasonii",1.27,0.368,0.217971928079496,0.289763779527559,"stable","Bartomeus","stable",-0.0016,0.002
"82","Andrena nasonii",1.27,0.293,-0.00993840107236761,0.230708661417323,"stable","Bartomeus","stable",-0.0016,0.002
"83","Andrena nigriceps",2.62,0.814,-0.325180436419422,0.310687022900763,"0.38","Scheper","declining",NA,NA
"84","Andrena nigroaenea",3.68,1.678,-0.229050409382147,0.455978260869565,"1.69","Scheper","increasing",NA,NA
"85","Andrena nigroaenea",3.33,1.46,-0.183694054567967,0.438438438438438,"1.69","Scheper","increasing",NA,NA
"86","Andrena nigroaenea",3.71,2,-0.0684963776012621,0.539083557951482,"1.69","Scheper","increasing",NA,NA
"87","Andrena nitida",2.76,2.112,0.532136890782494,0.765217391304348,"1.21","Scheper","increasing",NA,NA
