brain_it,Habitat,Preference,Species,cond__,effect1__,effect2__,estimate__,se__,lower__,upper__
0.14903846153846154,Agricultural,0.4693304761904762,NA,1,0.14903846153846154,Agricultural,0.5473618352706803,0.049071699843839786,0.44417181380620585,0.6384910000068921
0.14903846153846154,Natural,0.4693304761904762,NA,1,0.14903846153846154,Natural,0.5097032260975233,0.05689119157007934,0.40202187731153594,0.6153112577769458
0.14903846153846154,Seminatural,0.4693304761904762,NA,1,0.14903846153846154,Seminatural,0.358967172519218,0.03490656850774676,0.29676010248570067,0.43466931892434096
0.14903846153846154,Urban,0.4693304761904762,NA,1,0.14903846153846154,Urban,0.4677264721270638,0.06303909948489797,0.35576165849356234,0.5862768315913264
0.1591148179306074,Agricultural,0.4693304761904762,NA,1,0.1591148179306074,Agricultural,0.545914427611216,0.047996597935649206,0.44553490004337776,0.6353204010928692
0.1591148179306074,Natural,0.4693304761904762,NA,1,0.1591148179306074,Natural,0.5094839227563576,0.05608617437688156,0.40361331024164343,0.6129559986429323
0.1591148179306074,Seminatural,0.4693304761904762,NA,1,0.1591148179306074,Seminatural,0.36126812604183695,0.03468942605222182,0.29933809383056903,0.4368319721203079
0.1591148179306074,Urban,0.4693304761904762,NA,1,0.1591148179306074,Urban,0.4672537631704147,0.06136806870105724,0.3575612714788799,0.5839440806390388
0.16919117432275327,Agricultural,0.4693304761904762,NA,1,0.16919117432275327,Agricultural,0.5446879498284225,0.04692398379472484,0.4462606105130152,0.6317232543617833
0.16919117432275327,Natural,0.4693304761904762,NA,1,0.16919117432275327,Natural,0.5091542011609222,0.05478446200945736,0.4049581922714308,0.6103779596555549
0.16919117432275327,Seminatural,0.4693304761904762,NA,1,0.16919117432275327,Seminatural,0.3638401216707653,0.03441836517071601,0.30228573114840074,0.4392929103419804
0.16919117432275327,Urban,0.4693304761904762,NA,1,0.16919117432275327,Urban,0.4667011256996631,0.05992554781917916,0.35930238465136816,0.5809372817980532
0.17926753071489912,Agricultural,0.4693304761904762,NA,1,0.17926753071489912,Agricultural,0.5430447503525082,0.045837683587828706,0.4475997428923925,0.6279825320920294
0.17926753071489912,Natural,0.4693304761904762,NA,1,0.17926753071489912,Natural,0.5089233196482403,0.053654830452427194,0.4073339324486846,0.6082580150138955
0.17926753071489912,Seminatural,0.4693304761904762,NA,1,0.17926753071489912,Seminatural,0.366290577183492,0.03415813999426291,0.30525956468906695,0.4408740816172993
0.17926753071489912,Urban,0.4693304761904762,NA,1,0.17926753071489912,Urban,0.4659184136718313,0.058698838828286366,0.361615874497987,0.5778215135379302
0.189343887107045,Agricultural,0.4693304761904762,NA,1,0.189343887107045,Agricultural,0.5415294929834222,0.044417820520572006,0.4479646933590965,0.6247747195004453
0.189343887107045,Natural,0.4693304761904762,NA,1,0.189343887107045,Natural,0.5086675278620953,0.052189399625819935,0.409195394923838,0.6055432096315451
0.189343887107045,Seminatural,0.4693304761904762,NA,1,0.189343887107045,Seminatural,0.3688036792499427,0.03379975528188954,0.30820596390470467,0.44169888860305107
0.189343887107045,Urban,0.4693304761904762,NA,1,0.189343887107045,Urban,0.4653196686814117,0.0570663987059928,0.3638566872923734,0.575230041704445
0.19942024349919085,Agricultural,0.4693304761904762,NA,1,0.19942024349919085,Agricultural,0.5400537531761493,0.043524192016616635,0.4488300896517473,0.6218298443681841
