Species,Brain.weight,IT,log_brain_weight,log_it,residuals,Habitat,Preference,brain_it
Andrena_angustior,0.4063333333333333,1.7973333333333332,-0.9005814381689753,0.5863040849418961,-0.1511350969069752,Urban,0,0.22607566765578635
Andrena_barbilabris,0.983,2.28,-0.01714615883497051,0.8241754429663494,0.10396438172315428,Urban,0,0.431140350877193
Andrena_bicolor,0.7025,2.205,-0.3531098777742362,0.7907275088988094,-0.05249941176131671,Urban,0,0.31859410430839
Andrena_carantonica,1.8105,2.775,0.5936030502235589,1.020650747198398,0.24784724564269828,Urban,0,0.6524324324324324
Andrena_chrysosceles,0.831,1.8525,-0.18512548412668892,0.616536078188105,0.2255465496229749,Urban,0,0.448582995951417
Andrena_cineraria,1.6334,2.724,0.4906637319420382,1.0021013882872658,0.2078903719724183,Urban,0,0.5996328928046989
Andrena_dorsata,0.7176,2.262,-0.33184296823755066,0.8162493776939287,-0.06669134393462157,Urban,0,0.31724137931034485
Andrena_flavipes,1.148375,2.5575,0.1383478996094934,0.9390302188436446,0.07062156228520113,Urban,0,0.4490224828934506
Andrena_fucata,0.7010000000000001,2.66,-0.35524739194754684,0.9783261227936078,-0.25074403895290975,Urban,0,0.2635338345864662
Andrena_fulva,1.5913333333333333,2.76,0.46457223924852864,1.0152306797290584,0.17885962695544871,Urban,1,0.5765700483091788
Andrena_gravida,1.59425,2.635,0.46640340621324394,0.9688831819933256,0.226672800158453,Urban,0,0.6050284629981025
Andrena_haemorrhoa,1.1656,2.436,0.153235975898858,0.8903573498476506,0.1298422173432074,Urban,0,0.47848932676518885
Andrena_labiata,0.5800000000000001,2.2333333333333334,-0.5447271754416719,0.8034952377288107,-0.1751750852313063,Urban,0,0.25970149253731345
Andrena_nigriceps,0.814,2.62,-0.2057949129795968,0.9631743177730056,-0.14869529779436755,Urban,0,0.31068702290076333
Andrena_nigroaenea,1.7126666666666666,3.5733333333333333,0.5380516100195821,1.2734988669745462,-0.04916647025293219,Urban,0,0.4792910447761194
Andrena_nitida,1.9736,2.808,0.67985928623301,1.0324724861635646,0.28281138789636795,Urban,0,0.7028490028490029
Andrena_ovatula,0.7463333333333333,2.693333333333334,-0.29258295105149196,0.9907795838648944,-0.2275758097569648,Urban,0,0.2771039603960395
Andrena_pilipes,1.5656666666666668,2.9226666666666667,0.4483117183767485,1.07249644153755,0.10881743119344152,Urban,NA,0.5356979927007299
Andrena_semilaevis,0.254,1.64,-1.3704210119636004,0.494696241836107,-0.32273163304334634,Urban,0,0.1548780487804878
Andrena_subopaca,0.3433333333333333,1.846666666666667,-1.0690534864265653,0.6133822120910828,-0.2740314683309692,Urban,0,0.1859205776173285
Andrena_tibialis,1.6475,3.27,0.4992589873945252,1.184789984909162,0.0201161048402801,Urban,1,0.503822629969419
Andrena_varians,1.17,2.52,0.1570037488096647,0.924258901523332,0.09882000623451204,Urban,NA,0.46428571428571425
Andrena_wilkella,1.1126666666666667,2.4341666666666666,0.10675953657153368,0.8896044666116493,0.1052324599526977,Urban,0,0.45710373159876755
Anthidium_manicatum,1.952,2.8388,0.6688544879909007,1.0433814276686908,0.18816067538110953,Urban,1,0.6876144849936593
Anthidium_oblongatum,1.8,2.679,0.5877866649021191,0.9854435905624715,0.21024532061317852,Urban,1,0.671892497200448
Anthophora_plumipes,3.676,4.08,1.3018252044934406,1.4060969884160703,0.10731959721932482,Urban,1,0.9009803921568628
Anthophora_quadrimaculata,2.2225,3.86,0.7986326884059226,1.3506671834767396,-0.20057368388730945,Urban,1,0.5757772020725389
Anthophora_retusa,2.096,3.923,0.7400307664587957,1.3668566672274156,-0.2672280555526523,Urban,0,0.5342849859801173
Bombus_hypnorum,2.29,3.37,0.8285518175661483,1.2149127443642704,0.1091871561940132,Urban,1,0.6795252225519288
Bombus_jonellus,2.3005,4.0175,0.8331264906133863,1.3906598186295307,-0.09859339458868815,Urban,0,0.5726197884256379
Bombus_muscorum,2.1822222222222223,3.8116666666666665,0.7803437255901005,1.3380665388066348,-0.06895918947313019,Urban,0,0.5725112957294856
Bombus_pascuorum,2.4040909090909093,3.697909090909091,0.8771718317195728,1.3077675493499112,0.03063884484148059,Urban,0,0.6501216903901468
Bombus_pratorum,2.0848,3.5056,0.7346729273884436,1.254361689859065,0.00220056396778556,Urban,0,0.594705613874943
Bombus_terrestris,2.8842,4.1262,1.0592475651458328,1.4173568865717083,0.01849321075078576,Urban,1,0.6989966555183946
Dasypoda_hirtipes,0.47,2.957,-0.7550225842780328,1.08417524087034,-0.3458546748273384,Urban,0,0.1589448765640852
Halictus_confusus,0.473,1.849,-0.748659890490204,0.6146449524049877,-0.06003836368466389,Urban,0,0.2558139534883721
Halictus_rubicundus,0.83875,2.313875,-0.1758425906962455,0.8389236082977121,0.07315144749721554,Urban,0,0.36248716979093515
Lasioglossum_calceatum,0.6563333333333333,1.8916666666666664,-0.4210864890111212,0.6374582746993567,0.16569075875335643,Urban,0,0.3469603524229075
Lasioglossum_fulvicorne,0.3,1.26,-1.203972804325936,0.23111172096338664,0.13498643911411182,Urban,0,0.23809523809523808
Lasioglossum_leucozonium,0.48,2.216666666666667,-0.7339691750802003,0.7960045659996531,-0.3299232070574431,Urban,0,0.21654135338345862
Lasioglossum_malachurum,0.4247777777777778,1.4346666666666668,-0.8561891226219436,0.36093253419137367,0.22337315140761976,Urban,0,0.2960811648079306
Lasioglossum_punctatissimum,0.29775,1.5625,-1.2115010707467275,0.44628710262841953,-0.19662639872639945,Urban,0,0.19056
