brain_it,Habitat,Preference,Species,cond__,effect1__,effect2__,estimate__,se__,lower__,upper__
0.1548780487804878,Agricultural,0.528169014084507,NA,1,0.1548780487804878,Agricultural,0.9363848484582358,0.05056097352860826,0.7417373276670488,0.9910654783367381
0.1548780487804878,Natural,0.528169014084507,NA,1,0.1548780487804878,Natural,0.8361508708941698,0.08913887741889781,0.6021348248181925,0.955997284834669
0.1548780487804878,Urban,0.528169014084507,NA,1,0.1548780487804878,Urban,0.04919215051735584,0.038451543851624234,0.007309212216358735,0.19443777132294354
0.16305169383262183,Agricultural,0.528169014084507,NA,1,0.16305169383262183,Agricultural,0.9340026899024902,0.051466797587955006,0.7399939188654571,0.9903650068800638
0.16305169383262183,Natural,0.528169014084507,NA,1,0.16305169383262183,Natural,0.8318547666738183,0.08952372455114238,0.5990754964959213,0.953572704905203
0.16305169383262183,Urban,0.528169014084507,NA,1,0.16305169383262183,Urban,0.05146845637579582,0.039551918878828474,0.007896864791384928,0.19647165645508247
0.17122533888475583,Agricultural,0.528169014084507,NA,1,0.17122533888475583,Agricultural,0.9319110275753476,0.05197883857272491,0.7379861833937996,0.9896945446324942
0.17122533888475583,Natural,0.528169014084507,NA,1,0.17122533888475583,Natural,0.8276132660411772,0.089546356076625,0.5976926721468759,0.9510235189988006
0.17122533888475583,Urban,0.528169014084507,NA,1,0.17122533888475583,Urban,0.05362197627324704,0.040456585633622276,0.008459769759629117,0.1988828460307689
0.17939898393688986,Agricultural,0.528169014084507,NA,1,0.17939898393688986,Agricultural,0.9297247475335035,0.05280650643511534,0.7360826044429064,0.9890471382192573
0.17939898393688986,Natural,0.528169014084507,NA,1,0.17939898393688986,Natural,0.8233919078871699,0.08977428427894006,0.595462455620136,0.9483861439109984
0.17939898393688986,Urban,0.528169014084507,NA,1,0.17939898393688986,Urban,0.055867963564769946,0.04145163648340272,0.009159431984701401,0.20128400328498644
0.18757262898902388,Agricultural,0.528169014084507,NA,1,0.18757262898902388,Agricultural,0.9275499759668953,0.05362293062028282,0.734185374550167,0.9882965330051532
0.18757262898902388,Natural,0.528169014084507,NA,1,0.18757262898902388,Natural,0.8189399675027054,0.09030851110165661,0.5927722442613105,0.9458429683541233
0.18757262898902388,Urban,0.528169014084507,NA,1,0.18757262898902388,Urban,0.05816487454458885,0.04241469206867674,0.009916399983684304,0.20435101814924186
0.19574627404115788,Agricultural,0.528169014084507,NA,1,0.19574627404115788,Agricultural,0.924888478151924,0.054544386755670055,0.7319960067584739,0.9874871469958905
0.19574627404115788,Natural,0.528169014084507,NA,1,0.19574627404115788,Natural,0.8147830869635608,0.09045171242665817,0.5923136633393657,0.9431280570925957
0.19574627404115788,Urban,0.528169014084507,NA,1,0.19574627404115788,Urban,0.060541413148112996,0.04340829864485642,0.010666112094750541,0.20822164841021493
0.2039199190932919,Agricultural,0.528169014084507,NA,1,0.2039199190932919,Agricultural,0.9222757400620798,0.05535567496322451,0.7291390126987893,0.9865899501857635
0.2039199190932919,Natural,0.528169014084507,NA,1,0.2039199190932919,Natural,0.8105866655834374,0.09051393723382431,0.5907726306857698,0.9404312397553898
0.2039199190932919,Urban,0.528169014084507,NA,1,0.2039199190932919,Urban,0.06297279835037119,0.044539022946901076,0.011464571899575324,0.21105015920912035
0.2120935641454259,Agricultural,0.528169014084507,NA,1,0.2120935641454259,Agricultural,0.9196361985720662,0.0563567237262149,0.7275885262296639,0.9856995514384591
0.2120935641454259,Natural,0.528169014084507,NA,1,0.2120935641454259,Natural,0.8059652394232941,0.09084667617006968,0.5889954465652198,0.9368281453802151
