Brain.weight,Habitat,Preference,Species,cond__,effect1__,effect2__,estimate__,se__,lower__,upper__
0.231,Agricultural,0.45733508771929826,NA,1,0.231,Agricultural,0.509797064570626,0.0632018178901396,0.38735550263254726,0.626714339648901
0.231,Natural,0.45733508771929826,NA,1,0.231,Natural,0.46958179476484024,0.07807534506918681,0.33961267758682806,0.6199140723217982
0.231,Seminatural,0.45733508771929826,NA,1,0.231,Seminatural,0.3533262964480094,0.03820553970112045,0.28293770597836193,0.43645775222117006
0.231,Urban,0.45733508771929826,NA,1,0.231,Urban,0.4805124687466913,0.0949585117371458,0.320664734144089,0.6519901499145465
0.29712794612794613,Agricultural,0.45733508771929826,NA,1,0.29712794612794613,Agricultural,0.5084025564023061,0.061011181030745244,0.3898797916640876,0.622471618211576
0.29712794612794613,Natural,0.45733508771929826,NA,1,0.29712794612794613,Natural,0.4712372580365412,0.07570915082203639,0.34421222101936877,0.6171883474715828
0.29712794612794613,Seminatural,0.45733508771929826,NA,1,0.29712794612794613,Seminatural,0.3569123300024823,0.03805228430521357,0.2865122977284695,0.43906863885046193
0.29712794612794613,Urban,0.45733508771929826,NA,1,0.29712794612794613,Urban,0.4799715638568877,0.09144070283918761,0.326019770286369,0.645722535391004
0.3632558922558923,Agricultural,0.45733508771929826,NA,1,0.3632558922558923,Agricultural,0.5072287205386599,0.05856113925154744,0.392363243942749,0.6176747617593427
0.3632558922558923,Natural,0.45733508771929826,NA,1,0.3632558922558923,Natural,0.47304747784433565,0.07342934453929059,0.3491606366562214,0.614061604078494
0.3632558922558923,Seminatural,0.45733508771929826,NA,1,0.3632558922558923,Seminatural,0.36066070676305567,0.03747947910367395,0.2896595429026717,0.4421694363797914
0.3632558922558923,Urban,0.45733508771929826,NA,1,0.3632558922558923,Urban,0.4804921003099488,0.08767378576578753,0.33117035663779,0.6401171229084559
0.4293838383838384,Agricultural,0.45733508771929826,NA,1,0.4293838383838384,Agricultural,0.505781532886536,0.05689799218902141,0.39457001938552344,0.6134728821932347
0.4293838383838384,Natural,0.45733508771929826,NA,1,0.4293838383838384,Natural,0.47511455949737313,0.07082662851561866,0.3534363701293359,0.6117710158998961
0.4293838383838384,Seminatural,0.45733508771929826,NA,1,0.4293838383838384,Seminatural,0.36491071654345497,0.03749265955302583,0.2932146202939846,0.4451079482215288
0.4293838383838384,Urban,0.45733508771929826,NA,1,0.4293838383838384,Urban,0.4803200208610099,0.08390449037416435,0.3342593609111592,0.6337957441599651
0.49551178451178457,Agricultural,0.45733508771929826,NA,1,0.49551178451178457,Agricultural,0.5045065004706009,0.05417730507209324,0.39769854904955115,0.6102061154661038
0.49551178451178457,Natural,0.45733508771929826,NA,1,0.49551178451178457,Natural,0.47658969085195174,0.06785088073711207,0.3574307025191706,0.6101102348993095
0.49551178451178457,Seminatural,0.45733508771929826,NA,1,0.49551178451178457,Seminatural,0.3689260837370842,0.03708446472565923,0.296738551567049,0.44884611391036505
0.49551178451178457,Urban,0.45733508771929826,NA,1,0.49551178451178457,Urban,0.47974899519088543,0.08077130826472848,0.3380725110070395,0.6286239931947006
0.5616397306397307,Agricultural,0.45733508771929826,NA,1,0.5616397306397307,Agricultural,0.5034211212424229,0.05228654137092202,0.39970198663639517,0.604899543718786
0.5616397306397307,Natural,0.45733508771929826,NA,1,0.5616397306397307,Natural,0.4783160445088328,0.06508616515337431,0.3623360106360917,0.6077367450608586
0.5616397306397307,Seminatural,0.45733508771929826,NA,1,0.5616397306397307,Seminatural,0.3731485877553829,0.036687936267486794,0.30097741336230016,0.45277178505490556
0.5616397306397307,Urban,0.45733508771929826,NA,1,0.5616397306397307,Urban,0.479064355771662,0.07665841771266718,0.3430851432338457,0.6220305722125808
0.6277676767676768,Agricultural,0.45733508771929826,NA,1,0.6277676767676768,Agricultural,0.5023967030412744,0.0505094594733945,0.4019258755308287,0.6009351744895787
0.6277676767676768,Natural,0.45733508771929826,NA,1,0.6277676767676768,Natural,0.48027949710801177,0.06360486362133115,0.3671988263420563,0.6056773952519746
0.6277676767676768,Seminatural,0.45733508771929826,NA,1,0.6277676767676768,Seminatural,0.37783252480952545,0.03632443131477711,0.30595318519107867,0.45637437176181395
0.6277676767676768,Urban,0.45733508771929826,NA,1,0.6277676767676768,Urban,0.47835472537871765,0.073352319593208,0.34761184190883276,0.6154845502127861
0.6938956228956229,Agricultural,0.45733508771929826,NA,1,0.6938956228956229,Agricultural,0.500980056127047,0.04887676145836424,0.4045163039277742,0.5972234823855025
0.6938956228956229,Natural,0.45733508771929826,NA,1,0.6938956228956229,Natural,0.4818368770276652,0.06210479469219248,0.3715540308509381,0.6031217433974186
0.6938956228956229,Seminatural,0.45733508771929826,NA,1,0.6938956228956229,Seminatural,0.3822725793099927,0.03604740908972549,0.31127768604783757,0.46009627958135463
0.6938956228956229,Urban,0.45733508771929826,NA,1,0.6938956228956229,Urban,0.4778009025976146,0.06997735473855797,0.3514063358538309,0.6098124690891845
0.760023569023569,Agricultural,0.45733508771929826,NA,1,0.760023569023569,Agricultural,0.4995166789411587,0.04740227908263394,0.40563535892500335,0.5947688271207244
0.760023569023569,Natural,0.45733508771929826,NA,1,0.760023569023569,Natural,0.48344537456731146,0.06034352887865948,0.37590703152233595,0.6016811128929906
0.760023569023569,Seminatural,0.45733508771929826,NA,1,0.760023569023569,Seminatural,0.3866947731354491,0.03601868091093016,0.31638258003616465,0.4635251740857488
0.760023569023569,Urban,0.45733508771929826,NA,1,0.760023569023569,Urban,0.47694478717388944,0.06568652440971043,0.35559558501505867,0.6048095722249492
0.8261515151515152,Agricultural,0.45733508771929826,NA,1,0.8261515151515152,Agricultural,0.4987182047932205,0.04645041386504603,0.4065780746462725,0.5922587467391064
0.8261515151515152,Natural,0.45733508771929826,NA,1,0.8261515151515152,Natural,0.4858914525168541,0.05756715888285538,0.38037747959851365,0.6000577541585562
0.8261515151515152,Seminatural,0.45733508771929826,NA,1,0.8261515151515152,Seminatural,0.3917627531050739,0.035843447118117225,0.3211598578442464,0.46768644743623955
0.8261515151515152,Urban,0.45733508771929826,NA,1,0.8261515151515152,Urban,0.4760174090728103,0.06282804478259445,0.35946769536660655,0.5997584405476326
0.8922794612794613,Agricultural,0.45733508771929826,NA,1,0.8922794612794613,Agricultural,0.4978097505084561,0.04542840120843192,0.4072500823892403,0.5888181904581051
0.8922794612794613,Natural,0.45733508771929826,NA,1,0.8922794612794613,Natural,0.4876810439385305,0.05571969552206233,0.3853871886372329,0.5987865359147614
0.8922794612794613,Seminatural,0.45733508771929826,NA,1,0.8922794612794613,Seminatural,0.39627001385253324,0.03576460210770772,0.32682811982713234,0.4722402171532295
0.8922794612794613,Urban,0.45733508771929826,NA,1,0.8922794612794613,Urban,0.47546006785564765,0.060273696895650854,0.36239553047788753,0.594761525949557
0.9584074074074075,Agricultural,0.45733508771929826,NA,1,0.9584074074074075,Agricultural,0.49639264580812853,0.044252532403627205,0.4085939650223535,0.585200124510484
0.9584074074074075,Natural,0.45733508771929826,NA,1,0.9584074074074075,Natural,0.4892030608610938,0.05438049493151597,0.3899754597796284,0.5963342145228872
0.9584074074074075,Seminatural,0.45733508771929826,NA,1,0.9584074074074075,Seminatural,0.40109152547447696,0.03568188423917341,0.3318596426360387,0.4764927736039904
0.9584074074074075,Urban,0.45733508771929826,NA,1,0.9584074074074075,Urban,0.4748776987381178,0.05708745657742458,0.3672928196560428,0.589688601426764
1.0245353535353536,Agricultural,0.45733508771929826,NA,1,1.0245353535353536,Agricultural,0.4951737270306644,0.04340923705082573,0.40915908320442357,0.5821869571596365
1.0245353535353536,Natural,0.45733508771929826,NA,1,1.0245353535353536,Natural,0.49119398201589176,0.05201411504566979,0.39368095180463497,0.5947495863983113
1.0245353535353536,Seminatural,0.45733508771929826,NA,1,1.0245353535353536,Seminatural,0.40648701549611715,0.035499177818652264,0.33711616553590457,0.47996651839992355
1.0245353535353536,Urban,0.45733508771929826,NA,1,1.0245353535353536,Urban,0.4738808025474469,0.055190140909975635,0.370650291879864,0.586449477135042
1.0906632996632997,Agricultural,0.45733508771929826,NA,1,1.0906632996632997,Agricultural,0.493612017745089,0.042607893160331194,0.40800336957985206,0.5805687868663623
1.0906632996632997,Natural,0.45733508771929826,NA,1,1.0906632996632997,Natural,0.4928277268342147,0.05098290961174178,0.3975364696250403,0.594437030877195
1.0906632996632997,Seminatural,0.45733508771929826,NA,1,1.0906632996632997,Seminatural,0.41139587407187805,0.03533506923157499,0.34219083605318484,0.4857597111751817
1.0906632996632997,Urban,0.45733508771929826,NA,1,1.0906632996632997,Urban,0.47260618803616206,0.053895653908604554,0.3736960711235869,0.58365647706567
1.156791245791246,Agricultural,0.45733508771929826,NA,1,1.156791245791246,Agricultural,0.4922902371480681,0.042712571188760005,0.40731193781128455,0.578218995264708
1.156791245791246,Natural,0.45733508771929826,NA,1,1.156791245791246,Natural,0.4953905952373966,0.050050429922396694,0.4004341520005612,0.5940549798518362
1.156791245791246,Seminatural,0.45733508771929826,NA,1,1.156791245791246,Seminatural,0.4167650038625542,0.0354498637436329,0.34733562310571464,0.49115390745371573
1.156791245791246,Urban,0.45733508771929826,NA,1,1.156791245791246,Urban,0.47185427417208015,0.05225440299266603,0.3748755962247018,0.5798664275745016
1.222919191919192,Agricultural,0.45733508771929826,NA,1,1.222919191919192,Agricultural,0.49077648190788825,0.04289446418729746,0.40641346721890054,0.5781293544823046
1.222919191919192,Natural,0.45733508771929826,NA,1,1.222919191919192,Natural,0.49720974377943805,0.04964165994156353,0.40293625132635724,0.5943999224921224
1.222919191919192,Seminatural,0.45733508771929826,NA,1,1.222919191919192,Seminatural,0.42179386685121933,0.03563919632492761,0.3521496168811285,0.49706501767677114
1.222919191919192,Urban,0.45733508771929826,NA,1,1.222919191919192,Urban,0.4714634563553565,0.05169133177986323,0.37560136315798526,0.5776297274421716
1.2890471380471382,Agricultural,0.45733508771929826,NA,1,1.2890471380471382,Agricultural,0.48925172849961013,0.043532977065971853,0.40571368646200034,0.5765595020423687
1.2890471380471382,Natural,0.45733508771929826,NA,1,1.2890471380471382,Natural,0.49886642311952056,0.048054460538625283,0.40551555959815155,0.5940597438565949
1.2890471380471382,Seminatural,0.45733508771929826,NA,1,1.2890471380471382,Seminatural,0.42728364345215486,0.03657090827596845,0.35693573656026156,0.5025905226117653
1.2890471380471382,Urban,0.45733508771929826,NA,1,1.2890471380471382,Urban,0.4713761984496222,0.052148108941329915,0.3755900425072771,0.577483785342801
1.3551750841750843,Agricultural,0.45733508771929826,NA,1,1.3551750841750843,Agricultural,0.487987802875988,0.04427914921533895,0.40306893223787,0.576586539383457
1.3551750841750843,Natural,0.45733508771929826,NA,1,1.3551750841750843,Natural,0.5004756881492104,0.04716723127601892,0.40693805719513015,0.594869394933438
1.3551750841750843,Seminatural,0.45733508771929826,NA,1,1.3551750841750843,Seminatural,0.43253026102914216,0.03682920635794749,0.3619252112723107,0.508967180184375
1.3551750841750843,Urban,0.45733508771929826,NA,1,1.3551750841750843,Urban,0.4705963835723278,0.05227954708865776,0.37506454273420725,0.5796000470504945
1.4213030303030305,Agricultural,0.45733508771929826,NA,1,1.4213030303030305,Agricultural,0.48710432446741897,0.0456270554312851,0.4004135100326823,0.5760198888627609
1.4213030303030305,Natural,0.45733508771929826,NA,1,1.4213030303030305,Natural,0.5021070654329145,0.04658140642948229,0.4077128119022667,0.595944333880849
1.4213030303030305,Seminatural,0.45733508771929826,NA,1,1.4213030303030305,Seminatural,0.4380443794033437,0.036732772917267724,0.3670504797360102,0.5148638000508354
1.4213030303030305,Urban,0.45733508771929826,NA,1,1.4213030303030305,Urban,0.4696621777666625,0.05337198366966835,0.373836341229966,0.5828521563182602
1.4874309764309765,Agricultural,0.45733508771929826,NA,1,1.4874309764309765,Agricultural,0.48644919186440605,0.047186111061962396,0.3974015927414279,0.5762512718658238
1.4874309764309765,Natural,0.45733508771929826,NA,1,1.4874309764309765,Natural,0.5037001744439951,0.04668449147274827,0.4101238548344514,0.5975570131231444
1.4874309764309765,Seminatural,0.45733508771929826,NA,1,1.4874309764309765,Seminatural,0.44377025972753487,0.03741657412200127,0.37164443071120623,0.5213020431885831
1.4874309764309765,Urban,0.45733508771929826,NA,1,1.4874309764309765,Urban,0.46879732312575273,0.05532419736343882,0.3714595315464826,0.5839209617091847
1.5535589225589228,Agricultural,0.45733508771929826,NA,1,1.5535589225589228,Agricultural,0.4857158811386618,0.048624420112842036,0.3949407381371884,0.5772503011269917
1.5535589225589228,Natural,0.45733508771929826,NA,1,1.5535589225589228,Natural,0.5052233315511394,0.04688725741405093,0.4115816383823402,0.5997557109483265
1.5535589225589228,Seminatural,0.45733508771929826,NA,1,1.5535589225589228,Seminatural,0.4493632508734395,0.03845293257105171,0.3759660407196147,0.5276821583313686
