Species,Brain.weight,IT,log_brain_weight,log_it,residuals,Habitat,Preference,brain_it
Andrena_angustior,0.4063333333333333,1.7973333333333332,-0.9005814381689753,0.5863040849418961,-0.2001146386094098,Urban,0,0.22607566765578635
Andrena_barbilabris,0.983,2.28,-0.01714615883497051,0.8241754429663494,0.13235618048679126,Urban,0,0.431140350877193
Andrena_bicolor,0.7025,2.205,-0.3531098777742362,0.7907275088988094,-0.06244378819770369,Urban,0,0.31859410430839
Andrena_carantonica,1.8105,2.775,0.5936030502235589,1.020650747198398,0.328882862901134,Urban,0,0.6524324324324324
Andrena_chrysosceles,0.831,1.8525,-0.18512548412668892,0.616536078188105,0.26266795401817855,Urban,0,0.448582995951417
Andrena_cineraria,1.6334,2.724,0.4906637319420382,1.0021013882872658,0.2777162863569722,Urban,0,0.5996328928046989
Andrena_dorsata,0.7176,2.262,-0.33184296823755066,0.8162493776939287,-0.07521211643589103,Urban,0,0.31724137931034485
Andrena_flavipes,1.148375,2.5575,0.1383478996094934,0.9390302188436446,0.10754383630135794,Urban,0,0.4490224828934506
Andrena_fucata,0.7010000000000001,2.66,-0.35524739194754684,0.9783261227936078,-0.2838700882375303,Urban,0,0.2635338345864662
Andrena_fulva,1.5913333333333333,2.76,0.46457223924852864,1.0152306797290584,0.2471939851871807,Urban,1,0.5765700483091788
Andrena_gravida,1.59425,2.635,0.46640340621324394,0.9688831819933256,0.30011888911702583,Urban,0,0.6050284629981025
Andrena_haemorrhoa,1.1656,2.436,0.153235975898858,0.8903573498476506,0.17584625915944352,Urban,0,0.47848932676518885
Andrena_labiata,0.5800000000000001,2.2333333333333334,-0.5447271754416719,0.8034952377288107,-0.20358039342099277,Urban,0,0.25970149253731345
Andrena_nigroaenea,1.7126666666666666,3.5733333333333333,0.5380516100195821,1.2734988669745462,-0.00431726399761427,Urban,0,0.4792910447761194
Andrena_nitida,1.9736,2.808,0.67985928623301,1.0324724861635646,0.37317809466935337,Urban,0,0.7028490028490029
Andrena_ovatula,0.7463333333333333,2.693333333333334,-0.29258295105149196,0.9907795838648944,-0.2525270790222511,Urban,0,0.2771039603960395
Andrena_semilaevis,0.254,1.64,-1.3704210119636004,0.494696241836107,-0.4215806547355225,Urban,0,0.1548780487804878
Andrena_subopaca,0.3433333333333333,1.846666666666667,-1.0690534864265653,0.6133822120910828,-0.35383224995631724,Urban,0,0.1859205776173285
Andrena_tibialis,1.6475,3.27,0.4992589873945252,1.184789984909162,0.0728563952602828,Urban,1,0.503822629969419
Andrena_wilkella,1.1126666666666667,2.4341666666666666,0.10675953657153368,0.8896044666116493,0.14188817586848823,Urban,0,0.45710373159876755
Anthidium_manicatum,2.053166666666667,2.873666666666667,0.7193833167517821,1.0555887985596784,0.3605267357533796,Urban,1,0.7144762788539613
Anthidium_oblongatum,1.8,3.75,0.5877866649021191,1.3217558399823195,-0.17199770357095995,Urban,1,0.48000000000000004
Anthophora_plumipes,3.676,4.08,1.3018252044934406,1.4060969884160703,0.17093865911821152,Urban,1,0.9009803921568628
Anthophora_quadrimaculata,2.2225,3.86,0.7986326884059226,1.3506671834767396,-0.17349872404798256,Urban,1,0.5757772020725389
Anthophora_retusa,2.096,3.923,0.7400307664587957,1.3668566672274156,-0.2500218097955469,Urban,0,0.5342849859801173
Bombus_hypnorum,2.29,3.37,0.8285518175661483,1.2149127443642704,0.13325641703791463,Urban,1,0.6795252225519288
Bombus_jonellus,2.3005,4.0175,0.8331264906133863,1.3906598186295307,-0.084568122906625,Urban,0,0.5726197884256379
Bombus_muscorum,2.1822222222222223,3.8116666666666665,0.7803437255901005,1.3380665388066348,-0.05682932394382261,Urban,0,0.5725112957294856
Bombus_pascuorum,2.4040909090909093,3.697909090909091,0.8771718317195728,1.3077675493499112,0.05125537734164261,Urban,0,0.6501216903901468
Bombus_pratorum,2.0848,3.5056,0.7346729273884436,1.254361689859065,0.00984219586093547,Urban,0,0.594705613874943
Bombus_terrestris,2.8842,4.1262,1.0592475651458328,1.4173568865717083,0.04594030268374573,Urban,1,0.6989966555183946
Dasypoda_hirtipes,0.47,2.957,-0.7550225842780328,1.08417524087034,-0.4548669364619663,Urban,0,0.1589448765640852
Halictus_confusus,0.4184000000000001,1.7855,-0.8713173662314238,0.5796984880523661,-0.10411848486698348,Urban,0,0.23433211985438257
Halictus_rubicundus,0.83875,2.313875,-0.1758425906962455,0.8389236082977121,0.1259438620823332,Urban,0,0.36248716979093515
Lasioglossum_calceatum,0.6563333333333333,1.8916666666666664,-0.4210864890111212,0.6374582746993567,0.2012776609232421,Urban,0,0.3469603524229075
Lasioglossum_fulvicorne,0.3,1.26,-1.203972804325936,0.23111172096338664,0.11303517870037091,Urban,0,0.23809523809523808
Lasioglossum_leucozonium,0.48,2.216666666666667,-0.7339691750802003,0.7960045659996531,-0.30737409001637056,Urban,0,0.21654135338345862
Lasioglossum_malachurum,0.4247777777777778,1.4346666666666668,-0.8561891226219436,0.36093253419137367,0.2282359982574668,Urban,0,0.2960811648079306
Lasioglossum_punctatissimum,0.29775,1.5625,-1.2115010707467275,0.44628710262841953,-0.2113816677987543,Urban,0,0.19056
Lasioglossum_sexnotatum,0.8176666666666667,2.56,-0.20130052339175747,0.9400072584914712,-0.05229296857199195,Urban,0,0.31940104166666666
Lasioglossum_zonulum,0.657,2.285,-0.4200712604975265,0.8263660243461681,-0.07940373729904887,Urban,0,0.287527352297593
Megachile_rotundata,1.6,4.074999999999999,0.4700036292457356,1.404870746692826,-0.2705515222385485,Urban,1,0.392638036809816
Nomada_succincta,1.34,2.057,0.29266961396282004,0.7212486106708201,0.27703811892444524,Urban,0,0.6514341273699563
Osmia_caerulescens,1.034,2.705,0.03343477608623742,0.9951019122984448,-0.03054659185854275,Urban,1,0.3822550831792976
Osmia_cornuta,1.94,3.631070175438596,0.6626879730752367,1.2895274189980137,0.09312348688254708,Urban,1,0.5342777490566312
Osmia_leaiana,1.1025,2.7655,0.09758032833886404,1.0172214504525956,-0.00428463824206986,Urban,1,0.3986620864219852
Panurgus_banksianus,1.63,2.379,0.4885800148186709,0.8666802313208206,0.394422005477056,Urban,0,0.6851618327028163
Panurgus_calcaratus,0.4866666666666667,1.4163333333333332,-0.7201758529478646,0.34807137246456477,0.13142444304101925,Urban,0,0.34361026123793836
Xylocopa_violacea,6.762666666666666,5.952,1.9114172895867056,1.7837272975307907,0.23405479119557912,Urban,1,1.136200716845878
Andrena_angustior,0.4063333333333333,1.7973333333333332,-0.9005814381689753,0.5863040849418961,-0.2001146386094098,Natural,1,0.22607566765578635
Andrena_barbilabris,0.983,2.28,-0.01714615883497051,0.8241754429663494,0.13235618048679126,Natural,1,0.431140350877193
Andrena_carantonica,1.8105,2.775,0.5936030502235589,1.020650747198398,0.328882862901134,Natural,0,0.6524324324324324
Andrena_cineraria,1.6334,2.724,0.4906637319420382,1.0021013882872658,0.2777162863569722,Natural,1,0.5996328928046989
Andrena_flavipes,1.148375,2.5575,0.1383478996094934,0.9390302188436446,0.10754383630135794,Natural,0,0.4490224828934506
Andrena_fucata,0.7010000000000001,2.66,-0.35524739194754684,0.9783261227936078,-0.2838700882375303,Natural,1,0.2635338345864662
Andrena_fulva,1.5913333333333333,2.76,0.46457223924852864,1.0152306797290584,0.2471939851871807,Natural,0,0.5765700483091788
Andrena_haemorrhoa,1.1656,2.436,0.153235975898858,0.8903573498476506,0.17584625915944352,Natural,1,0.47848932676518885
Andrena_labiata,0.5800000000000001,2.2333333333333334,-0.5447271754416719,0.8034952377288107,-0.20358039342099277,Natural,0,0.25970149253731345
Andrena_nigroaenea,1.7126666666666666,3.5733333333333333,0.5380516100195821,1.2734988669745462,-0.00431726399761427,Natural,0,0.4792910447761194
Andrena_nitida,1.9736,2.808,0.67985928623301,1.0324724861635646,0.37317809466935337,Natural,0,0.7028490028490029
Andrena_ovatula,0.7463333333333333,2.693333333333334,-0.29258295105149196,0.9907795838648944,-0.2525270790222511,Natural,1,0.2771039603960395
Andrena_semilaevis,0.254,1.64,-1.3704210119636004,0.494696241836107,-0.4215806547355225,Natural,1,0.1548780487804878
Andrena_subopaca,0.3433333333333333,1.846666666666667,-1.0690534864265653,0.6133822120910828,-0.35383224995631724,Natural,1,0.1859205776173285
Andrena_tibialis,1.6475,3.27,0.4992589873945252,1.184789984909162,0.0728563952602828,Natural,0,0.503822629969419
Andrena_wilkella,1.1126666666666667,2.4341666666666666,0.10675953657153368,0.8896044666116493,0.14188817586848823,Natural,1,0.45710373159876755
Anthidium_manicatum,2.053166666666667,2.873666666666667,0.7193833167517821,1.0555887985596784,0.3605267357533796,Natural,0,0.7144762788539613
Anthophora_plumipes,3.676,4.08,1.3018252044934406,1.4060969884160703,0.17093865911821152,Natural,0,0.9009803921568628
Anthophora_quadrimaculata,2.2225,3.86,0.7986326884059226,1.3506671834767396,-0.17349872404798256,Natural,0,0.5757772020725389
Anthophora_retusa,2.096,3.923,0.7400307664587957,1.3668566672274156,-0.2500218097955469,Natural,1,0.5342849859801173
Bombus_hypnorum,2.29,3.37,0.8285518175661483,1.2149127443642704,0.13325641703791463,Natural,0,0.6795252225519288
Bombus_jonellus,2.3005,4.0175,0.8331264906133863,1.3906598186295307,-0.084568122906625,Natural,1,0.5726197884256379
