Species,Brain.weight,IT,residuals,Habitat,Preference
Andrena_wilkella,1.0102499999999999,2.286,0.16447297712440082,Urban,0
Anthidium_manicatum,2.3458,3.6718,0.1157702512841453,Urban,1
Anthidium_oblongatum,1.7525714285714287,3.071857142857143,0.1597096032964796,Urban,0.9459
Anthophora_bimaculata,1.48,2.82,0.15153630778201646,Urban,0
Anthophora_plumipes,3.752,3.9930000000000003,0.4277319804408007,Urban,1
Anthophora_quadrimaculata,2.2225,3.8600000000000003,-0.03222099886388519,Urban,0.9959
Bombus_hypnorum,2.29,3.37,0.2529852096561737,Urban,1
Bombus_jonellus,2.3005,4.0175,-0.07293359941427927,Urban,0
Bombus_lucorum,2.4,4.861,-0.3889864431739591,Urban,0
Bombus_muscorum,2.1822222222222223,3.8116666666666665,-0.026814369867662963,Urban,0
Bombus_pascuorum,2.4040909090909093,3.697909090909091,0.12699117712142755,Urban,0
Bombus_pratorum,2.0264166666666665,3.5877499999999998,0.01295919625865095,Urban,0
Bombus_terrestris,3.052811320754717,4.228792452830189,0.11361434512054332,Urban,1
Dasypoda_hirtipes,0.47,2.957,-1.084736491915638,Urban,0
Halictus_confusus,0.41840000000000005,1.7855,-0.2523595569527458,Urban,0
Halictus_quadricinctus,1.55,2.895,0.14838919617724772,Urban,0
Halictus_rubicundus,0.83875,2.313875,-0.04435925574624953,Urban,0
Lasioglossum_calceatum,0.6563333333333333,1.8916666666666666,0.08925367701435019,Urban,0
Lasioglossum_fulvicorne,0.3,1.26,0.07050462004176511,Urban,0
Lasioglossum_leucozonium,0.48000000000000004,2.216666666666667,-0.5217763102700773,Urban,0
Lasioglossum_malachurum,0.4247777777777778,1.4346666666666668,0.17415944330279923,Urban,0
Lasioglossum_punctatissimum,0.29775,1.5625,-0.341662309354123,Urban,0
Lasioglossum_sexnotatum,0.8176666666666667,2.56,-0.2599056304677104,Urban,0.0623
Lasioglossum_sexstrigatum,0.231,1.26,-0.19086014409264213,Urban,0.7524
Lasioglossum_zonulum,0.657,2.285,-0.26497330968845245,Urban,0
Megachile_centuncularis,1.3815,3.329875,-0.22987207816410365,Urban,0.7588
Megachile_rotundata,1.391,3.1667,-0.12853349963893157,Urban,0.9998
Megachile_willughbiella,1.966,3.694,-0.07219068232853212,Urban,0.05
Nomada_succincta,1.34,2.057,0.6454415244779687,Urban,0.0153
Osmia_caerulescens,0.704421052631579,2.139894736842105,-0.0719022023481536,Urban,1
Osmia_cornuta,1.7993932584269663,3.410741573033708,-0.010715110372438438,Urban,1
Osmia_leaiana,1.1025,2.7655,-0.10622655394058156,Urban,0.9994
Panurgus_banksianus,1.63,2.379,0.5678668450297626,Urban,0.002
Panurgus_calcaratus,0.53,1.646375,0.13663107304333702,Urban,0
Stelis_breviuscula,0.4433333333333333,1.9656666666666667,-0.37525419439880986,Urban,0.4804
Xylocopa_violacea,6.777666666666667,5.911111111111111,0.2813701587611876,Urban,1
Andrena_angustior,0.4063333333333333,1.7973333333333332,-0.2940454955222933,Agricultural,0
Andrena_barbilabris,0.983,2.28,0.14207119408139418,Agricultural,0
Andrena_bicolor,0.7025,2.205,-0.13099347378781145,Agricultural,0
Andrena_carantonica,1.8105,2.775,0.3833473537748119,Agricultural,0
Andrena_chrysosceles,0.831,1.8525,0.364559004456993,Agricultural,0
Andrena_cineraria,1.6334,2.7239999999999998,0.3152902219719008,Agricultural,0
Andrena_dorsata,0.7176,2.262,-0.1577205995630248,Agricultural,0
Andrena_flavipes,1.1796666666666666,2.572111111111111,0.0977512911768199,Agricultural,0
Andrena_fucata,0.7010000000000001,2.66,-0.48591136513522837,Agricultural,1e-4
Andrena_fulva,1.5913333333333333,2.76,0.26450901387643333,Agricultural,0
Andrena_gravida,1.59425,2.635,0.35349694278533295,Agricultural,0
Andrena_haemorrhoa,1.1656,2.436,0.18799783531792033,Agricultural,0
Andrena_labiata,0.5800000000000001,2.2333333333333334,-0.34662056608427605,Agricultural,0
Andrena_nigroaenea,1.7126666666666666,3.5733333333333333,-0.14768657113672629,Agricultural,0
Andrena_nitida,1.9736,2.808,0.4473727350652401,Agricultural,0
Andrena_ovatula,0.7463333333333333,2.6933333333333334,-0.4466657363649135,Agricultural,0
Andrena_pilipes,1.4571428571428573,2.9064285714285716,0.07920278947750543,Agricultural,0
Andrena_semilaevis,0.277,1.575,-0.4288832047065232,Agricultural,0.0843
Andrena_subopaca,0.3433333333333333,1.8466666666666667,-0.513438132746577,Agricultural,0
Andrena_tibialis,1.6475,3.27,-0.019661581285877614,Agricultural,0
Andrena_wilkella,1.0102499999999999,2.286,0.16447297712440082,Agricultural,0
Anthidium_manicatum,2.3458,3.6718,0.1157702512841453,Agricultural,0
Anthidium_oblongatum,1.7525714285714287,3.071857142857143,0.1597096032964796,Agricultural,0
Anthophora_bimaculata,1.48,2.82,0.15153630778201646,Agricultural,0
Anthophora_plumipes,3.752,3.9930000000000003,0.4277319804408007,Agricultural,0
Anthophora_quadrimaculata,2.2225,3.8600000000000003,-0.03222099886388519,Agricultural,0
Bombus_hypnorum,2.29,3.37,0.2529852096561737,Agricultural,0
Bombus_jonellus,2.3005,4.0175,-0.07293359941427927,Agricultural,0
Bombus_lucorum,2.4,4.861,-0.3889864431739591,Agricultural,0
Bombus_muscorum,2.1822222222222223,3.8116666666666665,-0.026814369867662963,Agricultural,0.9811
Bombus_pascuorum,2.4040909090909093,3.697909090909091,0.12699117712142755,Agricultural,0
Bombus_pratorum,2.0264166666666665,3.5877499999999998,0.01295919625865095,Agricultural,0
Bombus_terrestris,3.052811320754717,4.228792452830189,0.11361434512054332,Agricultural,0
Dasypoda_hirtipes,0.47,2.957,-1.084736491915638,Agricultural,0
Halictus_confusus,0.41840000000000005,1.7855,-0.2523595569527458,Agricultural,0.005
Halictus_quadricinctus,1.55,2.895,0.14838919617724772,Agricultural,0.009
Halictus_rubicundus,0.83875,2.313875,-0.04435925574624953,Agricultural,0
Lasioglossum_calceatum,0.6563333333333333,1.8916666666666666,0.08925367701435019,Agricultural,0
Lasioglossum_fulvicorne,0.3,1.26,0.07050462004176511,Agricultural,0
Lasioglossum_leucozonium,0.48000000000000004,2.216666666666667,-0.5217763102700773,Agricultural,0
Lasioglossum_malachurum,0.4247777777777778,1.4346666666666668,0.17415944330279923,Agricultural,0
Lasioglossum_punctatissimum,0.29775,1.5625,-0.341662309354123,Agricultural,0
Lasioglossum_sexnotatum,0.8176666666666667,2.56,-0.2599056304677104,Agricultural,0
Lasioglossum_sexstrigatum,0.231,1.26,-0.19086014409264213,Agricultural,0
Lasioglossum_zonulum,0.657,2.285,-0.26497330968845245,Agricultural,0
Megachile_centuncularis,1.3815,3.329875,-0.22987207816410365,Agricultural,0
Megachile_rotundata,1.391,3.1667,-0.12853349963893157,Agricultural,0.0048
Megachile_willughbiella,1.966,3.694,-0.07219068232853212,Agricultural,0
Nomada_succincta,1.34,2.057,0.6454415244779687,Agricultural,0
Osmia_caerulescens,0.704421052631579,2.139894736842105,-0.0719022023481536,Agricultural,0
Osmia_cornuta,1.7993932584269663,3.410741573033708,-0.010715110372438438,Agricultural,0
Osmia_leaiana,1.1025,2.7655,-0.10622655394058156,Agricultural,0
Panurgus_banksianus,1.63,2.379,0.5678668450297626,Agricultural,0
Panurgus_calcaratus,0.53,1.646375,0.13663107304333702,Agricultural,0
Stelis_breviuscula,0.4433333333333333,1.9656666666666667,-0.37525419439880986,Agricultural,0
Xylocopa_violacea,6.777666666666667,5.911111111111111,0.2813701587611876,Agricultural,0
Andrena_angustior,0.4063333333333333,1.7973333333333332,-0.2940454955222933,Natural,0.0711
Andrena_barbilabris,0.983,2.28,0.14207119408139418,Natural,0
Andrena_bicolor,0.7025,2.205,-0.13099347378781145,Natural,0
Andrena_carantonica,1.8105,2.775,0.3833473537748119,Natural,0
Andrena_chrysosceles,0.831,1.8525,0.364559004456993,Natural,0
Andrena_cineraria,1.6334,2.7239999999999998,0.3152902219719008,Natural,0
Andrena_dorsata,0.7176,2.262,-0.1577205995630248,Natural,0
Andrena_flavipes,1.1796666666666666,2.572111111111111,0.0977512911768199,Natural,0
Andrena_fucata,0.7010000000000001,2.66,-0.48591136513522837,Natural,0.9984
Andrena_fulva,1.5913333333333333,2.76,0.26450901387643333,Natural,0
Andrena_gravida,1.59425,2.635,0.35349694278533295,Natural,0
Andrena_haemorrhoa,1.1656,2.436,0.18799783531792033,Natural,0
Andrena_labiata,0.5800000000000001,2.2333333333333334,-0.34662056608427605,Natural,0
Andrena_nigroaenea,1.7126666666666666,3.5733333333333333,-0.14768657113672629,Natural,0
Andrena_nitida,1.9736,2.808,0.4473727350652401,Natural,0
Andrena_ovatula,0.7463333333333333,2.6933333333333334,-0.4466657363649135,Natural,0
Andrena_pilipes,1.4571428571428573,2.9064285714285716,0.07920278947750543,Natural,0
Andrena_semilaevis,0.277,1.575,-0.4288832047065232,Natural,0
Andrena_subopaca,0.3433333333333333,1.8466666666666667,-0.513438132746577,Natural,0
Andrena_tibialis,1.6475,3.27,-0.019661581285877614,Natural,0
Andrena_wilkella,1.0102499999999999,2.286,0.16447297712440082,Natural,0
Anthidium_manicatum,2.3458,3.6718,0.1157702512841453,Natural,0
Anthidium_oblongatum,1.7525714285714287,3.071857142857143,0.1597096032964796,Natural,0
Anthophora_bimaculata,1.48,2.82,0.15153630778201646,Natural,0.4551
Anthophora_plumipes,3.752,3.9930000000000003,0.4277319804408007,Natural,0
Anthophora_quadrimaculata,2.2225,3.8600000000000003,-0.03222099886388519,Natural,0
Bombus_hypnorum,2.29,3.37,0.2529852096561737,Natural,0
Bombus_jonellus,2.3005,4.0175,-0.07293359941427927,Natural,1
Bombus_lucorum,2.4,4.861,-0.3889864431739591,Natural,0
Bombus_muscorum,2.1822222222222223,3.8116666666666665,-0.026814369867662963,Natural,0
Bombus_pascuorum,2.4040909090909093,3.697909090909091,0.12699117712142755,Natural,0
Bombus_pratorum,2.0264166666666665,3.5877499999999998,0.01295919625865095,Natural,0
Bombus_terrestris,3.052811320754717,4.228792452830189,0.11361434512054332,Natural,0
Dasypoda_hirtipes,0.47,2.957,-1.084736491915638,Natural,0
Halictus_confusus,0.41840000000000005,1.7855,-0.2523595569527458,Natural,0.9583
Halictus_quadricinctus,1.55,2.895,0.14838919617724772,Natural,0
Halictus_rubicundus,0.83875,2.313875,-0.04435925574624953,Natural,0
Lasioglossum_calceatum,0.6563333333333333,1.8916666666666666,0.08925367701435019,Natural,0
Lasioglossum_fulvicorne,0.3,1.26,0.07050462004176511,Natural,0
Lasioglossum_leucozonium,0.48000000000000004,2.216666666666667,-0.5217763102700773,Natural,0
Lasioglossum_malachurum,0.4247777777777778,1.4346666666666668,0.17415944330279923,Natural,0
Lasioglossum_punctatissimum,0.29775,1.5625,-0.341662309354123,Natural,0.0515
Lasioglossum_sexnotatum,0.8176666666666667,2.56,-0.2599056304677104,Natural,0
Lasioglossum_sexstrigatum,0.231,1.26,-0.19086014409264213,Natural,0
Lasioglossum_zonulum,0.657,2.285,-0.26497330968845245,Natural,0
Megachile_centuncularis,1.3815,3.329875,-0.22987207816410365,Natural,0
Megachile_rotundata,1.391,3.1667,-0.12853349963893157,Natural,0
Megachile_willughbiella,1.966,3.694,-0.07219068232853212,Natural,0
Nomada_succincta,1.34,2.057,0.6454415244779687,Natural,5e-4
Osmia_caerulescens,0.704421052631579,2.139894736842105,-0.0719022023481536,Natural,0
Osmia_cornuta,1.7993932584269663,3.410741573033708,-0.010715110372438438,Natural,0
Osmia_leaiana,1.1025,2.7655,-0.10622655394058156,Natural,0
Panurgus_banksianus,1.63,2.379,0.5678668450297626,Natural,0.0014
Panurgus_calcaratus,0.53,1.646375,0.13663107304333702,Natural,0
Stelis_breviuscula,0.4433333333333333,1.9656666666666667,-0.37525419439880986,Natural,0
Xylocopa_violacea,6.777666666666667,5.911111111111111,0.2813701587611876,Natural,0
