Species,Brain.weight,IT,log_brain_weight,log_it,residuals,Habitat,Preference,brain_it
Agapostemon_sericeus,0.8494999999999999,2.25425,-0.16310733787015044,0.8128173233978789,-0.09295241113190392,Agricultural,NA,0.3768437396029721
Agapostemon_virescens,1.281,1.7145,0.2476410229145973,0.5391214929208379,0.7174821346580562,Agricultural,1,0.7471566054243219
Andrena_carlini,1.558,2.712,0.4434029474485566,0.9976863700781492,0.1918719884677012,Agricultural,NA,0.5744837758112095
Andrena_dunningi,1.3476,2.7839,0.29832523255026067,1.0238528222868213,0.05141402107106647,Agricultural,NA,0.48406911167786193
Andrena_hirticincta,1.168,2.667,0.15529288440603525,0.9809542451998772,0.00768451333841021,Agricultural,NA,0.43794525684289465
Andrena_milwaukeensis,1.0025,2.286,0.00249688019858714,0.8268035653726189,0.11427025086970724,Agricultural,0,0.4385389326334208
Andrena_miserabilis,0.6,1.957,-0.5108256237659907,0.6714126884139392,-0.03676486448824626,Agricultural,NA,0.3065917220235053
Andrena_nubecula,0.4155,1.3335,-0.8782726646866342,0.28780706463993183,0.2357089142448995,Agricultural,0,0.31158605174353204
Andrena_vicina,1.515,2.7432,0.41541543896133254,1.0091251221665736,0.1549665652321638,Agricultural,1,0.5522747156605424
Andrena_wilkella,1.1126666666666667,2.4341666666666666,0.10675953657153368,0.8896044666116493,0.10167483780961518,Agricultural,1,0.45710373159876755
Anthidium_manicatum,2.053166666666667,2.873666666666667,0.7193833167517821,1.0555887985596784,0.24950337420423188,Agricultural,0,0.7144762788539613
Anthidium_oblongatum,1.8,2.679,0.5877866649021191,0.9854435905624715,0.2531134024965652,Agricultural,0,0.671892497200448
Augochlora_pura,0.586,1.7429,-0.5344354894051245,0.5555503925454988,0.08378589388860683,Agricultural,NA,0.33622124046130014
Augochlorella_aurata,0.35225,1.444625,-1.0434141282033471,0.3678497723134684,-0.04387750112333213,Agricultural,1,0.2438349052522281
Augochloropsis_metallica,0.7010000000000001,1.9685,-0.35524739194754684,0.6772718314016551,0.03319705849818658,Agricultural,1,0.35610871221742446
Bombus_griseocollis,3.053,4.296833333333334,1.1161247137527408,1.4578783172901866,-0.01430601309629917,Agricultural,NA,0.7105232535588223
Bombus_impatiens,2.667875,3.9585625,0.9812822753815952,1.3758809543136017,0.0042379915603556,Agricultural,0,0.6739504554999447
Calliopsis_andreniformis,0.365,1.524,-1.0078579253996456,0.42133845726445457,-0.11615793120372436,Agricultural,1,0.239501312335958
Ceratina_calcarata,0.445,1.955,-0.8096809968158968,0.6703901934373291,-0.31824726756795907,Agricultural,1,0.22762148337595908
Ceratina_strenua,0.153,0.889,-1.8773173575897015,-0.11765804346823246,0.05519817711146499,Agricultural,NA,0.172103487064117
Colletes_thoracicus,1.5213333333333332,3.2808333333333333,0.4195871433317194,1.1880974551676458,-0.04333280649875766,Agricultural,0,0.46370332740665476
Halictus_confusus,0.4184000000000001,1.6809,-0.8713173662314238,0.5193293642572115,-0.07881731733280438,Agricultural,1,0.24891427211612832
Halictus_ligatus,0.691,2.4106666666666667,-0.36961545521446726,0.8799033344217657,-0.2575225620790378,Agricultural,1,0.2866426991150442
Halictus_rubicundus,0.9706666666666668,2.271833333333334,-0.02977215833367014,0.820587141360651,0.1527857383272121,Agricultural,1,0.42726138947986203
Hylaeus_mesillae,0.26,1.4,-1.3470736479666092,0.3364722366212129,-0.08379525162398034,Agricultural,1,0.18571428571428572
Hylaeus_modestus,0.31,1.65,-1.171182981502945,0.5007752879124892,-0.19431406552852132,Agricultural,0,0.1878787878787879
Lasioglossum_coriaceum,0.742,1.905,-0.2984060358147566,0.6444820085786643,0.227303746637399,Agricultural,1,0.38950131233595797
Lasioglossum_leucozonium,0.48,2.216666666666667,-0.7339691750802003,0.7960045659996531,-0.4302205152287996,Agricultural,1,0.21654135338345862
Lasioglossum_zonulum,0.6316666666666667,2.306666666666666,-0.45939345013372,0.8358034809614685,-0.25347429311070596,Agricultural,1,0.27384393063583823
Megachile_pugnata,3,4.08,1.0986122886681098,1.4060969884160703,0.06026069016086465,Agricultural,0,0.7352941176470588
Megachile_rotundata,1.6,2.8594999999999997,0.4700036292457356,1.0506467843732337,0.116545363123909,Agricultural,0,0.5595383808358105
Megachile_texana,2.351,3.1115,0.8548407695579324,1.1351049250271354,0.3095981144104124,Agricultural,0,0.7555841234131448
Nomada_cressonii,1.76,2.304,0.5653138090500605,0.8346467428336447,0.21572032080514067,Agricultural,0,0.763888888888889
Nomada_luteoloides,1.7,2.435,0.5306282510621704,0.8899467565345531,0.09785506987071343,Agricultural,0,0.6981519507186857
Osmia_atriventris,0.447,2.032,-0.8051966843685682,0.7090205297162355,-0.3004290854622992,Agricultural,0,0.21998031496062992
Osmia_cornifrons,0.676,2.794,-0.3915622029391729,1.02747426083477,-0.494726383006166,Agricultural,0,0.24194702934860415
Osmia_lignaria,1.1735,3.46075,0.15999073630894114,1.2414853285857073,-0.36722094889700374,Agricultural,0,0.33908834790146647
Osmia_pumila,0.6040000000000001,1.80975,-0.504181081047322,0.5931887141911137,0.1956949973335244,Agricultural,NA,0.3337477552148087
Xylocopa_virginica,5.297833333333333,5.394,1.6672979319430723,1.6852872247175383,0.05696538456861524,Agricultural,0,0.9821715486342849
Agapostemon_sericeus,0.8494999999999999,2.25425,-0.16310733787015044,0.8128173233978789,-0.09295241113190392,Natural,NA,0.3768437396029721
Agapostemon_virescens,1.281,1.7145,0.2476410229145973,0.5391214929208379,0.7174821346580562,Natural,0,0.7471566054243219
