brain_it,Habitat,Preference,Species,cond__,effect1__,effect2__,estimate__,se__,lower__,upper__
0.172103487064117,Agricultural,0.4589041095890411,NA,1,0.172103487064117,Agricultural,0.914319972312465,0.0670336025111678,0.6992356898994996,0.9868262082384187
0.172103487064117,Natural,0.4589041095890411,NA,1,0.172103487064117,Natural,0.8996155314120063,0.06990515487293095,0.6827616873624333,0.9803509515579427
0.172103487064117,Seminatural,0.4589041095890411,NA,1,0.172103487064117,Seminatural,0.07520636889074311,0.058119725212314115,0.010294216840835256,0.28309162030403356
0.172103487064117,Urban,0.4589041095890411,NA,1,0.172103487064117,Urban,0.012420357251337808,0.014021271888963465,5.495314710540681e-4,0.11152055619795079
0.1785391977517962,Agricultural,0.4589041095890411,NA,1,0.1785391977517962,Agricultural,0.9115098110570299,0.06790394830554305,0.6963793530968483,0.9859746944242098
0.1785391977517962,Natural,0.4589041095890411,NA,1,0.1785391977517962,Natural,0.8960973540138932,0.07087757953495387,0.680490536616725,0.9790823396254258
0.1785391977517962,Seminatural,0.4589041095890411,NA,1,0.1785391977517962,Seminatural,0.07860734201123903,0.05965119150117352,0.01127333775162128,0.2858890475570587
0.1785391977517962,Urban,0.4589041095890411,NA,1,0.1785391977517962,Urban,0.013144781027920532,0.01467866988714516,6.057634015326917e-4,0.11553748371243534
0.18497490843947537,Agricultural,0.4589041095890411,NA,1,0.18497490843947537,Agricultural,0.9084907852668468,0.06892272845949238,0.6937157660247026,0.9850154415635974
0.18497490843947537,Natural,0.4589041095890411,NA,1,0.18497490843947537,Natural,0.8928646355927016,0.07183451513262841,0.677910685133754,0.9777132299843689
0.18497490843947537,Seminatural,0.4589041095890411,NA,1,0.18497490843947537,Seminatural,0.08226471433251265,0.061113394711034934,0.01242246969379591,0.28825327783732896
0.18497490843947537,Urban,0.4589041095890411,NA,1,0.18497490843947537,Urban,0.013866785806249794,0.01537582670436121,6.72962377530443e-4,0.11910033415829183
0.19141061912715457,Agricultural,0.4589041095890411,NA,1,0.19141061912715457,Agricultural,0.9053342948127459,0.07006185889015823,0.692334167194292,0.9840524269609703
0.19141061912715457,Natural,0.4589041095890411,NA,1,0.19141061912715457,Natural,0.889079900456025,0.07298654008329578,0.6751425635204319,0.9762375210958872
0.19141061912715457,Seminatural,0.4589041095890411,NA,1,0.19141061912715457,Seminatural,0.08591739267635679,0.062221791159823195,0.013548636364466076,0.2905869461162059
0.19141061912715457,Urban,0.4589041095890411,NA,1,0.19141061912715457,Urban,0.01470215011641677,0.01614649858466044,7.470356382641051e-4,0.12104841286169077
0.19784632981483374,Agricultural,0.4589041095890411,NA,1,0.19784632981483374,Agricultural,0.9021217498784302,0.07127537203254286,0.6888531870093483,0.9830662234960844
0.19784632981483374,Natural,0.4589041095890411,NA,1,0.19784632981483374,Natural,0.8853770720358741,0.07401177808464583,0.6715087766458535,0.9747087719483863
