Species,Barren Land,Cultivated Crops,Deciduous Forest,"Developed, High Intensity","Developed, Low Intensity","Developed, Medium Intensity","Developed, Open Space",Emergent Herbaceous Wetlands,Evergreen Forest,Hay/Pasture,Herbaceous,Mixed Forest,Open Water,Shrub/Scrub,Woody Wetlands
Agapostemon sericeus,0.1799,1,1,1,1,1,1,0.9046,0.9701,1,0.9974,1,1,1,1
Agapostemon virescens,0.5597,1,1,1,1,1,1,1,1,1,1,1,0.9999,1,1
Andrena carlini,0.0109,1,1,0.9983,1,1,1,0.848,0.848,1,0.9941,1,0.5472,0.9267,1
Andrena crataegi,0.4209,1,1,1,1,1,1,0.4209,0.7872,1,1,1,0.9463,0,0.9463
Andrena dunningi,0,0.9827,1,1,1,1,1,0,0.5892,1,0.5892,0.9999,0.9008,0,0.9008
Andrena hirticincta,0.3814,0.9242,1,1,1,1,1,0.7474,0.9999,1,0.9968,1,0.9996,0.7474,0.9999
Andrena milwaukeensis,0.9102,0.9102,1,1,1,1,1,0.3478,0.9988,1,0.9996,1,0,0.3478,0.9988
Andrena miserabilis,0,1,1,0.7082,1,1,1,0.9751,0.9751,1,0.999,1,0.7082,0.9014,1
Andrena nasonii,0,1,1,0.2356,1,1,1,0.9997,0.9976,1,1,1,0.9941,1,1
Andrena nubecula,0.8334,0.9656,1,0.999,1,1,1,0,0.9997,1,0.9939,1,0.9656,0,1
Andrena pruni,0.4452,0.9916,1,0,0.9999,0.8107,1,0.9559,0,1,0,1,0.4452,0.8107,1
Andrena rugosa,0.4727,1,1,0.9938,1,0.9991,1,0.4727,0.9938,1,0.9938,1,0.8331,0.8331,0.9991
Andrena vicina,0,1,1,1,1,1,1,0.0898,0.9974,1,0.9994,1,0.9902,0.9137,1
Andrena wilkella,0.792,1,1,1,1,1,1,0.5875,1,1,1,1,0.32,0.792,1
Anthidium manicatum,0.2701,0.9643,1,1,1,1,1,0.1069,0.9982,1,0.9643,1,0.2701,0.2701,1
Anthidium oblongatum,0.9957,0.9957,1,1,1,1,1,0.1177,0.6349,1,0.9345,1,0.3639,0.9345,0.9984
Augochlora pura,0.1893,1,1,1,1,1,1,0.9889,0.9997,1,1,1,1,1,1
Augochlorella aurata,0.9849,1,1,0.9997,1,1,1,1,1,1,1,1,1,1,1
Augochloropsis metallica,0.1517,1,1,0.9621,1,1,1,0.9976,1,1,1,1,0.9621,1,1
Bombus griseocollis,0.0473,1,1,1,1,1,1,0.9988,1,1,1,1,1,1,1
Bombus impatiens,0.0068,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bombus ternarius,0.0042,1,1,1,1,1,1,0.9998,1,1,1,1,1,1,1
Bombus vagans,0.613,1,1,1,1,1,1,0.1164,1,1,1,1,0.8659,0.9319,1
Calliopsis andreniformis,0.9859,1,1,0.9627,1,1,1,1,0.9859,1,1,1,0.4786,1,1
Ceratina calcarata,0.429,1,1,1,1,1,1,0.9986,0.9639,1,1,1,1,1,1
Ceratina strenua,0.7223,1,1,1,1,1,1,0.9997,0.0308,1,0.9616,1,0.3895,1,1
Colletes thoracicus,0,1,1,0.9426,1,1,1,0.4027,0,1,0.9897,0.9979,0.9979,0.4027,1
Halictus confusus,0.9988,1,1,1,1,1,1,0.8914,0.9962,1,1,1,0.6731,1,1
Halictus ligatus,0.9695,1,1,1,1,1,1,0.9998,1,1,1,1,0.9966,1,1
Halictus rubicundus,0.5233,1,1,1,1,1,1,0.7481,0.9998,1,0.9958,1,0.9551,0.9998,1
Hylaeus mesillae,0.8113,1,1,0.9909,1,1,1,1,0.9587,1,0.9909,0.9587,0.9909,0.4533,1
Hylaeus modestus,0.6285,1,1,1,1,1,1,0.9777,0.998,1,0.998,1,0.9777,0.8285,1
Lasioglossum coriaceum,0,1,1,0.998,1,1,1,0.992,0.7517,1,1,1,0.9011,1,1
Lasioglossum leucozonium,0.5713,0.8928,1,0.998,1,1,1,0.998,0.5713,1,1,0.9999,0.5713,0.5713,0.5713
Megachile campanulae,0.556,1,1,0.9996,1,1,1,0.556,0.9802,1,0.8883,1,0,0.9996,0.8883
Megachile mendica,0.771,1,1,1,1,1,1,0.9875,0.5575,1,1,1,1,1,1
Megachile pugnata,0.5619,0.5619,1,0.5619,1,1,1,0.5619,0.8846,1,0.9811,0.8846,0,0,0.8846
Megachile rotundata,0.9645,1,1,1,1,1,1,0.8693,0.2772,1,0.9927,0.9927,0,0.9927,0.644
Megachile sculpturalis,0.1092,1,1,1,1,1,1,0.6152,0.9757,1,0.9998,1,0.9998,0.9757,1
Nomada cressonii,0.9695,0.9956,1,0,1,0.9695,1,0.9956,0,1,0.9999,1,0.9695,0.86,1
Nomada luteoloides,0,0.593,1,0,0.9998,0.9854,1,0.8355,0.946,1,0.946,1,0.9964,0.2443,1
Osmia atriventris,0.9111,1,1,0.4976,1,0.9111,1,0.9111,0.9742,1,1,1,0.9925,1,1
Osmia bucephala,0.5485,1,1,0.2221,1,1,1,0.5485,0.9999,1,0.5485,1,0.5485,0.9999,1
Osmia cornifrons,0.1937,0.779,1,1,1,1,1,0.779,0.1937,1,0.5179,1,0.9198,0.1937,1
Osmia lignaria,0,0.9996,1,0.9787,1,1,1,0.8857,0.9996,1,0,0.9972,0.9787,0.9996,1
Osmia pumila,0.8581,1,1,0.3189,1,1,1,1,1,1,1,1,1,1,1
Ptilothrix bombiformis,0.9455,1,1,1,1,1,1,1,0.9833,1,0.9455,1,0.9958,1,1
Xylocopa virginica,0.0483,1,1,1,1,1,1,1,0.9999,1,1,1,1,0.4349,1
