Brain.weight,Habitat,Preference,Species,cond__,effect1__,effect2__,estimate__,se__,lower__,upper__
0.153,Agricultural,0.4909090909090909,NA,1,0.153,Agricultural,0.8748904041338164,0.07971490257787385,0.6294337653449591,0.9740019484499144
0.153,Natural,0.4909090909090909,NA,1,0.153,Natural,0.989382975842279,0.012153487396863748,0.9095067100835215,0.9996957134421263
0.153,Urban,0.4909090909090909,NA,1,0.153,Urban,0.012432234428864366,0.01349939797966904,5.528921003756643e-4,0.0894217245421277
0.204989898989899,Agricultural,0.4909090909090909,NA,1,0.204989898989899,Agricultural,0.8642820666685525,0.08298687843935339,0.6179563916835259,0.9699383542420336
0.204989898989899,Natural,0.4909090909090909,NA,1,0.204989898989899,Natural,0.9878821489861285,0.013590856936758905,0.9026389258256129,0.9996109719576428
0.204989898989899,Urban,0.4909090909090909,NA,1,0.204989898989899,Urban,0.013958977697167252,0.014872012847700847,6.801809977490832e-4,0.09452698441215197
0.256979797979798,Agricultural,0.4909090909090909,NA,1,0.256979797979798,Agricultural,0.8532389364845279,0.08608063782350561,0.6086826774476987,0.9651320761075494
0.256979797979798,Natural,0.4909090909090909,NA,1,0.256979797979798,Natural,0.9861922330532749,0.015176376337105871,0.8962336069255846,0.9995053138031426
0.256979797979798,Urban,0.4909090909090909,NA,1,0.256979797979798,Urban,0.015776168455794083,0.01644570787097829,8.442111972611589e-4,0.10033980497484594
0.308969696969697,Agricultural,0.4909090909090909,NA,1,0.308969696969697,Agricultural,0.841501680519587,0.0893985906082726,0.5976577798832345,0.9599503999556793
0.308969696969697,Natural,0.4909090909090909,NA,1,0.308969696969697,Natural,0.984240820053891,0.016976856701683037,0.8896074051119968,0.9993739183048894
0.308969696969697,Urban,0.4909090909090909,NA,1,0.308969696969697,Urban,0.017807784182470233,0.018197278691241894,0.0010452454179281936,0.10728248899992172
0.360959595959596,Agricultural,0.4909090909090909,NA,1,0.360959595959596,Agricultural,0.8289005208693473,0.09203935249140921,0.5861520073263917,0.9542630022674995
0.360959595959596,Natural,0.4909090909090909,NA,1,0.360959595959596,Natural,0.9821123798342188,0.018866588330251323,0.8821562484962556,0.999209287311198
0.360959595959596,Urban,0.4909090909090909,NA,1,0.360959595959596,Urban,0.020035842913571977,0.020037524177696317,0.001303838253761705,0.11408884299945957
0.41294949494949496,Agricultural,0.4909090909090909,NA,1,0.41294949494949496,Agricultural,0.8153692911333114,0.09365202054885237,0.5714192312055317,0.9476266365260314
0.41294949494949496,Natural,0.4909090909090909,NA,1,0.41294949494949496,Natural,0.9795758437298846,0.021090031902990292,0.8738378073342894,0.9989636927034994
0.41294949494949496,Urban,0.4909090909090909,NA,1,0.41294949494949496,Urban,0.022634655295809887,0.02206759708823677,0.0016193997090293642,0.12121729024623676
0.464939393939394,Agricultural,0.4909090909090909,NA,1,0.464939393939394,Agricultural,0.8009459396581604,0.09513040799264878,0.5584924035490143,0.9396220716710567
0.464939393939394,Natural,0.4909090909090909,NA,1,0.464939393939394,Natural,0.9767414050345479,0.0235007338396543,0.86513438704465,0.998709190452603
0.464939393939394,Urban,0.4909090909090909,NA,1,0.464939393939394,Urban,0.025615318772289765,0.024186914919531025,0.0019945653792167338,0.12880301392141708
0.516929292929293,Agricultural,0.4909090909090909,NA,1,0.516929292929293,Agricultural,0.7865196994842059,0.09757009322235038,0.5444101125075703,0.9312429726701249
0.516929292929293,Natural,0.4909090909090909,NA,1,0.516929292929293,Natural,0.9735040744377403,0.025912632312466814,0.8561397930762624,0.9983320364153762
0.516929292929293,Urban,0.4909090909090909,NA,1,0.516929292929293,Urban,0.028792021905180196,0.026384336497113005,0.002457288445803514,0.13798865487345702
0.5689191919191919,Agricultural,0.4909090909090909,NA,1,0.5689191919191919,Agricultural,0.7711981461071079,0.10057946672075312,0.5309799454756872,0.9221816437168098
0.5689191919191919,Natural,0.4909090909090909,NA,1,0.5689191919191919,Natural,0.9697568372218581,0.028704195489918587,0.8464536858820063,0.9979168245197073
0.5689191919191919,Urban,0.4909090909090909,NA,1,0.5689191919191919,Urban,0.03233960702239787,0.02864168388273495,0.003017961254858784,0.1476152544757847
0.620909090909091,Agricultural,0.4909090909090909,NA,1,0.620909090909091,Agricultural,0.7537663904583962,0.10337838002032332,0.5138461655709697,0.9112652092136682
0.620909090909091,Natural,0.4909090909090909,NA,1,0.620909090909091,Natural,0.9655406810603404,0.03148083952838118,0.8361516863112365,0.9974485908197659
0.620909090909091,Urban,0.4909090909090909,NA,1,0.620909090909091,Urban,0.03657687443699929,0.0313453306811825,0.0037263919387062095,0.156665606113784
0.67289898989899,Agricultural,0.4909090909090909,NA,1,0.67289898989899,Agricultural,0.7364426853523092,0.10425141189282179,0.4972198012481977,0.900577262635877
0.67289898989899,Natural,0.4909090909090909,NA,1,0.67289898989899,Natural,0.9606777929314216,0.03483301832662106,0.827429433362228,0.9966957066740119
0.67289898989899,Urban,0.4909090909090909,NA,1,0.67289898989899,Urban,0.04108017267421897,0.03429766714894607,0.00451330190969079,0.16680603005038594
0.724888888888889,Agricultural,0.4909090909090909,NA,1,0.724888888888889,Agricultural,0.7176587712153102,0.10649854835078722,0.4810932986482743,0.8903353800174159
0.724888888888889,Natural,0.4909090909090909,NA,1,0.724888888888889,Natural,0.9553062989705817,0.0380349229420787,0.8155328369899348,0.9958294348080858
0.724888888888889,Urban,0.4909090909090909,NA,1,0.724888888888889,Urban,0.04630396414927615,0.03723475404747744,0.005617791970749052,0.17691363803005034
0.776878787878788,Agricultural,0.4909090909090909,NA,1,0.776878787878788,Agricultural,0.6992242512441263,0.10682617937213872,0.46671278643692377,0.876920362667704
0.776878787878788,Natural,0.4909090909090909,NA,1,0.776878787878788,Natural,0.949247164520703,0.041334372864579354,0.8029262391093751,0.9945194557171345
0.776878787878788,Urban,0.4909090909090909,NA,1,0.776878787878788,Urban,0.0518290088234568,0.04039052601827613,0.006950287952989542,0.1874127960886662
0.828868686868687,Agricultural,0.4909090909090909,NA,1,0.828868686868687,Agricultural,0.6790983889392423,0.10719782879030815,0.4492209723828656,0.8644989929658448
0.828868686868687,Natural,0.4909090909090909,NA,1,0.828868686868687,Natural,0.9423920880879055,0.04552497417617739,0.7886490319588562,0.9930476944969446
0.828868686868687,Urban,0.4909090909090909,NA,1,0.828868686868687,Urban,0.05825450204216888,0.04385947154003381,0.008554107043941387,0.19931143221898834
0.880858585858586,Agricultural,0.4909090909090909,NA,1,0.880858585858586,Agricultural,0.6582350708881968,0.10787079261304264,0.43215761677794007,0.849498277597227
0.880858585858586,Natural,0.4909090909090909,NA,1,0.880858585858586,Natural,0.9344270172454294,0.0499298445102574,0.7749322900356551,0.9911670155267422
0.880858585858586,Urban,0.4909090909090909,NA,1,0.880858585858586,Urban,0.06548829754452705,0.04755188064155441,0.010520566074384816,0.2143145514043441
0.9328484848484849,Agricultural,0.4909090909090909,NA,1,0.9328484848484849,Agricultural,0.6356444372251913,0.10916564853055744,0.41166735036562824,0.8330916511687751
0.9328484848484849,Natural,0.4909090909090909,NA,1,0.9328484848484849,Natural,0.9253597502097521,0.05451830658520183,0.7573545144362006,0.9890275411761841
0.9328484848484849,Urban,0.4909090909090909,NA,1,0.9328484848484849,Urban,0.07341144360477175,0.05139145983795968,0.012729203015015364,0.22959046538523167
0.984838383838384,Agricultural,0.4909090909090909,NA,1,0.984838383838384,Agricultural,0.614139680901526,0.10875937922581706,0.39326662562177706,0.8175299047399145
0.984838383838384,Natural,0.4909090909090909,NA,1,0.984838383838384,Natural,0.9155967266733687,0.05916045738428398,0.7427835243320392,0.9863626680379194
0.984838383838384,Urban,0.4909090909090909,NA,1,0.984838383838384,Urban,0.08210719166895297,0.05524068234180992,0.015226115169141052,0.24546995505690553
1.0368282828282829,Agricultural,0.4909090909090909,NA,1,1.0368282828282829,Agricultural,0.5912449320301238,0.10983961321974069,0.3707007745215667,0.8018020664171479
1.0368282828282829,Natural,0.4909090909090909,NA,1,1.0368282828282829,Natural,0.9046254193528336,0.06379596963175418,0.7260102225941745,0.9829130385601516
1.0368282828282829,Urban,0.4909090909090909,NA,1,1.0368282828282829,Urban,0.09197433062747803,0.05878201274136814,0.018464764954385645,0.26430479782253835
1.088818181818182,Agricultural,0.4909090909090909,NA,1,1.088818181818182,Agricultural,0.5670754756982301,0.11087834046708948,0.34852449677393654,0.7844299878378953
1.088818181818182,Natural,0.4909090909090909,NA,1,1.088818181818182,Natural,0.8920359461531782,0.06904362859274715,0.7066577789548064,0.9790908424860484
1.088818181818182,Urban,0.4909090909090909,NA,1,1.088818181818182,Urban,0.10234777910214359,0.06249997373650587,0.022087198771055368,0.27887775546614724
1.140808080808081,Agricultural,0.4909090909090909,NA,1,1.140808080808081,Agricultural,0.5460170406181011,0.11175494269434486,0.3275328721724042,0.7667609952587887
1.140808080808081,Natural,0.4909090909090909,NA,1,1.140808080808081,Natural,0.8779133334678568,0.07401258890807628,0.6855123377265648,0.9746438584589532
1.140808080808081,Urban,0.4909090909090909,NA,1,1.140808080808081,Urban,0.11393776646524684,0.06663366004700488,0.02632553655169206,0.2966479226296403
1.19279797979798,Agricultural,0.4909090909090909,NA,1,1.19279797979798,Agricultural,0.5233639713049423,0.11341198035115714,0.3028673845113226,0.7477544052327446
1.19279797979798,Natural,0.4909090909090909,NA,1,1.19279797979798,Natural,0.8626407430930714,0.07873765357295566,0.6616447227720978,0.9689249023173618
1.19279797979798,Urban,0.4909090909090909,NA,1,1.19279797979798,Urban,0.12640865133666654,0.07081317491675304,0.031585569050409525,0.3202628950366138
1.244787878787879,Agricultural,0.4909090909090909,NA,1,1.244787878787879,Agricultural,0.5000036385223932,0.11535364313383892,0.2769358032166425,0.7287887556158164
1.244787878787879,Natural,0.4909090909090909,NA,1,1.244787878787879,Natural,0.845777517177861,0.08369622919447077,0.6359434156827034,0.9617060656607568
1.244787878787879,Urban,0.4909090909090909,NA,1,1.244787878787879,Urban,0.14125414697751643,0.07600973036002878,0.037850260522454736,0.3406306245620432
1.296777777777778,Agricultural,0.4909090909090909,NA,1,1.296777777777778,Agricultural,0.4766506602782382,0.11676579261032753,0.2544593152694402,0.7106300630652189
1.296777777777778,Natural,0.4909090909090909,NA,1,1.296777777777778,Natural,0.8279242432767767,0.08904701081769496,0.6079902284893282,0.9529421053794307
1.296777777777778,Urban,0.4909090909090909,NA,1,1.296777777777778,Urban,0.15707119326089897,0.08086102332898545,0.04509297811707396,0.3646393533881798
1.3487676767676768,Agricultural,0.4909090909090909,NA,1,1.3487676767676768,Agricultural,0.45375902508856636,0.11873595421462922,0.23086954825201841,0.6927840989403992
1.3487676767676768,Natural,0.4909090909090909,NA,1,1.3487676767676768,Natural,0.8077767553686053,0.09535033435873846,0.578109421872767,0.9429717798986497
1.3487676767676768,Urban,0.4909090909090909,NA,1,1.3487676767676768,Urban,0.17459441101933051,0.08686211519553484,0.05233369436179582,0.39536893271710705
1.4007575757575759,Agricultural,0.4909090909090909,NA,1,1.4007575757575759,Agricultural,0.4314751499822744,0.12055773695218508,0.2092624078493623,0.675309140256389
1.4007575757575759,Natural,0.4909090909090909,NA,1,1.4007575757575759,Natural,0.7863885426073585,0.10012501672876911,0.543149515671986,0.9323196853589941
1.4007575757575759,Urban,0.4909090909090909,NA,1,1.4007575757575759,Urban,0.19280886515189638,0.09196967732233487,0.060086738643848316,0.4214503250118711
1.452747474747475,Agricultural,0.4909090909090909,NA,1,1.452747474747475,Agricultural,0.4092349857016688,0.12146237106822075,0.18902797553358472,0.6579334123450694
1.452747474747475,Natural,0.4909090909090909,NA,1,1.452747474747475,Natural,0.7627446533363352,0.10688871095113921,0.5098178197359244,0.9210596608949138
1.452747474747475,Urban,0.4909090909090909,NA,1,1.452747474747475,Urban,0.21223458571885812,0.09668881939340403,0.06981517515614784,0.45124618850631937
1.504737373737374,Agricultural,0.4909090909090909,NA,1,1.504737373737374,Agricultural,0.3879252331251307,0.12295380606760203,0.170514644349658,0.6433449454814155
1.504737373737374,Natural,0.4909090909090909,NA,1,1.504737373737374,Natural,0.7383154043450317,0.11340471604192254,0.4720109596681781,0.907877845502137
1.504737373737374,Urban,0.4909090909090909,NA,1,1.504737373737374,Urban,0.23331993540620707,0.10127736020690724,0.08017208164921545,0.4773908269640795
1.556727272727273,Agricultural,0.4909090909090909,NA,1,1.556727272727273,Agricultural,0.3670619791771237,0.12456794517954257,0.15420304667146462,0.622116580866427
1.556727272727273,Natural,0.4909090909090909,NA,1,1.556727272727273,Natural,0.7107387710427713,0.12002006761412745,0.43192637456994415,0.8939445502651181
1.556727272727273,Urban,0.4909090909090909,NA,1,1.556727272727273,Urban,0.25572260675383246,0.10760065698785405,0.09149202337915487,0.5096137561618013
1.608717171717172,Agricultural,0.4909090909090909,NA,1,1.608717171717172,Agricultural,0.34645348876685067,0.12560301862769,0.13780097463740199,0.6024803151150513
1.608717171717172,Natural,0.4909090909090909,NA,1,1.608717171717172,Natural,0.6834908876255434,0.12600205826625646,0.3908896807708093,0.8800963553896616
1.608717171717172,Urban,0.4909090909090909,NA,1,1.608717171717172,Urban,0.27994210022782834,0.11192890411632996,0.10424302911194813,0.5402738304747041
1.6607070707070708,Agricultural,0.4909090909090909,NA,1,1.6607070707070708,Agricultural,0.3264618660202442,0.1265316213225808,0.12115631991588141,0.58575702206559
1.6607070707070708,Natural,0.4909090909090909,NA,1,1.6607070707070708,Natural,0.6541477458382339,0.13318915707000353,0.35038635681872743,0.8631845383598248
1.6607070707070708,Urban,0.4909090909090909,NA,1,1.6607070707070708,Urban,0.3044723324688725,0.11825913037623434,0.11810316190719239,0.5708536786462372
1.7126969696969698,Agricultural,0.4909090909090909,NA,1,1.7126969696969698,Agricultural,0.30751683477012814,0.12698862037562567,0.10772239534819195,0.5712715217221073
1.7126969696969698,Natural,0.4909090909090909,NA,1,1.7126969696969698,Natural,0.6226459342685629,0.14161320376949593,0.3109948298109501,0.8447390515732407
1.7126969696969698,Urban,0.4909090909090909,NA,1,1.7126969696969698,Urban,0.3303856179968119,0.1258168361952661,0.13246610663080274,0.6032794240735553
1.7646868686868689,Agricultural,0.4909090909090909,NA,1,1.7646868686868689,Agricultural,0.28828303662168187,0.1262414463783599,0.09372003759582233,0.5559379245610155
1.7646868686868689,Natural,0.4909090909090909,NA,1,1.7646868686868689,Natural,0.5900922188494899,0.14913525831502406,0.269279333086569,0.8257629567165393
1.7646868686868689,Urban,0.4909090909090909,NA,1,1.7646868686868689,Urban,0.3583088305640131,0.13246395657750862,0.14794108812587242,0.6377351604556465
1.816676767676768,Agricultural,0.4909090909090909,NA,1,1.816676767676768,Agricultural,0.27074602725724306,0.12514124109612654,0.08287622179277698,0.5430986983006415
1.816676767676768,Natural,0.4909090909090909,NA,1,1.816676767676768,Natural,0.5553649338339444,0.1549871147866909,0.23301448266488725,0.8084812782241451
1.816676767676768,Urban,0.4909090909090909,NA,1,1.816676767676768,Urban,0.3877272703508612,0.13863598362827464,0.16312815146810583,0.6769557543857053
1.868666666666667,Agricultural,0.4909090909090909,NA,1,1.868666666666667,Agricultural,0.2527722892887376,0.12404764599007577,0.07163101025539345,0.5301450694800309
1.868666666666667,Natural,0.4909090909090909,NA,1,1.868666666666667,Natural,0.5242314408960962,0.16193433952053565,0.2005292928002297,0.7889514031640921
1.868666666666667,Urban,0.4909090909090909,NA,1,1.868666666666667,Urban,0.41841885915008115,0.1449389755038732,0.18007744746715856,0.7097654995606889
1.920656565656566,Agricultural,0.4909090909090909,NA,1,1.920656565656566,Agricultural,0.2371305788288504,0.12204377937065725,0.06281679516756883,0.5151136722316374
1.920656565656566,Natural,0.4909090909090909,NA,1,1.920656565656566,Natural,0.4917412384003589,0.16796015115416232,0.16961611271475158,0.7713572071764594
1.920656565656566,Urban,0.4909090909090909,NA,1,1.920656565656566,Urban,0.4487460767757798,0.15235289705667143,0.19670616012466163,0.7439473262470968
